Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Tall Candles|Industry|Utilities - Regulated Electric|15|0.7333333333333333|76
Bullish Engulfing With Tall Candles|Industry|Engineering & Construction|16|0.6875|47
Bullish Engulfing With Tall Candles|Sector|Communication Services|15|0.6666666666666666|18
Bullish Engulfing With Tall Candles|Industry|Specialty Retail|12|0.6666666666666666|30
Bullish Engulfing With Tall Candles|Sector|Utilities|30|0.6666666666666666|98
Bullish Engulfing With Tall Candles|Industry|Apparel Retail|11|0.6363636363636364|20
Bullish Engulfing With Tall Candles|Industry|Asset Management|11|0.6363636363636364|36
Bullish Engulfing With Tall Candles|Industry|Specialty Industrial Machinery|19|0.631578947368421|48
Bullish Engulfing With Tall Candles|Industry|Aerospace & Defense|13|0.6153846153846154|35
Bullish Engulfing With Tall Candles|Industry|Medical Devices|17|0.5882352941176471|30
Bullish Engulfing With Tall Candles|Industry|Scientific & Technical Instruments|12|0.5833333333333334|31
Bullish Engulfing With Tall Candles|Industry|Restaurants|12|0.5833333333333334|34
Bullish Engulfing With Tall Candles|Sector|Healthcare|79|0.569620253164557|27
Bullish Engulfing With Tall Candles|Sector|Industrials|112|0.5625|41
Bullish Engulfing With Tall Candles|Overall|All|2155|0.5350348027842228|68
Bullish Engulfing With Tall Candles|Sector|Energy|32|0.53125|26
Bullish Engulfing With Tall Candles|Sector|Consumer Cyclical|90|0.5222222222222223|28
Bullish Engulfing With Tall Candles|Sector|Real Estate|35|0.5142857142857142|37
Bullish Engulfing With Tall Candles|Industry|Oil & Gas E&P|14|0.5|22
Bullish Engulfing With Tall Candles|Sector|Consumer Defensive|52|0.5|76
Bullish Engulfing With Tall Candles|Sector|Financial Services|119|0.48739495798319327|70
Bullish Engulfing With Tall Candles|Sector|Technology|72|0.4722222222222222|24
Bullish Engulfing With Tall Candles|Industry|Biotechnology|20|0.45|17
Bullish Engulfing With Tall Candles|Sector|Basic Materials|20|0.45|38
Bullish Engulfing With Tall Candles|Industry|Banks - Regional|76|0.4473684210526316|64
Bullish Engulfing With Tall Candles|Industry|Software - Application|15|0.4|6
Bullish Engulfing With Tall Candles|Industry|Information Technology Services|10|0.4|50
Bullish Engulfing With Tall Candles|Industry|Furnishings, Fixtures & Appliances|10|0.1|7
