Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Tall Candles|Entity|AMGN.US|10|1|25
Bullish Engulfing With Tall Candles|Entity|SHEL.US|12|0.9166666666666666|109
Bullish Engulfing With Tall Candles|Entity|HELE.US|11|0.9090909090909091|29
Bullish Engulfing With Tall Candles|Entity|FUL.US|11|0.9090909090909091|68
Bullish Engulfing With Tall Candles|Entity|L.US|10|0.9|28
Bullish Engulfing With Tall Candles|Entity|MLM.US|10|0.9|29
Bullish Engulfing With Tall Candles|Industry|Financial Data & Stock Exchanges|13|0.8461538461538461|45
Bullish Engulfing With Tall Candles|Entity|TIMB.US|12|0.8333333333333334|16
Bullish Engulfing With Tall Candles|Entity|AIR.US|12|0.8333333333333334|18
Bullish Engulfing With Tall Candles|Entity|BKE.US|12|0.8333333333333334|22
Bullish Engulfing With Tall Candles|Entity|WMS.US|11|0.8181818181818182|13
Bullish Engulfing With Tall Candles|Entity|UMBF.US|11|0.8181818181818182|47
Bullish Engulfing With Tall Candles|Entity|ED.US|16|0.8125|177
Bullish Engulfing With Tall Candles|Entity|SKY.US|10|0.8|20
Bullish Engulfing With Tall Candles|Entity|CUK.US|10|0.8|20
Bullish Engulfing With Tall Candles|Entity|ALNY.US|10|0.8|25
Bullish Engulfing With Tall Candles|Entity|CRMT.US|10|0.8|25
Bullish Engulfing With Tall Candles|Entity|FIX.US|10|0.8|25
Bullish Engulfing With Tall Candles|Entity|TXN.US|10|0.8|27
Bullish Engulfing With Tall Candles|Entity|TMO.US|10|0.8|29
Bullish Engulfing With Tall Candles|Entity|PBI.US|10|0.8|29
Bullish Engulfing With Tall Candles|Entity|PKE.US|10|0.8|32
Bullish Engulfing With Tall Candles|Entity|GVA.US|10|0.8|33
Bullish Engulfing With Tall Candles|Entity|XES.US|10|0.8|41
Bullish Engulfing With Tall Candles|Entity|MLR.US|10|0.8|46
Bullish Engulfing With Tall Candles|Entity|PEGY.US|10|0.8|51
Bullish Engulfing With Tall Candles|Entity|ARE.US|10|0.8|66
Bullish Engulfing With Tall Candles|Entity|UHT.US|10|0.8|172
Bullish Engulfing With Tall Candles|Industry|Medical Distribution|19|0.7894736842105263|50
Bullish Engulfing With Tall Candles|Entity|IDT.US|14|0.7857142857142857|25
Bullish Engulfing With Tall Candles|Industry|Integrated Freight & Logistics|41|0.7804878048780488|31
Bullish Engulfing With Tall Candles|Entity|PCAR.US|13|0.7692307692307693|15
Bullish Engulfing With Tall Candles|Industry|Waste Management|13|0.7692307692307693|17
Bullish Engulfing With Tall Candles|Entity|DDS.US|13|0.7692307692307693|37
Bullish Engulfing With Tall Candles|Industry|Department Stores|13|0.7692307692307693|37
Bullish Engulfing With Tall Candles|Entity|FISI.US|13|0.7692307692307693|64
Bullish Engulfing With Tall Candles|Entity|CBRL.US|17|0.7647058823529411|60
Bullish Engulfing With Tall Candles|Entity|HZO.US|12|0.75|12
Bullish Engulfing With Tall Candles|Entity|ICFI.US|12|0.75|16
Bullish Engulfing With Tall Candles|Industry|Lodging|19|0.7368421052631579|21
Bullish Engulfing With Tall Candles|Entity|WTFC.US|15|0.7333333333333333|29
Bullish Engulfing With Tall Candles|Entity|OCN.US|11|0.7272727272727273|21
Bullish Engulfing With Tall Candles|Entity|WLY.US|11|0.7272727272727273|39
Bullish Engulfing With Tall Candles|Entity|HP.US|11|0.7272727272727273|39
Bullish Engulfing With Tall Candles|Entity|WST.US|11|0.7272727272727273|50
Bullish Engulfing With Tall Candles|Entity|IP.US|14|0.7142857142857143|21
Bullish Engulfing With Tall Candles|Entity|MNRO.US|14|0.7142857142857143|36
Bullish Engulfing With Tall Candles|Entity|CADE.US|14|0.7142857142857143|62
Bullish Engulfing With Tall Candles|Entity|TECH.US|14|0.7142857142857143|90
Bullish Engulfing With Tall Candles|Entity|WNC.US|10|0.7|8
Bullish Engulfing With Tall Candles|Entity|SCHW.US|10|0.7|12
Bullish Engulfing With Tall Candles|Entity|TK.US|10|0.7|13
Bullish Engulfing With Tall Candles|Entity|MOD.US|10|0.7|17
Bullish Engulfing With Tall Candles|Entity|ROK.US|10|0.7|19
Bullish Engulfing With Tall Candles|Entity|EL.US|10|0.7|20
Bullish Engulfing With Tall Candles|Entity|WRLD.US|10|0.7|20
Bullish Engulfing With Tall Candles|Entity|MLP.US|10|0.7|21
Bullish Engulfing With Tall Candles|Entity|SIG.US|10|0.7|21
Bullish Engulfing With Tall Candles|Entity|HURC.US|10|0.7|23
Bullish Engulfing With Tall Candles|Entity|WBS.US|10|0.7|27
Bullish Engulfing With Tall Candles|Entity|KBR.US|10|0.7|29
Bullish Engulfing With Tall Candles|Entity|IDXX.US|10|0.7|30
