Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Tall Candles|Industry|Entertainment|18|0.8333333333333334|18
Bullish Engulfing With Tall Candles|Industry|Credit Services|12|0.75|14
Bullish Engulfing With Tall Candles|Industry|Aerospace & Defense|20|0.75|29
Bullish Engulfing With Tall Candles|Industry|Specialty Industrial Machinery|44|0.7045454545454546|26
Bullish Engulfing With Tall Candles|Industry|Electronic Gaming & Multimedia|10|0.7|11
Bullish Engulfing With Tall Candles|Industry|Medical Care Facilities|20|0.7|40
Bullish Engulfing With Tall Candles|Industry|Advertising Agencies|13|0.6923076923076923|12
Bullish Engulfing With Tall Candles|Industry|Utilities - Regulated Water|13|0.6923076923076923|70
Bullish Engulfing With Tall Candles|Industry|Specialty Retail|19|0.6842105263157895|23
Bullish Engulfing With Tall Candles|Sector|Communication Services|70|0.6714285714285714|15
Bullish Engulfing With Tall Candles|Industry|Scientific & Technical Instruments|15|0.6666666666666666|14
Bullish Engulfing With Tall Candles|Industry|Oil & Gas Midstream|12|0.6666666666666666|31
Bullish Engulfing With Tall Candles|Industry|Insurance - Property & Casualty|12|0.6666666666666666|38
Bullish Engulfing With Tall Candles|Sector|Utilities|47|0.6382978723404256|77
Bullish Engulfing With Tall Candles|Industry|REIT - Retail|16|0.625|40
Bullish Engulfing With Tall Candles|Industry|Utilities - Regulated Electric|21|0.6190476190476191|88
Bullish Engulfing With Tall Candles|Industry|Farm & Heavy Construction Machinery|13|0.6153846153846154|20
Bullish Engulfing With Tall Candles|Industry|Specialty Business Services|10|0.6|38
Bullish Engulfing With Tall Candles|Entity|MYY.US|10|0.6|102
Bullish Engulfing With Tall Candles|Industry|Software - Infrastructure|27|0.5925925925925926|14
Bullish Engulfing With Tall Candles|Industry|Medical Instruments & Supplies|23|0.5652173913043478|22
Bullish Engulfing With Tall Candles|Sector|Industrials|211|0.5639810426540285|28
Bullish Engulfing With Tall Candles|Industry|Restaurants|20|0.55|29
Bullish Engulfing With Tall Candles|Industry|Apparel Retail|22|0.5454545454545454|26
Bullish Engulfing With Tall Candles|Industry|Oil & Gas Equipment & Services|11|0.5454545454545454|36
Bullish Engulfing With Tall Candles|Industry|Asset Management|37|0.5405405405405406|69
Bullish Engulfing With Tall Candles|Industry|Drug Manufacturers - General|13|0.5384615384615384|39
Bullish Engulfing With Tall Candles|Sector|Energy|64|0.53125|28
Bullish Engulfing With Tall Candles|Industry|Internet Content & Information|19|0.5263157894736842|17
Bullish Engulfing With Tall Candles|Industry|Medical Devices|38|0.5263157894736842|28
Bullish Engulfing With Tall Candles|Sector|Financial Services|300|0.5166666666666667|60
Bullish Engulfing With Tall Candles|Sector|Basic Materials|49|0.5102040816326531|30
Bullish Engulfing With Tall Candles|Sector|Real Estate|75|0.5066666666666667|56
Bullish Engulfing With Tall Candles|Overall|All|5650|0.5051327433628319|66
Bullish Engulfing With Tall Candles|Sector|Consumer Cyclical|167|0.5029940119760479|25
Bullish Engulfing With Tall Candles|Industry|Semiconductor Equipment & Materials|10|0.5|8
Bullish Engulfing With Tall Candles|Industry|Information Technology Services|20|0.5|32
Bullish Engulfing With Tall Candles|Industry|Beverages - Wineries & Distilleries|10|0.5|151
Bullish Engulfing With Tall Candles|Sector|Technology|174|0.4885057471264368|17
Bullish Engulfing With Tall Candles|Industry|Drug Manufacturers - Specialty & Generic|27|0.48148148148148145|8
Bullish Engulfing With Tall Candles|Sector|Healthcare|303|0.4752475247524752|17
Bullish Engulfing With Tall Candles|Industry|Banks - Regional|192|0.4739583333333333|61
Bullish Engulfing With Tall Candles|Industry|Oil & Gas E&P|19|0.47368421052631576|25
Bullish Engulfing With Tall Candles|Industry|Engineering & Construction|19|0.47368421052631576|26
Bullish Engulfing With Tall Candles|Industry|REIT - Office|15|0.4666666666666667|65
Bullish Engulfing With Tall Candles|Industry|Real Estate Services|11|0.45454545454545453|23
Bullish Engulfing With Tall Candles|Industry|Electronic Components|11|0.45454545454545453|33
Bullish Engulfing With Tall Candles|Industry|Specialty Chemicals|18|0.4444444444444444|25
Bullish Engulfing With Tall Candles|Sector|Consumer Defensive|90|0.4444444444444444|55
Bullish Engulfing With Tall Candles|Industry|Packaged Foods|18|0.4444444444444444|65
Bullish Engulfing With Tall Candles|Industry|Beverages - Non-Alcoholic|14|0.42857142857142855|48
Bullish Engulfing With Tall Candles|Industry|Software - Application|57|0.42105263157894735|12
Bullish Engulfing With Tall Candles|Industry|Marine Shipping|10|0.4|5
Bullish Engulfing With Tall Candles|Industry|Building Products & Equipment|10|0.4|9
Bullish Engulfing With Tall Candles|Industry|Consulting Services|15|0.4|41
Bullish Engulfing With Tall Candles|Industry|Insurance Brokers|10|0.4|104
Bullish Engulfing With Tall Candles|Industry|Biotechnology|141|0.3971631205673759|9
Bullish Engulfing With Tall Candles|Industry|Diagnostics & Research|22|0.36363636363636365|7
Bullish Engulfing With Tall Candles|Industry|Communication Equipment|14|0.35714285714285715|17
Bullish Engulfing With Tall Candles|Industry|Semiconductors|12|0.3333333333333333|14
Bullish Engulfing With Tall Candles|Industry|Furnishings, Fixtures & Appliances|18|0.2222222222222222|16
Bullish Engulfing With Tall Candles|Entity|SIJ.US|10|0.2|117
Bullish Engulfing With Tall Candles|Industry|Internet Retail|11|0.18181818181818182|12
