Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Tall Candles|Industry|Medical Instruments & Supplies|15|0.7333333333333333|22
Bullish Engulfing With Tall Candles|Industry|Specialty Retail|15|0.7333333333333333|24
Bullish Engulfing With Tall Candles|Industry|Medical Care Facilities|15|0.7333333333333333|40
Bullish Engulfing With Tall Candles|Industry|Restaurants|18|0.7222222222222222|40
Bullish Engulfing With Tall Candles|Industry|Household & Personal Products|14|0.7142857142857143|61
Bullish Engulfing With Tall Candles|Industry|Asset Management|24|0.7083333333333334|61
Bullish Engulfing With Tall Candles|Industry|Aerospace & Defense|17|0.7058823529411765|33
Bullish Engulfing With Tall Candles|Industry|Packaged Foods|13|0.6923076923076923|82
Bullish Engulfing With Tall Candles|Industry|Medical Devices|19|0.6842105263157895|26
Bullish Engulfing With Tall Candles|Industry|Insurance - Property & Casualty|12|0.6666666666666666|36
Bullish Engulfing With Tall Candles|Sector|Communication Services|26|0.6538461538461539|16
Bullish Engulfing With Tall Candles|Industry|REIT - Office|14|0.6428571428571429|12
Bullish Engulfing With Tall Candles|Industry|Specialty Chemicals|14|0.6428571428571429|46
Bullish Engulfing With Tall Candles|Industry|Auto & Truck Dealerships|11|0.6363636363636364|8
Bullish Engulfing With Tall Candles|Industry|Utilities - Regulated Water|11|0.6363636363636364|94
Bullish Engulfing With Tall Candles|Sector|Energy|42|0.6190476190476191|29
Bullish Engulfing With Tall Candles|Industry|Oil & Gas E&P|13|0.6153846153846154|29
Bullish Engulfing With Tall Candles|Sector|Financial Services|200|0.605|60
Bullish Engulfing With Tall Candles|Industry|Semiconductors|15|0.6|14
Bullish Engulfing With Tall Candles|Sector|Utilities|49|0.5918367346938775|87
Bullish Engulfing With Tall Candles|Industry|Apparel Retail|17|0.5882352941176471|14
Bullish Engulfing With Tall Candles|Industry|Scientific & Technical Instruments|12|0.5833333333333334|27
Bullish Engulfing With Tall Candles|Industry|Consulting Services|12|0.5833333333333334|35
Bullish Engulfing With Tall Candles|Sector|Healthcare|95|0.5684210526315789|27
Bullish Engulfing With Tall Candles|Industry|Banks - Regional|123|0.5609756097560976|53
Bullish Engulfing With Tall Candles|Industry|Utilities - Regulated Electric|34|0.5588235294117647|78
Bullish Engulfing With Tall Candles|Sector|Industrials|162|0.5555555555555556|28
Bullish Engulfing With Tall Candles|Industry|Specialty Industrial Machinery|31|0.5483870967741935|26
Bullish Engulfing With Tall Candles|Industry|Farm & Heavy Construction Machinery|11|0.5454545454545454|25
Bullish Engulfing With Tall Candles|Sector|Basic Materials|46|0.5434782608695652|30
Bullish Engulfing With Tall Candles|Industry|Software - Application|35|0.5428571428571428|14
Bullish Engulfing With Tall Candles|Sector|Consumer Defensive|70|0.5428571428571428|67
Bullish Engulfing With Tall Candles|Overall|All|3084|0.5398832684824902|52
Bullish Engulfing With Tall Candles|Sector|Consumer Cyclical|138|0.5362318840579711|24
Bullish Engulfing With Tall Candles|Sector|Technology|120|0.5166666666666667|17
Bullish Engulfing With Tall Candles|Industry|REIT - Retail|10|0.5|24
Bullish Engulfing With Tall Candles|Industry|Information Technology Services|12|0.5|41
Bullish Engulfing With Tall Candles|Industry|Insurance - Diversified|10|0.5|219
Bullish Engulfing With Tall Candles|Industry|Engineering & Construction|17|0.47058823529411764|23
Bullish Engulfing With Tall Candles|Sector|Real Estate|64|0.46875|24
Bullish Engulfing With Tall Candles|Industry|Electronic Components|11|0.45454545454545453|14
Bullish Engulfing With Tall Candles|Industry|Oil & Gas Equipment & Services|11|0.45454545454545453|29
Bullish Engulfing With Tall Candles|Industry|Biotechnology|26|0.4230769230769231|11
Bullish Engulfing With Tall Candles|Industry|Software - Infrastructure|17|0.4117647058823529|15
Bullish Engulfing With Tall Candles|Industry|Insurance Brokers|10|0.4|142
Bullish Engulfing With Tall Candles|Industry|Gold|13|0.38461538461538464|13
