Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Tall Candles|Sector|Basic Materials|14|0.7857142857142857|221
Bullish Engulfing With Tall Candles|Sector|Energy|18|0.7777777777777778|177
Bullish Engulfing With Tall Candles|Industry|Specialty Retail|10|0.7|100
Bullish Engulfing With Tall Candles|Sector|Utilities|22|0.6818181818181818|392
Bullish Engulfing With Tall Candles|Industry|Utilities - Regulated Electric|12|0.6666666666666666|405
Bullish Engulfing With Tall Candles|Sector|Healthcare|47|0.6382978723404256|70
Bullish Engulfing With Tall Candles|Sector|Consumer Cyclical|61|0.6229508196721312|103
Bullish Engulfing With Tall Candles|Industry|Biotechnology|13|0.6153846153846154|25
Bullish Engulfing With Tall Candles|Sector|Industrials|72|0.6111111111111112|105
Bullish Engulfing With Tall Candles|Industry|Asset Management|10|0.6|96
Bullish Engulfing With Tall Candles|Industry|Specialty Industrial Machinery|14|0.5714285714285714|146
Bullish Engulfing With Tall Candles|Overall|All|1493|0.5291359678499665|180
Bullish Engulfing With Tall Candles|Sector|Technology|43|0.4883720930232558|98
Bullish Engulfing With Tall Candles|Sector|Financial Services|80|0.4875|166
Bullish Engulfing With Tall Candles|Sector|Consumer Defensive|35|0.4857142857142857|236
Bullish Engulfing With Tall Candles|Industry|Medical Devices|11|0.45454545454545453|47
Bullish Engulfing With Tall Candles|Sector|Real Estate|24|0.4166666666666667|233
Bullish Engulfing With Tall Candles|Industry|Banks - Regional|52|0.40384615384615385|170
