Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Tall Candles|Industry|STATE COMMERCIAL BANKS|26|0.8076923076923077|113
Bullish Engulfing With Tall Candles|Industry|NATIONAL COMMERCIAL BANKS|24|0.75|131
Bullish Engulfing With Tall Candles|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|10|0.7|27
Bullish Engulfing With Tall Candles|Industry|RETAIL-EATING PLACES|11|0.6363636363636364|32
Bullish Engulfing With Tall Candles|Industry|PHARMACEUTICAL PREPARATIONS|30|0.5666666666666667|16
Bullish Engulfing With Tall Candles|Industry|FIRE, MARINE & CASUALTY INSURANCE|11|0.5454545454545454|83
Bullish Engulfing With Tall Candles|Industry|INVESTMENT ADVICE|19|0.5263157894736842|41
Bullish Engulfing With Tall Candles|Industry|ELECTRIC SERVICES|15|0.4666666666666667|65
Bullish Engulfing With Tall Candles|Overall|All|1326|0.43288084464555054|68
Bullish Engulfing With Tall Candles|Industry|REAL ESTATE INVESTMENT TRUSTS|36|0.4166666666666667|64
Bullish Engulfing With Tall Candles|Industry|CRUDE PETROLEUM & NATURAL GAS|16|0.375|12
Bullish Engulfing With Tall Candles|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|37|0.32432432432432434|68
