Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Tall Candles|Industry|SERVICES-COMPUTER PROCESSING & DATA PREPARATION|11|0.8181818181818182|44
Bullish Engulfing With Tall Candles|Industry|RAILROAD EQUIPMENT|10|0.8|12
Bullish Engulfing With Tall Candles|Industry|LABORATORY ANALYTICAL INSTRUMENTS|10|0.8|26
Bullish Engulfing With Tall Candles|Industry|PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS|10|0.8|37
Bullish Engulfing With Tall Candles|Industry|HOSPITAL & MEDICAL SERVICE PLANS|10|0.8|39
Bullish Engulfing With Tall Candles|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|19|0.7368421052631579|165
Bullish Engulfing With Tall Candles|Industry|AIR TRANSPORTATION, SCHEDULED|11|0.7272727272727273|20
Bullish Engulfing With Tall Candles|Industry|NATURAL GAS DISTRIBUTION|22|0.7272727272727273|80
Bullish Engulfing With Tall Candles|Industry|STATE COMMERCIAL BANKS|94|0.7021276595744681|91
Bullish Engulfing With Tall Candles|Industry|SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES|10|0.7|37
Bullish Engulfing With Tall Candles|Industry|SAVINGS INSTITUTION, FEDERALLY CHARTERED|10|0.7|101
Bullish Engulfing With Tall Candles|Industry|NATIONAL COMMERCIAL BANKS|71|0.6901408450704225|140
Bullish Engulfing With Tall Candles|Industry|SERVICES-BUSINESS SERVICES, NEC|27|0.6666666666666666|51
Bullish Engulfing With Tall Candles|Industry|TRUCKING (NO LOCAL)|15|0.6666666666666666|53
Bullish Engulfing With Tall Candles|Industry|INSURANCE AGENTS, BROKERS & SERVICE|12|0.6666666666666666|109
Bullish Engulfing With Tall Candles|Industry|MOTOR VEHICLE PARTS & ACCESSORIES|14|0.6428571428571429|28
Bullish Engulfing With Tall Candles|Industry|STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)|11|0.6363636363636364|17
Bullish Engulfing With Tall Candles|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|24|0.625|31
Bullish Engulfing With Tall Candles|Industry|RETAIL-EATING PLACES|34|0.6176470588235294|55
Bullish Engulfing With Tall Candles|Industry|SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN|18|0.6111111111111112|30
Bullish Engulfing With Tall Candles|Industry|SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.|10|0.6|57
Bullish Engulfing With Tall Candles|Industry|FIRE, MARINE & CASUALTY INSURANCE|35|0.6|114
Bullish Engulfing With Tall Candles|Industry|ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS|12|0.5833333333333334|26
Bullish Engulfing With Tall Candles|Industry|OIL & GAS FIELD MACHINERY & EQUIPMENT|14|0.5714285714285714|13
Bullish Engulfing With Tall Candles|Industry|PHARMACEUTICAL PREPARATIONS|80|0.5625|19
Bullish Engulfing With Tall Candles|Industry|RETAIL-VARIETY STORES|11|0.5454545454545454|40
Bullish Engulfing With Tall Candles|Industry|PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS|11|0.5454545454545454|44
Bullish Engulfing With Tall Candles|Industry|FOOD AND KINDRED PRODUCTS|11|0.5454545454545454|100
Bullish Engulfing With Tall Candles|Industry|SEMICONDUCTORS & RELATED DEVICES|35|0.5142857142857142|20
Bullish Engulfing With Tall Candles|Industry|STEEL WORKS, BLAST FURNACES & ROLLING & FINISHING MILLS|10|0.5|14
Bullish Engulfing With Tall Candles|Industry|OIL & GAS FIELD SERVICES, NEC|18|0.5|22
Bullish Engulfing With Tall Candles|Industry|PERSONAL CREDIT INSTITUTIONS|10|0.5|29
Bullish Engulfing With Tall Candles|Industry|SERVICES-MANAGEMENT CONSULTING SERVICES|10|0.5|87
Bullish Engulfing With Tall Candles|Industry|ELECTRIC & OTHER SERVICES COMBINED|37|0.4864864864864865|82
Bullish Engulfing With Tall Candles|Industry|SERVICES-PREPACKAGED SOFTWARE|33|0.48484848484848486|29
Bullish Engulfing With Tall Candles|Industry|PETROLEUM REFINING|33|0.48484848484848486|36
Bullish Engulfing With Tall Candles|Industry|NATURAL GAS TRANSMISSION|25|0.48|12
Bullish Engulfing With Tall Candles|Overall|All|3423|0.46070698217937484|61
Bullish Engulfing With Tall Candles|Industry|GENERAL INDUSTRIAL MACHINERY & EQUIPMENT|11|0.45454545454545453|19
Bullish Engulfing With Tall Candles|Industry|REAL ESTATE|11|0.45454545454545453|26
Bullish Engulfing With Tall Candles|Industry|INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL|11|0.45454545454545453|59
Bullish Engulfing With Tall Candles|Industry|REAL ESTATE INVESTMENT TRUSTS|100|0.44|81
Bullish Engulfing With Tall Candles|Industry|ELECTRIC SERVICES|45|0.4222222222222222|49
Bullish Engulfing With Tall Candles|Industry|INVESTMENT ADVICE|38|0.42105263157894735|39
Bullish Engulfing With Tall Candles|Industry|DRILLING OIL & GAS WELLS|12|0.4166666666666667|7
Bullish Engulfing With Tall Candles|Industry|CRUDE PETROLEUM & NATURAL GAS|68|0.35294117647058826|18
Bullish Engulfing With Tall Candles|Industry|RETAIL-FAMILY CLOTHING STORES|15|0.3333333333333333|26
Bullish Engulfing With Tall Candles|Industry|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)|15|0.3333333333333333|33
Bullish Engulfing With Tall Candles|Industry|RETAIL-AUTO DEALERS & GASOLINE STATIONS|25|0.32|16
Bullish Engulfing With Tall Candles|Industry|WATER TRANSPORTATION|10|0.3|6
Bullish Engulfing With Tall Candles|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|70|0.2857142857142857|59
Bullish Engulfing With Tall Candles|Industry|PUMPS & PUMPING EQUIPMENT|17|0.17647058823529413|34
Bullish Engulfing With Tall Candles|Industry|OPERATIVE BUILDERS|13|0.15384615384615385|59
