Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Tall Candles|Industry|Aerospace & Defense|10|0.8|26
Bullish Engulfing With Tall Candles|Sector|Communication Services|32|0.75|20
Bullish Engulfing With Tall Candles|Industry|Software - Infrastructure|15|0.6666666666666666|8
Bullish Engulfing With Tall Candles|Industry|Specialty Industrial Machinery|22|0.6363636363636364|29
Bullish Engulfing With Tall Candles|Industry|Drug Manufacturers - Specialty & Generic|15|0.6|9
Bullish Engulfing With Tall Candles|Industry|Utilities - Regulated Electric|10|0.6|98
Bullish Engulfing With Tall Candles|Sector|Utilities|22|0.5909090909090909|65
Bullish Engulfing With Tall Candles|Industry|Asset Management|16|0.5625|99
Bullish Engulfing With Tall Candles|Sector|Energy|38|0.5526315789473685|30
Bullish Engulfing With Tall Candles|Industry|Apparel Retail|11|0.5454545454545454|26
Bullish Engulfing With Tall Candles|Sector|Industrials|107|0.514018691588785|34
Bullish Engulfing With Tall Candles|Industry|Medical Devices|20|0.5|27
Bullish Engulfing With Tall Candles|Industry|Information Technology Services|10|0.5|33
Bullish Engulfing With Tall Candles|Sector|Consumer Cyclical|81|0.49382716049382713|27
Bullish Engulfing With Tall Candles|Sector|Healthcare|165|0.4909090909090909|18
Bullish Engulfing With Tall Candles|Sector|Real Estate|33|0.48484848484848486|67
Bullish Engulfing With Tall Candles|Sector|Technology|83|0.4819277108433735|18
Bullish Engulfing With Tall Candles|Overall|All|2485|0.46559356136820923|83
Bullish Engulfing With Tall Candles|Sector|Financial Services|140|0.45714285714285713|76
Bullish Engulfing With Tall Candles|Industry|Engineering & Construction|11|0.45454545454545453|27
Bullish Engulfing With Tall Candles|Sector|Consumer Defensive|49|0.42857142857142855|45
Bullish Engulfing With Tall Candles|Sector|Basic Materials|29|0.41379310344827586|25
Bullish Engulfing With Tall Candles|Industry|Software - Application|32|0.40625|11
Bullish Engulfing With Tall Candles|Industry|Banks - Regional|92|0.391304347826087|67
Bullish Engulfing With Tall Candles|Industry|Biotechnology|87|0.367816091954023|10
Bullish Engulfing With Tall Candles|Industry|Specialty Chemicals|12|0.3333333333333333|14
Bullish Engulfing With Tall Candles|Industry|Furnishings, Fixtures & Appliances|11|0.18181818181818182|23
