Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Tall Candles|Entity|TRI.US|10|1|61
Bullish Engulfing With Tall Candles|Entity|DMLP.US|11|1|79
Bullish Engulfing With Tall Candles|Entity|UL.US|11|1|99
Bullish Engulfing With Tall Candles|Entity|RSG.US|11|1|142
Bullish Engulfing With Tall Candles|Entity|CME.US|15|0.9333333333333333|79
Bullish Engulfing With Tall Candles|Entity|CSL.US|14|0.9285714285714286|51
Bullish Engulfing With Tall Candles|Entity|MKC.US|13|0.9230769230769231|111
Bullish Engulfing With Tall Candles|Entity|RZG.US|12|0.9166666666666666|83
Bullish Engulfing With Tall Candles|Entity|AGR.US|11|0.9090909090909091|83
Bullish Engulfing With Tall Candles|Entity|VHT.US|10|0.9|157
Bullish Engulfing With Tall Candles|Entity|WTM.US|17|0.8823529411764706|142
Bullish Engulfing With Tall Candles|Entity|PNW.US|16|0.875|95
Bullish Engulfing With Tall Candles|Entity|SHEL.US|16|0.875|143
Bullish Engulfing With Tall Candles|Entity|EEFT.US|14|0.8571428571428571|25
Bullish Engulfing With Tall Candles|Entity|EHC.US|14|0.8571428571428571|32
Bullish Engulfing With Tall Candles|Entity|EW.US|14|0.8571428571428571|49
Bullish Engulfing With Tall Candles|Entity|ITW.US|14|0.8571428571428571|54
Bullish Engulfing With Tall Candles|Entity|XLF.US|14|0.8571428571428571|55
Bullish Engulfing With Tall Candles|Entity|TEVA.US|14|0.8571428571428571|86
Bullish Engulfing With Tall Candles|Entity|EG.US|20|0.85|75
Bullish Engulfing With Tall Candles|Entity|PG.US|20|0.85|169
Bullish Engulfing With Tall Candles|Entity|BRKR.US|13|0.8461538461538461|26
Bullish Engulfing With Tall Candles|Entity|CNC.US|13|0.8461538461538461|29
Bullish Engulfing With Tall Candles|Entity|MCO.US|13|0.8461538461538461|36
Bullish Engulfing With Tall Candles|Entity|AKR.US|13|0.8461538461538461|59
Bullish Engulfing With Tall Candles|Entity|EWQ.US|13|0.8461538461538461|68
Bullish Engulfing With Tall Candles|Entity|WM.US|13|0.8461538461538461|88
Bullish Engulfing With Tall Candles|Entity|IXJ.US|13|0.8461538461538461|163
Bullish Engulfing With Tall Candles|Entity|ARE.US|19|0.8421052631578947|83
Bullish Engulfing With Tall Candles|Industry|Medical Distribution|44|0.8409090909090909|63
Bullish Engulfing With Tall Candles|Entity|SF.US|12|0.8333333333333334|23
Bullish Engulfing With Tall Candles|Entity|PRAA.US|12|0.8333333333333334|26
Bullish Engulfing With Tall Candles|Entity|CSGP.US|12|0.8333333333333334|26
Bullish Engulfing With Tall Candles|Entity|CTSH.US|12|0.8333333333333334|34
Bullish Engulfing With Tall Candles|Entity|ESE.US|18|0.8333333333333334|36
Bullish Engulfing With Tall Candles|Entity|INTU.US|12|0.8333333333333334|36
Bullish Engulfing With Tall Candles|Entity|WAT.US|12|0.8333333333333334|40
Bullish Engulfing With Tall Candles|Entity|EWW.US|12|0.8333333333333334|44
Bullish Engulfing With Tall Candles|Entity|BCPC.US|18|0.8333333333333334|53
Bullish Engulfing With Tall Candles|Entity|HSIC.US|18|0.8333333333333334|72
Bullish Engulfing With Tall Candles|Entity|FDM.US|12|0.8333333333333334|96
Bullish Engulfing With Tall Candles|Entity|PEP.US|12|0.8333333333333334|114
Bullish Engulfing With Tall Candles|Entity|UNP.US|23|0.8260869565217391|76
Bullish Engulfing With Tall Candles|Entity|PKE.US|17|0.8235294117647058|30
Bullish Engulfing With Tall Candles|Entity|ODFL.US|17|0.8235294117647058|37
Bullish Engulfing With Tall Candles|Entity|MLM.US|17|0.8235294117647058|52
Bullish Engulfing With Tall Candles|Entity|CCEP.US|17|0.8235294117647058|63
Bullish Engulfing With Tall Candles|Entity|ULH.US|11|0.8181818181818182|12
Bullish Engulfing With Tall Candles|Entity|ALGN.US|11|0.8181818181818182|13
Bullish Engulfing With Tall Candles|Entity|GDOT.US|11|0.8181818181818182|14
Bullish Engulfing With Tall Candles|Entity|OFIX.US|11|0.8181818181818182|21
Bullish Engulfing With Tall Candles|Entity|IVZ.US|11|0.8181818181818182|24
Bullish Engulfing With Tall Candles|Entity|BPT.US|11|0.8181818181818182|38
Bullish Engulfing With Tall Candles|Entity|XRT.US|11|0.8181818181818182|43
Bullish Engulfing With Tall Candles|Entity|MATW.US|22|0.8181818181818182|44
Bullish Engulfing With Tall Candles|Entity|PRI.US|11|0.8181818181818182|46
Bullish Engulfing With Tall Candles|Entity|RFV.US|11|0.8181818181818182|48
Bullish Engulfing With Tall Candles|Entity|OKE.US|11|0.8181818181818182|60
Bullish Engulfing With Tall Candles|Entity|ISCG.US|11|0.8181818181818182|71
Bullish Engulfing With Tall Candles|Entity|JKK.US|11|0.8181818181818182|78
Bullish Engulfing With Tall Candles|Entity|PEBO.US|16|0.8125|49
Bullish Engulfing With Tall Candles|Entity|ABT.US|16|0.8125|58
Bullish Engulfing With Tall Candles|Entity|SHW.US|16|0.8125|62
Bullish Engulfing With Tall Candles|Entity|MMC.US|16|0.8125|74
Bullish Engulfing With Tall Candles|Entity|ENB.US|16|0.8125|88
Bullish Engulfing With Tall Candles|Entity|IDA.US|16|0.8125|93
Bullish Engulfing With Tall Candles|Entity|SLYG.US|16|0.8125|111
Bullish Engulfing With Tall Candles|Industry|Financial Data & Stock Exchanges|41|0.8048780487804879|60
Bullish Engulfing With Tall Candles|Entity|NICE.US|10|0.8|10
Bullish Engulfing With Tall Candles|Entity|LEN-B.US|15|0.8|19
Bullish Engulfing With Tall Candles|Entity|NPO.US|15|0.8|22
Bullish Engulfing With Tall Candles|Entity|PBI.US|15|0.8|24
Bullish Engulfing With Tall Candles|Entity|FLR.US|15|0.8|24
Bullish Engulfing With Tall Candles|Entity|RHI.US|15|0.8|24
Bullish Engulfing With Tall Candles|Entity|BFH.US|10|0.8|24
Bullish Engulfing With Tall Candles|Entity|LAZ.US|10|0.8|30
Bullish Engulfing With Tall Candles|Entity|ICUI.US|15|0.8|34
Bullish Engulfing With Tall Candles|Entity|BKNG.US|15|0.8|38
Bullish Engulfing With Tall Candles|Entity|ABG.US|15|0.8|38
Bullish Engulfing With Tall Candles|Entity|BAH.US|10|0.8|54
Bullish Engulfing With Tall Candles|Entity|PRFZ.US|10|0.8|58
Bullish Engulfing With Tall Candles|Entity|RYJ.US|10|0.8|72
Bullish Engulfing With Tall Candles|Entity|VGT.US|10|0.8|90
Bullish Engulfing With Tall Candles|Entity|ELS.US|15|0.8|107
Bullish Engulfing With Tall Candles|Entity|POR.US|10|0.8|107
Bullish Engulfing With Tall Candles|Entity|IYC.US|10|0.8|108
Bullish Engulfing With Tall Candles|Entity|UTL.US|15|0.8|140
Bullish Engulfing With Tall Candles|Entity|KO.US|15|0.8|144
Bullish Engulfing With Tall Candles|Entity|GLD.US|10|0.8|240
Bullish Engulfing With Tall Candles|Entity|GOVI.US|10|0.8|553
Bullish Engulfing With Tall Candles|Entity|TIMB.US|19|0.7894736842105263|23
Bullish Engulfing With Tall Candles|Entity|SKX.US|19|0.7894736842105263|24
Bullish Engulfing With Tall Candles|Entity|TXN.US|19|0.7894736842105263|25
Bullish Engulfing With Tall Candles|Entity|SNA.US|19|0.7894736842105263|67
Bullish Engulfing With Tall Candles|Entity|DKS.US|14|0.7857142857142857|20
Bullish Engulfing With Tall Candles|Entity|MIDD.US|14|0.7857142857142857|24
Bullish Engulfing With Tall Candles|Entity|HEI-A.US|14|0.7857142857142857|35
Bullish Engulfing With Tall Candles|Entity|ANSS.US|14|0.7857142857142857|36
Bullish Engulfing With Tall Candles|Entity|RBCAA.US|14|0.7857142857142857|43
Bullish Engulfing With Tall Candles|Entity|AME.US|14|0.7857142857142857|44
Bullish Engulfing With Tall Candles|Entity|EL.US|14|0.7857142857142857|49
Bullish Engulfing With Tall Candles|Entity|CAG.US|14|0.7857142857142857|70
Bullish Engulfing With Tall Candles|Entity|RPM.US|14|0.7857142857142857|73
Bullish Engulfing With Tall Candles|Entity|CACI.US|14|0.7857142857142857|78
Bullish Engulfing With Tall Candles|Entity|AFG.US|14|0.7857142857142857|102
Bullish Engulfing With Tall Candles|Entity|BOKF.US|14|0.7857142857142857|115
Bullish Engulfing With Tall Candles|Entity|WEC.US|14|0.7857142857142857|119
Bullish Engulfing With Tall Candles|Entity|JJSF.US|23|0.782608695652174|59
Bullish Engulfing With Tall Candles|Entity|SO.US|23|0.782608695652174|163
Bullish Engulfing With Tall Candles|Entity|ORLY.US|27|0.7777777777777778|54
Bullish Engulfing With Tall Candles|Entity|TTC.US|18|0.7777777777777778|78
Bullish Engulfing With Tall Candles|Entity|CPT.US|18|0.7777777777777778|156
Bullish Engulfing With Tall Candles|Entity|BKE.US|22|0.7727272727272727|27
Bullish Engulfing With Tall Candles|Entity|WST.US|22|0.7727272727272727|41
Bullish Engulfing With Tall Candles|Entity|SAFT.US|22|0.7727272727272727|76
Bullish Engulfing With Tall Candles|Entity|WSFS.US|22|0.7727272727272727|95
Bullish Engulfing With Tall Candles|Entity|MSEX.US|22|0.7727272727272727|172
Bullish Engulfing With Tall Candles|Entity|PRO.US|13|0.7692307692307693|15
Bullish Engulfing With Tall Candles|Entity|MAS.US|13|0.7692307692307693|38
Bullish Engulfing With Tall Candles|Entity|MOH.US|13|0.7692307692307693|39
Bullish Engulfing With Tall Candles|Entity|AFL.US|13|0.7692307692307693|53
Bullish Engulfing With Tall Candles|Entity|FFIC.US|13|0.7692307692307693|65
Bullish Engulfing With Tall Candles|Entity|BMO.US|13|0.7692307692307693|66
Bullish Engulfing With Tall Candles|Entity|TRV.US|13|0.7692307692307693|70
Bullish Engulfing With Tall Candles|Entity|SPGI.US|13|0.7692307692307693|78
Bullish Engulfing With Tall Candles|Entity|IJT.US|13|0.7692307692307693|93
Bullish Engulfing With Tall Candles|Entity|DCI.US|13|0.7692307692307693|105
Bullish Engulfing With Tall Candles|Entity|XLV.US|13|0.7692307692307693|231
Bullish Engulfing With Tall Candles|Entity|WWD.US|17|0.7647058823529411|35
Bullish Engulfing With Tall Candles|Entity|ROP.US|17|0.7647058823529411|46
Bullish Engulfing With Tall Candles|Entity|PETS.US|17|0.7647058823529411|47
Bullish Engulfing With Tall Candles|Entity|SMH.US|17|0.7647058823529411|52
Bullish Engulfing With Tall Candles|Entity|CASY.US|17|0.7647058823529411|56
Bullish Engulfing With Tall Candles|Entity|FUL.US|17|0.7647058823529411|60
Bullish Engulfing With Tall Candles|Entity|RGA.US|17|0.7647058823529411|63
Bullish Engulfing With Tall Candles|Entity|AVY.US|17|0.7647058823529411|75
Bullish Engulfing With Tall Candles|Entity|CAH.US|17|0.7647058823529411|83
Bullish Engulfing With Tall Candles|Entity|XSVM.US|17|0.7647058823529411|111
Bullish Engulfing With Tall Candles|Entity|DTE.US|17|0.7647058823529411|140
Bullish Engulfing With Tall Candles|Entity|ERIE.US|17|0.7647058823529411|211
Bullish Engulfing With Tall Candles|Entity|WRLD.US|21|0.7619047619047619|20
Bullish Engulfing With Tall Candles|Entity|ADSK.US|21|0.7619047619047619|33
Bullish Engulfing With Tall Candles|Entity|VVI.US|21|0.7619047619047619|69
Bullish Engulfing With Tall Candles|Entity|L.US|21|0.7619047619047619|70
Bullish Engulfing With Tall Candles|Entity|TMO.US|25|0.76|53
Bullish Engulfing With Tall Candles|Entity|EGIO.US|12|0.75|9
Bullish Engulfing With Tall Candles|Industry|Coking Coal|12|0.75|10
Bullish Engulfing With Tall Candles|Entity|AZPN.US|16|0.75|16
Bullish Engulfing With Tall Candles|Entity|CRM.US|12|0.75|16
Bullish Engulfing With Tall Candles|Entity|STLD.US|16|0.75|22
Bullish Engulfing With Tall Candles|Entity|EAT.US|16|0.75|24
Bullish Engulfing With Tall Candles|Entity|EXPE.US|12|0.75|24
Bullish Engulfing With Tall Candles|Entity|ENS.US|16|0.75|26
Bullish Engulfing With Tall Candles|Entity|MODV.US|12|0.75|26
Bullish Engulfing With Tall Candles|Entity|WMB.US|12|0.75|27
Bullish Engulfing With Tall Candles|Entity|OMI.US|16|0.75|32
Bullish Engulfing With Tall Candles|Entity|AIR.US|20|0.75|32
Bullish Engulfing With Tall Candles|Entity|ITGR.US|12|0.75|34
Bullish Engulfing With Tall Candles|Entity|PXD.US|16|0.75|35
Bullish Engulfing With Tall Candles|Entity|CHH.US|16|0.75|36
