Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Tall Candles|Industry|Specialty Business Services|10|0.8|62
Bullish Engulfing With Tall Candles|Industry|Beverages - Non-Alcoholic|10|0.8|72
Bullish Engulfing With Tall Candles|Industry|Apparel Retail|22|0.6818181818181818|20
Bullish Engulfing With Tall Candles|Industry|Packaged Foods|24|0.6666666666666666|70
Bullish Engulfing With Tall Candles|Industry|Utilities - Regulated Water|15|0.6666666666666666|77
Bullish Engulfing With Tall Candles|Industry|Household & Personal Products|17|0.6470588235294118|61
Bullish Engulfing With Tall Candles|Industry|Medical Devices|25|0.64|25
Bullish Engulfing With Tall Candles|Industry|Medical Instruments & Supplies|22|0.6363636363636364|20
Bullish Engulfing With Tall Candles|Industry|Specialty Retail|22|0.6363636363636364|37
Bullish Engulfing With Tall Candles|Industry|Restaurants|22|0.6363636363636364|38
Bullish Engulfing With Tall Candles|Industry|Specialty Chemicals|19|0.631578947368421|38
Bullish Engulfing With Tall Candles|Industry|Medical Care Facilities|19|0.631578947368421|39
Bullish Engulfing With Tall Candles|Industry|Asset Management|29|0.6206896551724138|58
Bullish Engulfing With Tall Candles|Industry|Consulting Services|13|0.6153846153846154|37
Bullish Engulfing With Tall Candles|Sector|Utilities|65|0.6153846153846154|86
Bullish Engulfing With Tall Candles|Industry|Beverages - Wineries & Distilleries|13|0.6153846153846154|140
Bullish Engulfing With Tall Candles|Industry|Aerospace & Defense|28|0.6071428571428571|37
Bullish Engulfing With Tall Candles|Industry|REIT - Office|15|0.6|12
Bullish Engulfing With Tall Candles|Industry|Recreational Vehicles|10|0.6|22
Bullish Engulfing With Tall Candles|Sector|Energy|65|0.6|31
Bullish Engulfing With Tall Candles|Industry|Insurance - Property & Casualty|15|0.6|36
Bullish Engulfing With Tall Candles|Industry|Packaging & Containers|15|0.6|52
Bullish Engulfing With Tall Candles|Industry|Utilities - Regulated Electric|40|0.6|76
Bullish Engulfing With Tall Candles|Industry|Specialty Industrial Machinery|44|0.5909090909090909|38
Bullish Engulfing With Tall Candles|Industry|Semiconductors|17|0.5882352941176471|19
Bullish Engulfing With Tall Candles|Sector|Consumer Defensive|106|0.5849056603773585|65
Bullish Engulfing With Tall Candles|Industry|Engineering & Construction|26|0.5769230769230769|32
Bullish Engulfing With Tall Candles|Industry|Oil & Gas E&P|21|0.5714285714285714|22
Bullish Engulfing With Tall Candles|Sector|Financial Services|274|0.5693430656934306|63
Bullish Engulfing With Tall Candles|Sector|Industrials|232|0.5689655172413793|35
Bullish Engulfing With Tall Candles|Sector|Healthcare|141|0.5602836879432624|31
Bullish Engulfing With Tall Candles|Sector|Communication Services|38|0.5526315789473685|16
Bullish Engulfing With Tall Candles|Industry|Banks - Regional|166|0.5481927710843374|59
Bullish Engulfing With Tall Candles|Sector|Basic Materials|59|0.5423728813559322|29
Bullish Engulfing With Tall Candles|Overall|All|4217|0.5394830448185914|57
Bullish Engulfing With Tall Candles|Sector|Consumer Cyclical|191|0.5340314136125655|32
Bullish Engulfing With Tall Candles|Industry|REIT - Retail|15|0.5333333333333333|56
Bullish Engulfing With Tall Candles|Industry|Oil & Gas Equipment & Services|19|0.5263157894736842|29
Bullish Engulfing With Tall Candles|Sector|Technology|166|0.5180722891566265|22
Bullish Engulfing With Tall Candles|Industry|Software - Application|47|0.5106382978723404|13
Bullish Engulfing With Tall Candles|Industry|Drug Manufacturers - Specialty & Generic|12|0.5|6
Bullish Engulfing With Tall Candles|Industry|Auto & Truck Dealerships|14|0.5|8
Bullish Engulfing With Tall Candles|Industry|Electrical Equipment & Parts|12|0.5|14
Bullish Engulfing With Tall Candles|Industry|Biotechnology|38|0.5|16
Bullish Engulfing With Tall Candles|Industry|Telecom Services|12|0.5|20
Bullish Engulfing With Tall Candles|Industry|Electronic Components|18|0.5|22
Bullish Engulfing With Tall Candles|Industry|Scientific & Technical Instruments|18|0.5|32
Bullish Engulfing With Tall Candles|Industry|Information Technology Services|20|0.5|52
Bullish Engulfing With Tall Candles|Industry|REIT - Residential|12|0.5|95
Bullish Engulfing With Tall Candles|Sector|Real Estate|85|0.49411764705882355|39
Bullish Engulfing With Tall Candles|Industry|Gold|15|0.4666666666666667|18
Bullish Engulfing With Tall Candles|Industry|Farm & Heavy Construction Machinery|15|0.4666666666666667|24
Bullish Engulfing With Tall Candles|Industry|Insurance - Diversified|13|0.46153846153846156|199
Bullish Engulfing With Tall Candles|Industry|Insurance Brokers|15|0.4|100
Bullish Engulfing With Tall Candles|Industry|Software - Infrastructure|21|0.38095238095238093|23
Bullish Engulfing With Tall Candles|Industry|Discount Stores|11|0.36363636363636365|21
Bullish Engulfing With Tall Candles|Industry|Auto Parts|10|0.3|20
Bullish Engulfing With Tall Candles|Industry|Furnishings, Fixtures & Appliances|14|0.2857142857142857|6
Bullish Engulfing With Tall Candles|Industry|Internet Retail|10|0.2|4
Bullish Engulfing With Tall Candles|Industry|Real Estate Services|11|0.18181818181818182|12
