Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Tall Candles|Industry|Medical Distribution|12|1|29
Bullish Engulfing With Tall Candles|Entity|IDU.US|10|0.9|182
Bullish Engulfing With Tall Candles|Industry|Oil & Gas Integrated|10|0.8|60
Bullish Engulfing With Tall Candles|Industry|Security & Protection Services|15|0.8|69
Bullish Engulfing With Tall Candles|Industry|REIT - Residential|15|0.8|134
Bullish Engulfing With Tall Candles|Industry|Entertainment|26|0.7692307692307693|19
Bullish Engulfing With Tall Candles|Industry|Insurance - Specialty|13|0.7692307692307693|85
Bullish Engulfing With Tall Candles|Industry|Electrical Equipment & Parts|11|0.7272727272727273|27
Bullish Engulfing With Tall Candles|Industry|Utilities - Renewable|11|0.7272727272727273|36
Bullish Engulfing With Tall Candles|Industry|Insurance - Diversified|18|0.7222222222222222|110
Bullish Engulfing With Tall Candles|Industry|Specialty Industrial Machinery|64|0.703125|36
Bullish Engulfing With Tall Candles|Industry|Integrated Freight & Logistics|10|0.7|36
Bullish Engulfing With Tall Candles|Industry|Aerospace & Defense|36|0.6944444444444444|30
Bullish Engulfing With Tall Candles|Industry|Specialty Business Services|16|0.6875|40
Bullish Engulfing With Tall Candles|Industry|Scientific & Technical Instruments|25|0.68|29
Bullish Engulfing With Tall Candles|Industry|Credit Services|21|0.6666666666666666|17
Bullish Engulfing With Tall Candles|Industry|Oil & Gas Midstream|18|0.6666666666666666|86
Bullish Engulfing With Tall Candles|Industry|Utilities - Regulated Electric|30|0.6666666666666666|106
Bullish Engulfing With Tall Candles|Industry|Medical Care Facilities|36|0.6388888888888888|36
Bullish Engulfing With Tall Candles|Industry|Electronic Gaming & Multimedia|11|0.6363636363636364|11
Bullish Engulfing With Tall Candles|Industry|Lodging|11|0.6363636363636364|23
Bullish Engulfing With Tall Candles|Industry|Rental & Leasing Services|11|0.6363636363636364|39
Bullish Engulfing With Tall Candles|Industry|Packaging & Containers|16|0.625|48
Bullish Engulfing With Tall Candles|Industry|Oil & Gas Equipment & Services|21|0.6190476190476191|22
Bullish Engulfing With Tall Candles|Industry|Banks - Diversified|13|0.6153846153846154|135
Bullish Engulfing With Tall Candles|Sector|Utilities|71|0.6056338028169014|86
Bullish Engulfing With Tall Candles|Entity|PLPC.US|10|0.6|20
Bullish Engulfing With Tall Candles|Industry|Apparel Retail|35|0.6|27
Bullish Engulfing With Tall Candles|Industry|REIT - Retail|20|0.6|47
Bullish Engulfing With Tall Candles|Industry|Utilities - Regulated Water|20|0.6|65
Bullish Engulfing With Tall Candles|Entity|MYY.US|10|0.6|102
Bullish Engulfing With Tall Candles|Industry|Software - Infrastructure|42|0.5952380952380952|22
Bullish Engulfing With Tall Candles|Sector|Communication Services|99|0.5858585858585859|19
Bullish Engulfing With Tall Candles|Industry|Specialty Retail|24|0.5833333333333334|24
Bullish Engulfing With Tall Candles|Industry|Personal Services|12|0.5833333333333334|62
Bullish Engulfing With Tall Candles|Industry|Drug Manufacturers - General|19|0.5789473684210527|43
Bullish Engulfing With Tall Candles|Sector|Industrials|347|0.5677233429394812|35
Bullish Engulfing With Tall Candles|Industry|Household & Personal Products|16|0.5625|57
Bullish Engulfing With Tall Candles|Industry|Beverages - Wineries & Distilleries|16|0.5625|155
Bullish Engulfing With Tall Candles|Industry|Insurance Brokers|18|0.5555555555555556|58
Bullish Engulfing With Tall Candles|Sector|Energy|103|0.5533980582524272|50
Bullish Engulfing With Tall Candles|Industry|Farm & Heavy Construction Machinery|20|0.55|29
Bullish Engulfing With Tall Candles|Industry|Information Technology Services|33|0.5454545454545454|35
Bullish Engulfing With Tall Candles|Industry|Insurance - Property & Casualty|22|0.5454545454545454|45
Bullish Engulfing With Tall Candles|Industry|Medical Instruments & Supplies|35|0.5428571428571428|23
Bullish Engulfing With Tall Candles|Industry|Semiconductor Equipment & Materials|13|0.5384615384615384|12
Bullish Engulfing With Tall Candles|Industry|Trucking|13|0.5384615384615384|19
Bullish Engulfing With Tall Candles|Industry|Medical Devices|65|0.5384615384615384|25
Bullish Engulfing With Tall Candles|Industry|Packaged Foods|26|0.5384615384615384|55
Bullish Engulfing With Tall Candles|Industry|Oil & Gas Refining & Marketing|13|0.5384615384615384|71
Bullish Engulfing With Tall Candles|Industry|Specialty Chemicals|28|0.5357142857142857|23
Bullish Engulfing With Tall Candles|Sector|Financial Services|494|0.5323886639676113|66
Bullish Engulfing With Tall Candles|Industry|Advertising Agencies|17|0.5294117647058824|12
Bullish Engulfing With Tall Candles|Sector|Technology|273|0.5274725274725275|22
Bullish Engulfing With Tall Candles|Sector|Real Estate|129|0.5271317829457365|80
Bullish Engulfing With Tall Candles|Industry|Internet Content & Information|25|0.52|17
Bullish Engulfing With Tall Candles|Industry|REIT - Office|25|0.52|125
Bullish Engulfing With Tall Candles|Sector|Healthcare|463|0.5183585313174947|20
Bullish Engulfing With Tall Candles|Overall|All|8771|0.5168167825789534|76
Bullish Engulfing With Tall Candles|Industry|Drug Manufacturers - Specialty & Generic|41|0.5121951219512195|11
Bullish Engulfing With Tall Candles|Industry|Asset Management|53|0.5094339622641509|65
Bullish Engulfing With Tall Candles|Sector|Basic Materials|71|0.5070422535211268|26
Bullish Engulfing With Tall Candles|Sector|Consumer Defensive|143|0.5034965034965035|66
Bullish Engulfing With Tall Candles|Industry|Auto & Truck Dealerships|16|0.5|21
Bullish Engulfing With Tall Candles|Industry|Apparel Manufacturing|10|0.5|25
Bullish Engulfing With Tall Candles|Industry|Education & Training Services|14|0.5|26
Bullish Engulfing With Tall Candles|Industry|Leisure|12|0.5|34
Bullish Engulfing With Tall Candles|Industry|Telecom Services|18|0.5|37
Bullish Engulfing With Tall Candles|Entity|SENEA.US|10|0.5|62
Bullish Engulfing With Tall Candles|Industry|Banks - Regional|308|0.4935064935064935|65
Bullish Engulfing With Tall Candles|Sector|Consumer Cyclical|284|0.49295774647887325|29
Bullish Engulfing With Tall Candles|Industry|Engineering & Construction|37|0.4864864864864865|38
Bullish Engulfing With Tall Candles|Industry|Consulting Services|23|0.4782608695652174|42
Bullish Engulfing With Tall Candles|Industry|Software - Application|86|0.47674418604651164|16
Bullish Engulfing With Tall Candles|Industry|Real Estate Services|21|0.47619047619047616|26
Bullish Engulfing With Tall Candles|Industry|Restaurants|34|0.47058823529411764|26
Bullish Engulfing With Tall Candles|Industry|Biotechnology|202|0.46534653465346537|11
Bullish Engulfing With Tall Candles|Industry|Oil & Gas E&P|28|0.4642857142857143|35
Bullish Engulfing With Tall Candles|Industry|Diagnostics & Research|37|0.4594594594594595|18
Bullish Engulfing With Tall Candles|Industry|Auto Parts|11|0.45454545454545453|41
Bullish Engulfing With Tall Candles|Entity|ROG.US|11|0.45454545454545453|46
Bullish Engulfing With Tall Candles|Industry|Communication Equipment|18|0.4444444444444444|16
Bullish Engulfing With Tall Candles|Industry|Beverages - Non-Alcoholic|27|0.4444444444444444|68
Bullish Engulfing With Tall Candles|Industry|Electronic Components|25|0.44|28
Bullish Engulfing With Tall Candles|Industry|Residential Construction|14|0.42857142857142855|21
Bullish Engulfing With Tall Candles|Industry|Semiconductors|19|0.42105263157894735|17
Bullish Engulfing With Tall Candles|Industry|Pollution & Treatment Controls|10|0.4|24
Bullish Engulfing With Tall Candles|Industry|Gold|10|0.4|27
Bullish Engulfing With Tall Candles|Industry|Airlines|10|0.4|48
Bullish Engulfing With Tall Candles|Entity|IYM.US|10|0.4|54
Bullish Engulfing With Tall Candles|Entity|STRT.US|10|0.4|66
Bullish Engulfing With Tall Candles|Sector|Financials|10|0.4|251
Bullish Engulfing With Tall Candles|Industry|Building Products & Equipment|13|0.38461538461538464|18
Bullish Engulfing With Tall Candles|Entity|PEGY.US|11|0.36363636363636365|85
Bullish Engulfing With Tall Candles|Industry|Marine Shipping|12|0.3333333333333333|5
Bullish Engulfing With Tall Candles|Industry|REIT - Industrial|13|0.3076923076923077|74
Bullish Engulfing With Tall Candles|Entity|GVP.US|10|0.3|5
Bullish Engulfing With Tall Candles|Industry|Internet Retail|15|0.26666666666666666|10
Bullish Engulfing With Tall Candles|Entity|SIJ.US|10|0.2|117
Bullish Engulfing With Tall Candles|Industry|Furnishings, Fixtures & Appliances|27|0.18518518518518517|25
Bullish Engulfing With Tall Candles|Industry|Conglomerates|11|0.18181818181818182|54
Bullish Engulfing With Tall Candles|Entity|CIVB.US|10|0.1|70
