Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Tall Candles|Industry|Aerospace & Defense|21|0.8095238095238095|31
Bullish Engulfing With Tall Candles|Industry|Oil & Gas Midstream|13|0.7692307692307693|55
Bullish Engulfing With Tall Candles|Industry|Medical Care Facilities|16|0.75|36
Bullish Engulfing With Tall Candles|Industry|Entertainment|15|0.7333333333333333|27
Bullish Engulfing With Tall Candles|Industry|Household & Personal Products|11|0.7272727272727273|78
Bullish Engulfing With Tall Candles|Industry|Insurance - Property & Casualty|14|0.7142857142857143|77
Bullish Engulfing With Tall Candles|Industry|Scientific & Technical Instruments|10|0.7|22
Bullish Engulfing With Tall Candles|Industry|Drug Manufacturers - General|10|0.7|36
Bullish Engulfing With Tall Candles|Industry|Specialty Retail|13|0.6923076923076923|20
Bullish Engulfing With Tall Candles|Industry|Information Technology Services|19|0.6842105263157895|38
Bullish Engulfing With Tall Candles|Industry|Restaurants|17|0.6470588235294118|53
Bullish Engulfing With Tall Candles|Entity|QID.US|11|0.6363636363636364|32
Bullish Engulfing With Tall Candles|Industry|Oil & Gas Refining & Marketing|11|0.6363636363636364|50
Bullish Engulfing With Tall Candles|Sector|Communication Services|60|0.6166666666666667|20
Bullish Engulfing With Tall Candles|Industry|Utilities - Regulated Electric|36|0.6111111111111112|102
Bullish Engulfing With Tall Candles|Industry|Farm Products|10|0.6|61
Bullish Engulfing With Tall Candles|Entity|SEF.US|10|0.6|116
Bullish Engulfing With Tall Candles|Industry|Drug Manufacturers - Specialty & Generic|34|0.5882352941176471|10
Bullish Engulfing With Tall Candles|Industry|Medical Devices|31|0.5806451612903226|27
Bullish Engulfing With Tall Candles|Sector|Utilities|59|0.576271186440678|81
Bullish Engulfing With Tall Candles|Industry|Oil & Gas Equipment & Services|21|0.5714285714285714|35
Bullish Engulfing With Tall Candles|Industry|Beverages - Non-Alcoholic|14|0.5714285714285714|49
Bullish Engulfing With Tall Candles|Industry|Packaged Foods|16|0.5625|59
Bullish Engulfing With Tall Candles|Sector|Energy|82|0.5609756097560976|47
Bullish Engulfing With Tall Candles|Industry|Software - Infrastructure|25|0.56|10
Bullish Engulfing With Tall Candles|Industry|Medical Instruments & Supplies|18|0.5555555555555556|36
Bullish Engulfing With Tall Candles|Industry|Asset Management|40|0.55|106
Bullish Engulfing With Tall Candles|Industry|Utilities - Regulated Water|11|0.5454545454545454|35
Bullish Engulfing With Tall Candles|Industry|Consulting Services|11|0.5454545454545454|72
Bullish Engulfing With Tall Candles|Industry|Communication Equipment|13|0.5384615384615384|18
Bullish Engulfing With Tall Candles|Industry|Diagnostics & Research|17|0.5294117647058824|10
Bullish Engulfing With Tall Candles|Sector|Consumer Defensive|93|0.5268817204301075|54
Bullish Engulfing With Tall Candles|Industry|Apparel Retail|19|0.5263157894736842|21
Bullish Engulfing With Tall Candles|Industry|Specialty Industrial Machinery|37|0.5135135135135135|24
Bullish Engulfing With Tall Candles|Sector|Technology|156|0.5128205128205128|21
Bullish Engulfing With Tall Candles|Sector|Healthcare|297|0.5117845117845118|19
Bullish Engulfing With Tall Candles|Sector|Industrials|212|0.5094339622641509|30
Bullish Engulfing With Tall Candles|Industry|Residential Construction|10|0.5|15
Bullish Engulfing With Tall Candles|Industry|Telecom Services|16|0.5|18
Bullish Engulfing With Tall Candles|Industry|Internet Content & Information|14|0.5|25
Bullish Engulfing With Tall Candles|Industry|REIT - Office|12|0.5|38
Bullish Engulfing With Tall Candles|Sector|Consumer Cyclical|163|0.4785276073619632|30
Bullish Engulfing With Tall Candles|Overall|All|4631|0.47613906283740015|72
Bullish Engulfing With Tall Candles|Sector|Financial Services|280|0.475|72
Bullish Engulfing With Tall Candles|Sector|Real Estate|82|0.4634146341463415|55
Bullish Engulfing With Tall Candles|Industry|Insurance - Specialty|11|0.45454545454545453|71
Bullish Engulfing With Tall Candles|Entity|MYY.US|11|0.45454545454545453|81
Bullish Engulfing With Tall Candles|Industry|REIT - Retail|18|0.4444444444444444|59
Bullish Engulfing With Tall Candles|Industry|Software - Application|42|0.42857142857142855|14
Bullish Engulfing With Tall Candles|Industry|Specialty Chemicals|21|0.42857142857142855|29
Bullish Engulfing With Tall Candles|Industry|Banks - Regional|167|0.41916167664670656|60
Bullish Engulfing With Tall Candles|Industry|Biotechnology|155|0.4129032258064516|9
Bullish Engulfing With Tall Candles|Industry|Gold|22|0.4090909090909091|20
Bullish Engulfing With Tall Candles|Industry|Engineering & Construction|15|0.4|22
Bullish Engulfing With Tall Candles|Industry|Oil & Gas E&P|20|0.4|29
Bullish Engulfing With Tall Candles|Industry|Industrial Distribution|10|0.4|40
Bullish Engulfing With Tall Candles|Entity|SDS.US|10|0.4|44
Bullish Engulfing With Tall Candles|Sector|Basic Materials|68|0.39705882352941174|22
Bullish Engulfing With Tall Candles|Industry|Farm & Heavy Construction Machinery|13|0.38461538461538464|17
Bullish Engulfing With Tall Candles|Entity|TWM.US|11|0.36363636363636365|15
Bullish Engulfing With Tall Candles|Entity|SIJ.US|12|0.3333333333333333|64
Bullish Engulfing With Tall Candles|Industry|Furnishings, Fixtures & Appliances|17|0.29411764705882354|49
Bullish Engulfing With Tall Candles|Industry|Semiconductors|14|0.2857142857142857|23
Bullish Engulfing With Tall Candles|Industry|Marine Shipping|11|0.2727272727272727|2
Bullish Engulfing With Tall Candles|Industry|Real Estate Services|11|0.2727272727272727|19
Bullish Engulfing With Tall Candles|Entity|SDD.US|11|0.2727272727272727|47
Bullish Engulfing With Tall Candles|Entity|RWM.US|11|0.2727272727272727|118
Bullish Engulfing With Tall Candles|Industry|Internet Retail|15|0.26666666666666666|10
Bullish Engulfing With Tall Candles|Entity|DXD.US|12|0.25|44
Bullish Engulfing With Tall Candles|Entity|SBB.US|13|0.23076923076923078|47
Bullish Engulfing With Tall Candles|Entity|PSQ.US|14|0.21428571428571427|32
Bullish Engulfing With Tall Candles|Entity|DOG.US|10|0.2|114
Bullish Engulfing With Tall Candles|Entity|SH.US|12|0.16666666666666666|116
