Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bullish Engulfing With Tall Candles|AAA.US|||5/19/2022|Close|24.4800|||||||||
Bullish Engulfing With Tall Candles|AAA.US|||3/1/2024|Close|25.1050|||||||||
Bullish Engulfing With Tall Candles|AADI.US|Biotechnology|Healthcare|5/24/2011|Close|461.7300|4/29/2013|High|511.4100|8/8/2011|Low|383.5500|Down|54|76
Bullish Engulfing With Tall Candles|AADI.US|Biotechnology|Healthcare|6/6/2013|Close|504.3000|10/22/2013|High|556.8000|8/8/2017|Low|90.0000|Up|98|138
Bullish Engulfing With Tall Candles|AADI.US|Biotechnology|Healthcare|10/11/2021|Close|26.9500|11/16/2021|High|29.7200|11/10/2021|Low|21.5500|Down|22|30
Bullish Engulfing With Tall Candles|AADR.US|||5/24/2011|Close|30.7820|4/29/2013|High|34.0940|8/8/2011|Low|25.5700|Down|54|76
Bullish Engulfing With Tall Candles|AADR.US|||6/6/2013|Close|33.6200|10/22/2013|High|37.1200|8/8/2017|Low|6.0000|Up|98|138
Bullish Engulfing With Tall Candles|AADR.US|||10/11/2021|Close|26.9500|11/16/2021|High|29.7200|11/10/2021|Low|21.5500|Down|22|30
Bullish Engulfing With Tall Candles|AAOI.US|Communication Equipment|Technology|10/3/2018|Close|24.9100||||10/8/2018|Low|22.1200|Down|3|5
Bullish Engulfing With Tall Candles|AAOI.US|Communication Equipment|Technology|1/24/2022|Close|4.0200|2/17/2022|High|4.5300|2/24/2022|Low|3.4900|Up|18|24
Bullish Engulfing With Tall Candles|AAPL.US|Consumer Electronics|Technology|3/27/1996|Close|0.2254|5/14/1996|High|0.2500|6/18/1996|Low|0.2020|Up|34|48
Bullish Engulfing With Tall Candles|AAPL.US|Consumer Electronics|Technology|3/20/1997|Close|0.1540|3/27/1997|High|0.1719|6/16/1997|Low|0.1373|Up|5|7
Bullish Engulfing With Tall Candles|AAPL.US|Consumer Electronics|Technology|7/14/2004|Close|0.5282|7/15/2004|High|0.6005||||Up|1|1
Bullish Engulfing With Tall Candles|AAPL.US|Consumer Electronics|Technology|6/8/2006|Close|2.1700|7/31/2006|High|2.4511|7/7/2006|Low|1.9525|Down|21|29
Bullish Engulfing With Tall Candles|AAPL.US|Consumer Electronics|Technology|11/13/2008|Close|3.4443|3/23/2009|High|3.8629|11/19/2008|Low|3.0789|Down|4|6
Bullish Engulfing With Tall Candles|AAP.US|Specialty Retail|Consumer Cyclical|10/24/2007|Close|33.5800|11/14/2007|High|37.0000|1/14/2008|Low|30.1700|Up|15|21
Bullish Engulfing With Tall Candles|AAP.US|Specialty Retail|Consumer Cyclical|10/4/2011|Close|58.5600|10/27/2011|High|66.6100|10/4/2023|Low|51.9500|Up|17|23
Bullish Engulfing With Tall Candles|AAP.US|Specialty Retail|Consumer Cyclical|4/12/2016|Close|156.5000|7/28/2016|High|172.8700|5/19/2016|Low|132.9800|Down|27|37
Bullish Engulfing With Tall Candles|AAP.US|Specialty Retail|Consumer Cyclical|2/8/2017|Close|162.7300|11/13/2018|High|185.5000|3/27/2017|Low|146.1750|Down|33|47
Bullish Engulfing With Tall Candles|AAP.US|Specialty Retail|Consumer Cyclical|10/26/2017|Close|85.6500|11/14/2017|High|102.8900|3/20/2020|Low|73.7400|Up|13|19
Bullish Engulfing With Tall Candles|AAT.US|REIT - Diversified|Real Estate|8/17/2016|Close|44.6800|10/31/2019|High|49.2600|10/6/2016|Low|40.1323|Down|36|50
Bullish Engulfing With Tall Candles|AAT.US|REIT - Diversified|Real Estate|10/10/2016|Close|40.9400|3/7/2019|High|45.4400|11/1/2017|Low|36.7910|Down|277|387
Bullish Engulfing With Tall Candles|AAT.US|REIT - Diversified|Real Estate|7/9/2020|Close|26.4300|11/17/2020|High|29.1900|9/21/2020|Low|23.3700|Down|52|74
Bullish Engulfing With Tall Candles|AA.US|Aluminum|Basic Materials|3/18/2015|Close|31.9118|1/19/2017|High|35.6300|6/15/2015|Low|28.6438|Down|63|89
