Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Tall Candles|Industry|Financial Data & Stock Exchanges|16|1|72
Bullish Engulfing With Tall Candles|Industry|Medical Distribution|19|0.9473684210526315|67
Bullish Engulfing With Tall Candles|Entity|CRL.US|11|0.9090909090909091|26
Bullish Engulfing With Tall Candles|Entity|EHC.US|10|0.9|35
Bullish Engulfing With Tall Candles|Entity|MLM.US|10|0.9|40
Bullish Engulfing With Tall Candles|Entity|HEI-A.US|10|0.9|41
Bullish Engulfing With Tall Candles|Entity|JJSF.US|10|0.9|51
Bullish Engulfing With Tall Candles|Entity|HSIC.US|10|0.9|71
Bullish Engulfing With Tall Candles|Entity|ARE.US|10|0.9|78
Bullish Engulfing With Tall Candles|Entity|PEBO.US|12|0.8333333333333334|54
Bullish Engulfing With Tall Candles|Entity|EPAC.US|11|0.8181818181818182|28
Bullish Engulfing With Tall Candles|Entity|CLB.US|10|0.8|27
Bullish Engulfing With Tall Candles|Entity|IMKTA.US|10|0.8|33
Bullish Engulfing With Tall Candles|Entity|LSTR.US|10|0.8|76
Bullish Engulfing With Tall Candles|Entity|CCEP.US|10|0.8|84
Bullish Engulfing With Tall Candles|Entity|OTTR.US|10|0.8|116
Bullish Engulfing With Tall Candles|Industry|Chemicals|13|0.7692307692307693|25
Bullish Engulfing With Tall Candles|Entity|IPAR.US|13|0.7692307692307693|34
Bullish Engulfing With Tall Candles|Entity|MCY.US|13|0.7692307692307693|59
Bullish Engulfing With Tall Candles|Entity|WSM.US|12|0.75|19
Bullish Engulfing With Tall Candles|Entity|WST.US|12|0.75|44
Bullish Engulfing With Tall Candles|Entity|XSVM.US|12|0.75|75
Bullish Engulfing With Tall Candles|Entity|NRIM.US|12|0.75|76
Bullish Engulfing With Tall Candles|Entity|SLYG.US|12|0.75|91
Bullish Engulfing With Tall Candles|Entity|UHT.US|12|0.75|194
Bullish Engulfing With Tall Candles|Entity|TIMB.US|11|0.7272727272727273|27
Bullish Engulfing With Tall Candles|Industry|Grocery Stores|11|0.7272727272727273|33
