Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Tall Candles|Sector|Communication Services|25|0.76|22
Bullish Engulfing With Tall Candles|Sector|Energy|30|0.6333333333333333|28
Bullish Engulfing With Tall Candles|Industry|Specialty Industrial Machinery|13|0.6153846153846154|34
Bullish Engulfing With Tall Candles|Sector|Utilities|18|0.5555555555555556|66
Bullish Engulfing With Tall Candles|Sector|Real Estate|22|0.5454545454545454|39
Bullish Engulfing With Tall Candles|Sector|Consumer Cyclical|55|0.5272727272727272|29
Bullish Engulfing With Tall Candles|Sector|Industrials|75|0.49333333333333335|30
Bullish Engulfing With Tall Candles|Sector|Technology|51|0.49019607843137253|19
Bullish Engulfing With Tall Candles|Sector|Healthcare|119|0.4789915966386555|16
Bullish Engulfing With Tall Candles|Sector|Consumer Defensive|36|0.4722222222222222|41
Bullish Engulfing With Tall Candles|Overall|All|1734|0.46943483275663206|81
Bullish Engulfing With Tall Candles|Industry|Medical Devices|13|0.46153846153846156|9
Bullish Engulfing With Tall Candles|Sector|Financial Services|86|0.4186046511627907|79
Bullish Engulfing With Tall Candles|Industry|Biotechnology|65|0.36923076923076925|9
Bullish Engulfing With Tall Candles|Sector|Basic Materials|22|0.36363636363636365|20
Bullish Engulfing With Tall Candles|Industry|Banks - Regional|57|0.3508771929824561|59
Bullish Engulfing With Tall Candles|Industry|Software - Application|20|0.35|14
Bullish Engulfing With Tall Candles|Industry|Specialty Chemicals|10|0.2|8
