Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Tall Candles|Industry|Medical Distribution|13|0.9230769230769231|82
Bullish Engulfing With Tall Candles|Industry|Specialty Business Services|19|0.7894736842105263|37
Bullish Engulfing With Tall Candles|Industry|Staffing & Employment Services|12|0.75|34
Bullish Engulfing With Tall Candles|Industry|Integrated Freight & Logistics|12|0.75|58
Bullish Engulfing With Tall Candles|Industry|Household & Personal Products|19|0.7368421052631579|67
Bullish Engulfing With Tall Candles|Industry|Aerospace & Defense|49|0.7346938775510204|36
Bullish Engulfing With Tall Candles|Industry|REIT - Residential|18|0.7222222222222222|116
Bullish Engulfing With Tall Candles|Industry|Auto & Truck Dealerships|14|0.7142857142857143|18
Bullish Engulfing With Tall Candles|Entity|WSM.US|10|0.7|21
Bullish Engulfing With Tall Candles|Industry|Credit Services|20|0.7|24
Bullish Engulfing With Tall Candles|Industry|REIT - Specialty|10|0.7|28
Bullish Engulfing With Tall Candles|Industry|Insurance - Life|10|0.7|55
Bullish Engulfing With Tall Candles|Industry|Security & Protection Services|20|0.7|74
Bullish Engulfing With Tall Candles|Entity|IDU.US|10|0.7|222
Bullish Engulfing With Tall Candles|Industry|Farm Products|13|0.6923076923076923|52
Bullish Engulfing With Tall Candles|Industry|Insurance - Property & Casualty|29|0.6896551724137931|89
Bullish Engulfing With Tall Candles|Industry|Oil & Gas Integrated|16|0.6875|99
Bullish Engulfing With Tall Candles|Industry|Packaging & Containers|19|0.6842105263157895|52
Bullish Engulfing With Tall Candles|Industry|Utilities - Regulated Electric|63|0.6825396825396826|119
Bullish Engulfing With Tall Candles|Industry|Oil & Gas Midstream|22|0.6818181818181818|98
Bullish Engulfing With Tall Candles|Industry|Drug Manufacturers - General|21|0.6666666666666666|34
Bullish Engulfing With Tall Candles|Industry|Scientific & Technical Instruments|21|0.6666666666666666|38
Bullish Engulfing With Tall Candles|Industry|Consulting Services|23|0.6521739130434783|58
Bullish Engulfing With Tall Candles|Industry|Capital Markets|11|0.6363636363636364|27
Bullish Engulfing With Tall Candles|Industry|Medical Devices|61|0.6229508196721312|33
Bullish Engulfing With Tall Candles|Industry|Specialty Industrial Machinery|63|0.6190476190476191|46
Bullish Engulfing With Tall Candles|Industry|Insurance Brokers|21|0.6190476190476191|121
Bullish Engulfing With Tall Candles|Industry|Lodging|13|0.6153846153846154|30
Bullish Engulfing With Tall Candles|Industry|Packaged Foods|31|0.6129032258064516|78
Bullish Engulfing With Tall Candles|Industry|Information Technology Services|36|0.6111111111111112|36
Bullish Engulfing With Tall Candles|Entity|SEF.US|10|0.6|116
Bullish Engulfing With Tall Candles|Sector|Utilities|114|0.5964912280701754|101
Bullish Engulfing With Tall Candles|Industry|Software - Infrastructure|51|0.5882352941176471|17
Bullish Engulfing With Tall Candles|Industry|Communication Equipment|17|0.5882352941176471|22
Bullish Engulfing With Tall Candles|Entity|QID.US|12|0.5833333333333334|32
Bullish Engulfing With Tall Candles|Industry|Electronics & Computer Distribution|12|0.5833333333333334|39
Bullish Engulfing With Tall Candles|Industry|Medical Care Facilities|31|0.5806451612903226|33
Bullish Engulfing With Tall Candles|Industry|Restaurants|38|0.5789473684210527|41
Bullish Engulfing With Tall Candles|Industry|Banks - Diversified|14|0.5714285714285714|70
Bullish Engulfing With Tall Candles|Industry|Personal Services|14|0.5714285714285714|111
Bullish Engulfing With Tall Candles|Industry|Medical Instruments & Supplies|39|0.5641025641025641|31
Bullish Engulfing With Tall Candles|Industry|Beverages - Non-Alcoholic|25|0.56|50
Bullish Engulfing With Tall Candles|Sector|Consumer Defensive|161|0.5590062111801242|63
Bullish Engulfing With Tall Candles|Sector|Industrials|399|0.556390977443609|42
Bullish Engulfing With Tall Candles|Industry|Electrical Equipment & Parts|18|0.5555555555555556|28
Bullish Engulfing With Tall Candles|Industry|Specialty Retail|29|0.5517241379310345|32
Bullish Engulfing With Tall Candles|Industry|REIT - Retail|29|0.5517241379310345|82
Bullish Engulfing With Tall Candles|Sector|Energy|139|0.5467625899280576|56
Bullish Engulfing With Tall Candles|Industry|Footwear & Accessories|11|0.5454545454545454|24
Bullish Engulfing With Tall Candles|Industry|Utilities - Regulated Water|24|0.5416666666666666|44
Bullish Engulfing With Tall Candles|Industry|Drug Manufacturers - Specialty & Generic|52|0.5384615384615384|12
Bullish Engulfing With Tall Candles|Industry|Apparel Retail|39|0.5384615384615384|22
Bullish Engulfing With Tall Candles|Industry|Entertainment|28|0.5357142857142857|26
Bullish Engulfing With Tall Candles|Sector|Healthcare|491|0.5336048879837068|24
Bullish Engulfing With Tall Candles|Industry|Oil & Gas Refining & Marketing|15|0.5333333333333333|46
Bullish Engulfing With Tall Candles|Sector|Technology|284|0.5316901408450704|24
Bullish Engulfing With Tall Candles|Industry|Oil & Gas Equipment & Services|32|0.53125|28
Bullish Engulfing With Tall Candles|Industry|Education & Training Services|17|0.5294117647058824|32
Bullish Engulfing With Tall Candles|Sector|Communication Services|101|0.5247524752475248|22
Bullish Engulfing With Tall Candles|Sector|Financial Services|530|0.5226415094339623|78
Bullish Engulfing With Tall Candles|Industry|Internet Content & Information|23|0.5217391304347826|20
Bullish Engulfing With Tall Candles|Industry|Oil & Gas E&P|37|0.5135135135135135|37
Bullish Engulfing With Tall Candles|Sector|Consumer Cyclical|319|0.5109717868338558|34
Bullish Engulfing With Tall Candles|Sector|Real Estate|147|0.5102040816326531|82
Bullish Engulfing With Tall Candles|Industry|Advertising Agencies|14|0.5|12
Bullish Engulfing With Tall Candles|Industry|Trucking|10|0.5|13
Bullish Engulfing With Tall Candles|Industry|Semiconductor Equipment & Materials|10|0.5|24
Bullish Engulfing With Tall Candles|Industry|Specialty Chemicals|34|0.5|35
Bullish Engulfing With Tall Candles|Industry|Industrial Distribution|18|0.5|40
Bullish Engulfing With Tall Candles|Industry|Insurance - Specialty|28|0.5|108
Bullish Engulfing With Tall Candles|Industry|Insurance - Diversified|20|0.5|146
