Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Tall Candles|Industry|STATE COMMERCIAL BANKS|35|0.9142857142857143|302
Bullish Engulfing With Tall Candles|Industry|SEMICONDUCTORS & RELATED DEVICES|10|0.9|129
Bullish Engulfing With Tall Candles|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|13|0.8461538461538461|194
Bullish Engulfing With Tall Candles|Industry|NATIONAL COMMERCIAL BANKS|32|0.84375|306
Bullish Engulfing With Tall Candles|Industry|SERVICES-BUSINESS SERVICES, NEC|13|0.6153846153846154|136
Bullish Engulfing With Tall Candles|Industry|INVESTMENT ADVICE|20|0.6|124
Bullish Engulfing With Tall Candles|Industry|INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL|10|0.6|160
Bullish Engulfing With Tall Candles|Industry|FIRE, MARINE & CASUALTY INSURANCE|15|0.5333333333333333|158
Bullish Engulfing With Tall Candles|Industry|RETAIL-EATING PLACES|10|0.5|48
Bullish Engulfing With Tall Candles|Industry|SERVICES-PREPACKAGED SOFTWARE|13|0.46153846153846156|135
Bullish Engulfing With Tall Candles|Industry|ELECTRIC SERVICES|20|0.45|231
Bullish Engulfing With Tall Candles|Industry|CRUDE PETROLEUM & NATURAL GAS|18|0.3888888888888889|53
Bullish Engulfing With Tall Candles|Industry|REAL ESTATE INVESTMENT TRUSTS|44|0.38636363636363635|151
Bullish Engulfing With Tall Candles|Industry|PHARMACEUTICAL PREPARATIONS|30|0.36666666666666664|55
Bullish Engulfing With Tall Candles|Overall|All|1610|0.36335403726708076|176
Bullish Engulfing With Tall Candles|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|10|0.2|414
Bullish Engulfing With Tall Candles|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|38|0.15789473684210525|172
