Name,Category,Sub Category,Number Signals,Success %,Avg Duration
Bullish Engulfing,Entity,BF-B.US,10,0.8,129
Bullish Engulfing,Entity,TIMB.US,11,0.7272727272727273,27
Bullish Engulfing,Entity,UHT.US,11,0.7272727272727273,192
Bullish Engulfing,Entity,VHI.US,10,0.7,17
Bullish Engulfing,Entity,IPAR.US,10,0.7,37
Bullish Engulfing,Entity,OCN.US,11,0.6363636363636364,13
Bullish Engulfing,Entity,MNRO.US,11,0.6363636363636364,29
Bullish Engulfing,Entity,UEIC.US,10,0.6,25
Bullish Engulfing,Entity,GILT.US,10,0.6,26
Bullish Engulfing,Entity,TOL.US,10,0.6,49
Bullish Engulfing,Entity,SEF.US,10,0.6,116
Bullish Engulfing,Overall,All,11743,0.5209912288171676,59
Bullish Engulfing,Entity,SOXS.US,10,0.5,6
Bullish Engulfing,Entity,PLPC.US,10,0.5,15
Bullish Engulfing,Entity,PNM.US,10,0.5,51
Bullish Engulfing,Entity,SDS.US,13,0.46153846153846156,37
Bullish Engulfing,Entity,TEO.US,11,0.45454545454545453,10
Bullish Engulfing,Entity,BCH.US,11,0.45454545454545453,50
Bullish Engulfing,Entity,SIJ.US,16,0.4375,47
Bullish Engulfing,Entity,QID.US,14,0.42857142857142855,34
Bullish Engulfing,Entity,INCY.US,10,0.4,16
Bullish Engulfing,Entity,EQT.US,10,0.4,18
Bullish Engulfing,Entity,PARAA.US,10,0.4,21
Bullish Engulfing,Entity,NYT.US,10,0.4,53
Bullish Engulfing,Entity,TWM.US,13,0.38461538461538464,15
Bullish Engulfing,Entity,SQQQ.US,13,0.38461538461538464,18
Bullish Engulfing,Entity,SKF.US,13,0.38461538461538464,21
Bullish Engulfing,Entity,MBIO.US,11,0.36363636363636365,6
Bullish Engulfing,Entity,OPY.US,11,0.36363636363636365,40
Bullish Engulfing,Entity,FL.US,12,0.3333333333333333,74
Bullish Engulfing,Entity,ROG.US,10,0.3,9
Bullish Engulfing,Entity,STRT.US,10,0.3,49
Bullish Engulfing,Entity,RWM.US,10,0.3,118
Bullish Engulfing,Entity,SBB.US,12,0.25,47
Bullish Engulfing,Entity,DXD.US,12,0.25,54
Bullish Engulfing,Entity,SPXS.US,13,0.23076923076923078,10
Bullish Engulfing,Entity,PSQ.US,13,0.23076923076923078,32
Bullish Engulfing,Entity,SH.US,13,0.23076923076923078,193
Bullish Engulfing,Entity,SDD.US,14,0.21428571428571427,47
Bullish Engulfing,Entity,REW.US,10,0.2,34
Bullish Engulfing,Entity,DOG.US,10,0.2,114
Bullish Engulfing,Entity,SPXU.US,11,0.18181818181818182,11
