Name,Code,Industry,Sector,Entry Date,Entry Price Point,Entry Price,Result Up Date,Result Up Price Point,Result Up Price,Result Down Date,Result Down Price Point,Result Down Price,Result Direction,Trading Days,Calendar Days
Bullish Engulfing,AAA.US,,,5/19/2022,Close,24.4800,,,,,,,,,
Bullish Engulfing,AAPL.US,,,3/27/1996,Close,0.2254,5/14/1996,High,0.2500,6/18/1996,Low,0.2020,Up,34,48
Bullish Engulfing,AAP.US,,,10/24/2007,Close,33.5800,11/14/2007,High,37.0000,1/14/2008,Low,30.1700,Up,15,21
Bullish Engulfing,AAT.US,,,10/10/2016,Close,40.9400,3/7/2019,High,45.4400,11/1/2017,Low,36.7910,Down,277,387
Bullish Engulfing,AAT.US,,,7/9/2020,Close,26.4300,11/17/2020,High,29.1900,9/21/2020,Low,23.3700,Down,52,74
Bullish Engulfing,ABCB.US,,,1/16/2008,Close,14.0951,2/1/2008,High,15.5638,1/18/2008,Low,12.6846,Down,2,2
Bullish Engulfing,ABCB.US,,,7/30/2010,Close,9.8400,12/20/2010,High,10.9000,8/11/2010,Low,8.7300,Down,8,12
Bullish Engulfing,ABEO.US,,,11/8/1993,Close,171875.0000,1/6/1994,High,218750.0000,11/15/1993,Low,148437.5000,Down,5,7
Bullish Engulfing,ABEO.US,,,2/2/2005,Close,17437.5000,2/4/2005,High,19375.0000,3/3/2005,Low,15625.0000,Up,2,2
Bullish Engulfing,ABEO.US,,,7/17/2013,Close,537.3750,3/11/2014,High,637.5000,7/24/2013,Low,475.0000,Down,5,7
Bullish Engulfing,ABEO.US,,,7/21/2014,Close,337.5000,7/22/2014,High,410.0000,8/5/2014,Low,293.7500,Up,1,1
Bullish Engulfing,ABEO.US,,,12/29/2022,Close,2.8200,1/3/2023,High,3.1500,1/19/2023,Low,2.4895,Up,3,5
Bullish Engulfing,ABG.US,,,4/19/2005,Close,14.0500,6/16/2005,High,15.6900,1/18/2008,Low,12.0800,Up,42,58
Bullish Engulfing,ABG.US,,,4/13/2006,Close,18.6000,5/8/2006,High,20.6100,11/6/2007,Low,16.3800,Up,17,25
Bullish Engulfing,ABT.US,,,2/13/1990,Close,3.6122,5/11/1990,High,3.9770,,,,Up,63,87
Bullish Engulfing,ABT.US,,,6/17/2022,Close,102.5300,12/14/2022,High,112.9100,10/11/2023,Low,92.0500,Up,128,180
Bullish Engulfing,ABVC.US,,,7/18/2023,Close,4.1700,7/26/2023,High,6.8700,7/19/2023,Low,3.5000,Down,1,1
