Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing|Entity|PEBO.US|10|1|44
Bullish Engulfing|Entity|RPM.US|10|1|60
Bullish Engulfing|Entity|SHEL.US|14|0.9285714285714286|130
Bullish Engulfing|Entity|BOH.US|12|0.9166666666666666|165
Bullish Engulfing|Entity|FLR.US|11|0.9090909090909091|25
Bullish Engulfing|Entity|ITW.US|11|0.9090909090909091|40
Bullish Engulfing|Entity|MLM.US|11|0.9090909090909091|44
Bullish Engulfing|Entity|EW.US|11|0.9090909090909091|51
Bullish Engulfing|Entity|MMC.US|11|0.9090909090909091|75
Bullish Engulfing|Entity|RZG.US|11|0.9090909090909091|85
Bullish Engulfing|Entity|XSVM.US|11|0.9090909090909091|104
Bullish Engulfing|Entity|MATW.US|10|0.9|42
Bullish Engulfing|Entity|AVY.US|10|0.9|53
Bullish Engulfing|Entity|AGR.US|10|0.9|67
Bullish Engulfing|Entity|TRV.US|10|0.9|74
Bullish Engulfing|Entity|IJT.US|10|0.9|98
Bullish Engulfing|Entity|WTM.US|10|0.9|143
Bullish Engulfing|Entity|UMBF.US|16|0.875|61
Bullish Engulfing|Industry|Medical Distribution|29|0.8620689655172413|63
Bullish Engulfing|Entity|L.US|14|0.8571428571428571|54
Bullish Engulfing|Entity|PKE.US|13|0.8461538461538461|33
Bullish Engulfing|Entity|AMGN.US|13|0.8461538461538461|35
Bullish Engulfing|Entity|AME.US|13|0.8461538461538461|44
Bullish Engulfing|Entity|MCY.US|13|0.8461538461538461|56
Bullish Engulfing|Entity|ABT.US|13|0.8461538461538461|60
Bullish Engulfing|Entity|ARE.US|13|0.8461538461538461|80
Bullish Engulfing|Entity|SKX.US|12|0.8333333333333334|18
Bullish Engulfing|Entity|LHX.US|12|0.8333333333333334|28
Bullish Engulfing|Entity|BHE.US|12|0.8333333333333334|29
Bullish Engulfing|Entity|JJSF.US|12|0.8333333333333334|32
Bullish Engulfing|Entity|SHW.US|12|0.8333333333333334|48
Bullish Engulfing|Entity|CCEP.US|12|0.8333333333333334|62
Bullish Engulfing|Entity|FUL.US|12|0.8333333333333334|68
Bullish Engulfing|Entity|OTTR.US|12|0.8333333333333334|108
Bullish Engulfing|Entity|WMS.US|11|0.8181818181818182|13
Bullish Engulfing|Entity|TER.US|11|0.8181818181818182|13
Bullish Engulfing|Entity|PRGS.US|11|0.8181818181818182|19
Bullish Engulfing|Entity|DECK.US|11|0.8181818181818182|20
Bullish Engulfing|Entity|NPO.US|11|0.8181818181818182|24
Bullish Engulfing|Entity|STLD.US|11|0.8181818181818182|25
Bullish Engulfing|Entity|ZBRA.US|11|0.8181818181818182|28
Bullish Engulfing|Entity|TXN.US|11|0.8181818181818182|29
Bullish Engulfing|Entity|EWW.US|11|0.8181818181818182|46
Bullish Engulfing|Entity|ENB.US|11|0.8181818181818182|66
Bullish Engulfing|Entity|HIG.US|11|0.8181818181818182|69
Bullish Engulfing|Entity|HSIC.US|11|0.8181818181818182|71
Bullish Engulfing|Entity|RY.US|11|0.8181818181818182|89
Bullish Engulfing|Entity|CAH.US|11|0.8181818181818182|94
Bullish Engulfing|Entity|EG.US|11|0.8181818181818182|110
Bullish Engulfing|Entity|TMO.US|16|0.8125|57
Bullish Engulfing|Entity|SNA.US|16|0.8125|69
Bullish Engulfing|Industry|Financial Data & Stock Exchanges|21|0.8095238095238095|63
Bullish Engulfing|Entity|EGIO.US|10|0.8|9
Bullish Engulfing|Entity|CUK.US|10|0.8|20
Bullish Engulfing|Entity|MIDD.US|10|0.8|23
Bullish Engulfing|Entity|LEN-B.US|10|0.8|23
Bullish Engulfing|Entity|BKE.US|15|0.8|25
Bullish Engulfing|Entity|EEFT.US|10|0.8|26
Bullish Engulfing|Entity|OXY.US|10|0.8|28
Bullish Engulfing|Entity|PBI.US|10|0.8|29
Bullish Engulfing|Entity|RF.US|10|0.8|30
Bullish Engulfing|Entity|HELE.US|15|0.8|32
Bullish Engulfing|Entity|ESE.US|10|0.8|32
Bullish Engulfing|Entity|ABG.US|10|0.8|38
Bullish Engulfing|Entity|ICUI.US|10|0.8|43
Bullish Engulfing|Entity|WNS.US|10|0.8|46
Bullish Engulfing|Entity|XLF.US|10|0.8|51
Bullish Engulfing|Entity|AXP.US|10|0.8|53
Bullish Engulfing|Entity|BMO.US|10|0.8|54
Bullish Engulfing|Entity|CASY.US|10|0.8|57
Bullish Engulfing|Entity|CASS.US|10|0.8|58
Bullish Engulfing|Entity|JKK.US|10|0.8|70
Bullish Engulfing|Entity|CAG.US|10|0.8|76
Bullish Engulfing|Entity|PPL.US|10|0.8|77
Bullish Engulfing|Entity|EWQ.US|10|0.8|77
Bullish Engulfing|Entity|IDA.US|10|0.8|82
Bullish Engulfing|Entity|VLY.US|10|0.8|94
Bullish Engulfing|Entity|PG.US|10|0.8|143
Bullish Engulfing|Entity|DTE.US|10|0.8|167
Bullish Engulfing|Entity|TIMB.US|19|0.7894736842105263|23
Bullish Engulfing|Entity|BF-B.US|19|0.7894736842105263|110
Bullish Engulfing|Entity|WRLD.US|13|0.7692307692307693|17
Bullish Engulfing|Entity|ARCB.US|13|0.7692307692307693|30
Bullish Engulfing|Entity|SAFT.US|13|0.7692307692307693|77
Bullish Engulfing|Entity|TALO.US|17|0.7647058823529411|12
Bullish Engulfing|Entity|TECH.US|17|0.7647058823529411|80
