Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing|Industry|STATE COMMERCIAL BANKS|23|0.9130434782608695|287
Bullish Engulfing|Industry|NATIONAL COMMERCIAL BANKS|23|0.8260869565217391|279
Bullish Engulfing|Industry|INVESTMENT ADVICE|18|0.6111111111111112|134
Bullish Engulfing|Industry|FIRE, MARINE & CASUALTY INSURANCE|11|0.5454545454545454|137
Bullish Engulfing|Industry|RETAIL-EATING PLACES|10|0.5|76
Bullish Engulfing|Industry|SERVICES-PREPACKAGED SOFTWARE|10|0.5|150
Bullish Engulfing|Industry|ELECTRIC SERVICES|16|0.5|239
Bullish Engulfing|Industry|REAL ESTATE INVESTMENT TRUSTS|36|0.3888888888888889|155
Bullish Engulfing|Industry|PHARMACEUTICAL PREPARATIONS|26|0.38461538461538464|59
Bullish Engulfing|Overall|All|1276|0.3550156739811912|162
Bullish Engulfing|Industry|CRUDE PETROLEUM & NATURAL GAS|17|0.35294117647058826|55
Bullish Engulfing|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|36|0.16666666666666666|172
