Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bullish Engulfing|AAA.US|||5/19/2022|Close|24.4800|||||||||
Bullish Engulfing|AAOI.US|Communication Equipment|Technology|10/3/2018|Close|24.9100||||10/8/2018|Low|22.1200|Down|3|5
Bullish Engulfing|AAOI.US|Communication Equipment|Technology|1/24/2022|Close|4.0200|2/17/2022|High|4.5300|2/24/2022|Low|3.4900|Up|18|24
Bullish Engulfing|AAPL.US|Consumer Electronics|Technology|3/27/1996|Close|0.2254|5/14/1996|High|0.2500|6/18/1996|Low|0.2020|Up|34|48
Bullish Engulfing|AAPL.US|Consumer Electronics|Technology|6/8/2006|Close|2.1700|7/31/2006|High|2.4511|7/7/2006|Low|1.9525|Down|21|29
Bullish Engulfing|AAP.US|Specialty Retail|Consumer Cyclical|10/24/2007|Close|33.5800|11/14/2007|High|37.0000|1/14/2008|Low|30.1700|Up|15|21
Bullish Engulfing|AAP.US|Specialty Retail|Consumer Cyclical|2/8/2017|Close|162.7300|11/13/2018|High|185.5000|3/27/2017|Low|146.1750|Down|33|47
Bullish Engulfing|AAP.US|Specialty Retail|Consumer Cyclical|10/26/2017|Close|85.6500|11/14/2017|High|102.8900|3/20/2020|Low|73.7400|Up|13|19
Bullish Engulfing|AAT.US|REIT - Diversified|Real Estate|10/10/2016|Close|40.9400|3/7/2019|High|45.4400|11/1/2017|Low|36.7910|Down|277|387
Bullish Engulfing|AA.US|Aluminum|Basic Materials|3/18/2015|Close|31.9118|1/19/2017|High|35.6300|6/15/2015|Low|28.6438|Down|63|89
Bullish Engulfing|AA.US|Aluminum|Basic Materials|8/13/2019|Close|19.1100|9/11/2019|High|22.2800|8/15/2019|Low|16.6810|Down|2|2
Bullish Engulfing|ABCB.US|Banks - Regional|Financial Services|12/27/1999|Close|8.6634|2/20/2001|High|9.6261|6/26/2000|Low|7.7010|Down|130|182
Bullish Engulfing|ABCB.US|Banks - Regional|Financial Services|7/26/2007|Close|18.8420|8/10/2007|High|21.4004|10/22/2007|Low|16.2255|Up|11|15
Bullish Engulfing|ABCB.US|Banks - Regional|Financial Services|1/16/2008|Close|14.0951|2/1/2008|High|15.5638|1/18/2008|Low|12.6846|Down|2|2
Bullish Engulfing|ABCB.US|Banks - Regional|Financial Services|7/16/2008|Close|8.6184|7/17/2008|High|9.4843|11/12/2008|Low|7.5874|Up|1|1
Bullish Engulfing|ABCB.US|Banks - Regional|Financial Services|7/30/2010|Close|9.8400|12/20/2010|High|10.9000|8/11/2010|Low|8.7300|Down|8|12
Bullish Engulfing|ABCB.US|Banks - Regional|Financial Services|9/25/2023|Close|37.8400|11/3/2023|High|42.5900||||Up|29|39
Bullish Engulfing|ABEO.US|Biotechnology|Healthcare|11/8/1993|Close|171875.0000|1/6/1994|High|218750.0000|11/15/1993|Low|148437.5000|Down|5|7
Bullish Engulfing|ABEO.US|Biotechnology|Healthcare|2/2/2005|Close|17437.5000|2/4/2005|High|19375.0000|3/3/2005|Low|15625.0000|Up|2|2
Bullish Engulfing|ABEO.US|Biotechnology|Healthcare|3/29/2005|Close|15312.5000|4/14/2005|High|18000.0000|4/1/2005|Low|13250.0000|Down|3|3
Bullish Engulfing|ABEO.US|Biotechnology|Healthcare|8/17/2005|Close|6062.5000|9/23/2005|High|6750.0000|8/18/2005|Low|5187.5000|Down|1|1
Bullish Engulfing|ABEO.US|Biotechnology|Healthcare|7/17/2013|Close|537.3750|3/11/2014|High|637.5000|7/24/2013|Low|475.0000|Down|5|7
Bullish Engulfing|ABEO.US|Biotechnology|Healthcare|7/21/2014|Close|337.5000|7/22/2014|High|410.0000|8/5/2014|Low|293.7500|Up|1|1
Bullish Engulfing|ABEO.US|Biotechnology|Healthcare|12/29/2022|Close|2.8200|1/3/2023|High|3.1500|1/19/2023|Low|2.4895|Up|3|5
Bullish Engulfing|ABG.US|Auto & Truck Dealerships|Consumer Cyclical|4/19/2005|Close|14.0500|6/16/2005|High|15.6900|1/18/2008|Low|12.0800|Up|42|58
Bullish Engulfing|ABG.US|Auto & Truck Dealerships|Consumer Cyclical|4/13/2006|Close|18.6000|5/8/2006|High|20.6100|11/6/2007|Low|16.3800|Up|17|25
Bullish Engulfing|ABG.US|Auto & Truck Dealerships|Consumer Cyclical|10/22/2007|Close|19.8400|7/28/2011|High|21.9850|10/30/2007|Low|17.5100|Down|6|8
Bullish Engulfing|ABG.US|Auto & Truck Dealerships|Consumer Cyclical|4/6/2022|Close|156.7800|4/28/2022|High|176.8000|9/29/2022|Low|140.7000|Up|16|22
Bullish Engulfing|ABM.US|Specialty Business Services|Industrials|12/14/2007|Close|19.8100|3/4/2008|High|22.0500|10/8/2008|Low|16.3300|Up|57|81
Bullish Engulfing|ABM.US|Specialty Business Services|Industrials|5/8/2018|Close|30.4200|9/7/2018|High|35.0600|12/10/2018|Low|27.3600|Up|88|122
Bullish Engulfing|ABTS.US|Capital Markets|Financial Services|3/20/2024|Close|0.8350||||3/21/2024|Low|0.7300|Down|1|1
Bullish Engulfing|ABT.US|Medical Devices|Healthcare|2/13/1990|Close|3.6122|5/11/1990|High|3.9770||||Up|63|87
Bullish Engulfing|ABT.US|Medical Devices|Healthcare|10/28/1997|Close|13.7476|12/2/1997|High|15.2486||||Up|25|35
Bullish Engulfing|ABT.US|Medical Devices|Healthcare|11/14/2006|Close|22.1572|1/11/2007|High|24.4602|4/30/2009|Low|19.8493|Up|42|58
Bullish Engulfing|ABT.US|Medical Devices|Healthcare|6/17/2022|Close|102.5300|12/14/2022|High|112.9100|10/11/2023|Low|92.0500|Up|128|180
Bullish Engulfing|AB.US|Asset Management|Financial Services|12/18/2013|Close|21.4000|2/12/2014|High|23.8900|1/15/2016|Low|19.1871|Up|40|56
Bullish Engulfing|AB.US|Asset Management|Financial Services|2/24/2022|Close|43.8800|4/4/2022|High|49.4500|4/25/2022|Low|39.0900|Up|27|39
Bullish Engulfing|ABVC.US|Biotechnology|Healthcare|7/18/2023|Close|4.1700|7/26/2023|High|6.8700|7/19/2023|Low|3.5000|Down|1|1
Bullish Engulfing|ACAD.US|Biotechnology|Healthcare|7/15/2008|Close|3.3700|7/17/2008|High|3.7200|7/31/2008|Low|2.8200|Up|2|2
Bullish Engulfing|ACAD.US|Biotechnology|Healthcare|9/3/2008|Close|2.6900|9/16/2008|High|3.0000|9/4/2008|Low|2.3800|Down|1|1
Bullish Engulfing|ACA.US|Engineering & Construction|Industrials|2/27/2020|Close|42.5500|8/10/2020|High|46.9200|3/9/2020|Low|36.2300|Down|7|11
Bullish Engulfing|ACA.US|Engineering & Construction|Industrials|3/20/2020|Close|31.1600|3/24/2020|High|35.5900||||Up|2|4
Bullish Engulfing|ACA.US|Engineering & Construction|Industrials|4/29/2022|Close|53.5300|8/4/2022|High|59.2550|6/16/2022|Low|45.3500|Down|34|48
Bullish Engulfing|ACB.US|Drug Manufacturers - Specialty & Generic|Healthcare|5/14/2020|Close|66.4000|5/15/2020|High|118.8000|9/23/2020|Low|51.4000|Up|1|1
Bullish Engulfing|ACCD.US|Health Information Services|Healthcare|12/23/2022|Close|8.3500|1/10/2023|High|10.0100|12/27/2022|Low|7.1800|Down|2|4
Bullish Engulfing|ACES.US|||10/21/2022|Close|50.0800|11/1/2022|High|55.9700|12/27/2022|Low|44.5600|Up|7|11
Bullish Engulfing|ACET.US|Biotechnology|Healthcare|6/18/2021|Close|10.5400|12/6/2021|High|15.6700|6/22/2021|Low|9.4100|Down|2|4
Bullish Engulfing|ACGL.US|Insurance - Diversified|Financial Services|12/19/1997|Close|2.4514|4/2/1998|High|2.8333|1/8/1998|Low|2.1944|Down|14|20
Bullish Engulfing|ACGL.US|Insurance - Diversified|Financial Services|2/26/2003|Close|3.2278|3/3/2003|High|3.5711||||Up|3|5
Bullish Engulfing|ACGL.US|Insurance - Diversified|Financial Services|2/3/2009|Close|6.7511|9/18/2009|High|7.4544|2/20/2009|Low|5.9778|Down|13|17
Bullish Engulfing|ACGL.US|Insurance - Diversified|Financial Services|12/15/2017|Close|30.6700|4/30/2019|High|34.5800|4/9/2018|Low|26.6700|Down|81|115
Bullish Engulfing|ACGL.US|Insurance - Diversified|Financial Services|1/11/2018|Close|29.6233|2/28/2019|High|32.8300|4/10/2018|Low|26.2067|Down|63|89
Bullish Engulfing|ACGL.US|Insurance - Diversified|Financial Services|9/28/2018|Close|29.8100|2/28/2019|High|32.8300|10/12/2018|Low|26.8200|Down|10|14
Bullish Engulfing|ACGL.US|Insurance - Diversified|Financial Services|6/17/2022|Close|43.4000|8/18/2022|High|47.9200||||Up|44|62
Bullish Engulfing|ACHC.US|Medical Care Facilities|Healthcare|5/18/2004|Close|4.1200|6/25/2004|High|4.6000|5/19/2004|Low|3.6800|Down|1|1
Bullish Engulfing|ACHC.US|Medical Care Facilities|Healthcare|9/16/2016|Close|51.8150|2/26/2021|High|57.0300|10/7/2016|Low|45.8500|Down|15|21
Bullish Engulfing|ACLS.US|Semiconductor Equipment & Materials|Technology|1/23/2008|Close|16.0000|2/1/2008|High|17.6400|9/15/2008|Low|5.0000|Up|7|9
Bullish Engulfing|ACLS.US|Semiconductor Equipment & Materials|Technology|10/17/2012|Close|3.9796|12/4/2012|High|4.6400|10/31/2012|Low|3.5816|Down|10|14
Bullish Engulfing|ACNB.US|Banks - Regional|Financial Services|12/31/2007|Close|15.2000|5/30/2008|High|17.0000|4/21/2008|Low|13.5200|Down|80|112
Bullish Engulfing|ACN.US|Information Technology Services|Technology|10/13/2022|Close|257.4600|10/26/2022|High|283.6300||||Up|9|13
Bullish Engulfing|ACOR.US|Drug Manufacturers - Specialty & Generic|Healthcare|4/29/2015|Close|3800.4000|6/22/2015|High|4284.0000|8/24/2015|Low|3350.4000|Up|38|54
Bullish Engulfing|ACOR.US|Drug Manufacturers - Specialty & Generic|Healthcare|10/27/2021|Close|82.8000||||11/8/2021|Low|74.2000|Down|8|12
Bullish Engulfing|ACOR.US|Drug Manufacturers - Specialty & Generic|Healthcare|2/26/2024|Close|14.4900||||3/4/2024|Low|13.0100|Down|5|7
Bullish Engulfing|ACR.US|REIT - Mortgage|Real Estate|12/15/2015|Close|33.4200|12/16/2015|High|37.6500|1/15/2016|Low|27.7800|Up|1|1
