Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing|Industry|Aerospace & Defense|20|0.8|19
Bullish Engulfing|Industry|Oil & Gas Midstream|10|0.8|41
Bullish Engulfing|Industry|Entertainment|12|0.75|31
Bullish Engulfing|Industry|Apparel Retail|11|0.7272727272727273|21
Bullish Engulfing|Industry|Restaurants|14|0.7142857142857143|57
Bullish Engulfing|Sector|Communication Services|55|0.6545454545454545|19
Bullish Engulfing|Industry|Asset Management|23|0.6521739130434783|101
Bullish Engulfing|Industry|Packaged Foods|14|0.6428571428571429|43
Bullish Engulfing|Industry|Information Technology Services|14|0.6428571428571429|44
Bullish Engulfing|Industry|Telecom Services|11|0.6363636363636364|20
Bullish Engulfing|Industry|Medical Care Facilities|11|0.6363636363636364|35
Bullish Engulfing|Industry|Oil & Gas Equipment & Services|16|0.625|36
Bullish Engulfing|Entity|SEF.US|10|0.6|116
Bullish Engulfing|Industry|Medical Devices|24|0.5833333333333334|15
Bullish Engulfing|Sector|Energy|62|0.5806451612903226|36
Bullish Engulfing|Industry|Internet Content & Information|14|0.5714285714285714|19
Bullish Engulfing|Industry|Diagnostics & Research|16|0.5625|10
Bullish Engulfing|Industry|Communication Equipment|11|0.5454545454545454|8
Bullish Engulfing|Industry|Software - Infrastructure|19|0.5263157894736842|10
Bullish Engulfing|Industry|Utilities - Regulated Electric|27|0.5185185185185185|106
Bullish Engulfing|Industry|Drug Manufacturers - Specialty & Generic|31|0.5161290322580645|10
Bullish Engulfing|Sector|Consumer Defensive|70|0.5142857142857142|51
Bullish Engulfing|Sector|Technology|117|0.5128205128205128|21
Bullish Engulfing|Sector|Utilities|45|0.5111111111111111|82
Bullish Engulfing|Sector|Consumer Cyclical|122|0.5081967213114754|29
Bullish Engulfing|Sector|Healthcare|298|0.5067114093959731|14
Bullish Engulfing|Entity|SOXS.US|10|0.5|6
Bullish Engulfing|Sector|Industrials|150|0.49333333333333335|28
Bullish Engulfing|Sector|Financial Services|178|0.48314606741573035|70
Bullish Engulfing|Industry|Specialty Industrial Machinery|21|0.47619047619047616|28
Bullish Engulfing|Overall|All|3617|0.47387337572573957|63
Bullish Engulfing|Industry|Biotechnology|179|0.4692737430167598|8
Bullish Engulfing|Entity|QID.US|13|0.46153846153846156|34
Bullish Engulfing|Industry|REIT - Retail|11|0.45454545454545453|51
Bullish Engulfing|Entity|SIJ.US|16|0.4375|47
Bullish Engulfing|Sector|Real Estate|50|0.42|44
Bullish Engulfing|Entity|SQQQ.US|12|0.4166666666666667|18
Bullish Engulfing|Entity|SKF.US|12|0.4166666666666667|21
Bullish Engulfing|Industry|Gold|17|0.4117647058823529|12
Bullish Engulfing|Industry|Banks - Regional|107|0.411214953271028|54
Bullish Engulfing|Industry|Engineering & Construction|10|0.4|4
Bullish Engulfing|Industry|Software - Application|35|0.4|14
Bullish Engulfing|Industry|Electrical Equipment & Parts|10|0.4|32
Bullish Engulfing|Entity|SDS.US|10|0.4|44
Bullish Engulfing|Entity|TWM.US|13|0.38461538461538464|15
Bullish Engulfing|Industry|Oil & Gas E&P|13|0.38461538461538464|29
Bullish Engulfing|Sector|Basic Materials|53|0.3584905660377358|15
Bullish Engulfing|Industry|Furnishings, Fixtures & Appliances|17|0.35294117647058826|41
Bullish Engulfing|Industry|Medical Instruments & Supplies|15|0.3333333333333333|35
Bullish Engulfing|Industry|Internet Retail|10|0.3|8
Bullish Engulfing|Entity|RWM.US|10|0.3|118
Bullish Engulfing|Industry|Specialty Chemicals|18|0.2777777777777778|12
Bullish Engulfing|Industry|Farm & Heavy Construction Machinery|11|0.2727272727272727|22
Bullish Engulfing|Industry|Semiconductors|11|0.2727272727272727|26
Bullish Engulfing|Entity|SBB.US|12|0.25|47
Bullish Engulfing|Entity|SPXS.US|13|0.23076923076923078|10
Bullish Engulfing|Entity|PSQ.US|13|0.23076923076923078|32
Bullish Engulfing|Entity|SDD.US|14|0.21428571428571427|47
Bullish Engulfing|Entity|REW.US|10|0.2|34
Bullish Engulfing|Entity|DOG.US|10|0.2|114
Bullish Engulfing|Entity|SPXU.US|11|0.18181818181818182|11
Bullish Engulfing|Entity|DXD.US|11|0.18181818181818182|53
Bullish Engulfing|Entity|SH.US|12|0.16666666666666666|116
