Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing|Industry|Aerospace & Defense|17|0.8235294117647058|21
Bullish Engulfing|Industry|Software - Infrastructure|14|0.7857142857142857|9
Bullish Engulfing|Industry|Utilities - Regulated Electric|12|0.75|118
Bullish Engulfing|Industry|Entertainment|10|0.7|36
Bullish Engulfing|Industry|Packaged Foods|10|0.7|39
Bullish Engulfing|Sector|Communication Services|40|0.625|20
Bullish Engulfing|Sector|Utilities|26|0.6153846153846154|95
Bullish Engulfing|Industry|Asset Management|13|0.6153846153846154|110
Bullish Engulfing|Industry|Specialty Industrial Machinery|18|0.6111111111111112|32
Bullish Engulfing|Industry|Drug Manufacturers - Specialty & Generic|22|0.5909090909090909|11
Bullish Engulfing|Sector|Energy|45|0.5777777777777777|34
Bullish Engulfing|Sector|Real Estate|33|0.5757575757575758|62
Bullish Engulfing|Sector|Technology|83|0.5421686746987951|16
Bullish Engulfing|Sector|Consumer Cyclical|97|0.5257731958762887|29
Bullish Engulfing|Sector|Industrials|119|0.5210084033613446|33
Bullish Engulfing|Industry|Medical Devices|27|0.5185185185185185|16
Bullish Engulfing|Sector|Healthcare|234|0.5128205128205128|15
Bullish Engulfing|Industry|Engineering & Construction|10|0.5|24
Bullish Engulfing|Industry|Medical Care Facilities|12|0.5|39
Bullish Engulfing|Industry|Biotechnology|132|0.48484848484848486|9
Bullish Engulfing|Sector|Consumer Defensive|54|0.48148148148148145|46
Bullish Engulfing|Overall|All|2792|0.4813753581661891|74
Bullish Engulfing|Sector|Financial Services|147|0.4557823129251701|80
Bullish Engulfing|Industry|Software - Application|30|0.43333333333333335|10
Bullish Engulfing|Industry|Medical Instruments & Supplies|14|0.42857142857142855|22
Bullish Engulfing|Industry|Banks - Regional|93|0.40860215053763443|75
Bullish Engulfing|Entity|SIJ.US|12|0.3333333333333333|73
Bullish Engulfing|Sector|Basic Materials|28|0.32142857142857145|19
Bullish Engulfing|Industry|Beverages - Wineries & Distilleries|10|0.3|106
Bullish Engulfing|Industry|Furnishings, Fixtures & Appliances|15|0.26666666666666666|28
Bullish Engulfing|Industry|Specialty Chemicals|13|0.23076923076923078|7
