Name,Category,Sub Category,Number Signals,Success %,Avg Duration
Bullish Engulfing,Entity,PEBO.US,10,1,44
Bullish Engulfing,Entity,SHEL.US,13,0.9230769230769231,119
Bullish Engulfing,Entity,AMGN.US,11,0.9090909090909091,25
Bullish Engulfing,Entity,HELE.US,11,0.9090909090909091,29
Bullish Engulfing,Entity,FUL.US,11,0.9090909090909091,68
Bullish Engulfing,Entity,MLM.US,10,0.9,29
Bullish Engulfing,Entity,AIR.US,12,0.8333333333333334,18
Bullish Engulfing,Entity,CRUS.US,12,0.8333333333333334,22
Bullish Engulfing,Entity,WMS.US,11,0.8181818181818182,13
Bullish Engulfing,Entity,L.US,11,0.8181818181818182,28
Bullish Engulfing,Entity,UMBF.US,11,0.8181818181818182,47
Bullish Engulfing,Entity,UHT.US,11,0.8181818181818182,156
Bullish Engulfing,Entity,ED.US,16,0.8125,177
Bullish Engulfing,Entity,FCEL.US,10,0.8,5
Bullish Engulfing,Entity,HEI.US,10,0.8,16
Bullish Engulfing,Entity,TIMB.US,15,0.8,18
Bullish Engulfing,Entity,CUK.US,10,0.8,20
Bullish Engulfing,Entity,CRMT.US,10,0.8,25
Bullish Engulfing,Entity,ALNY.US,10,0.8,25
Bullish Engulfing,Entity,FIX.US,10,0.8,25
Bullish Engulfing,Entity,TXN.US,10,0.8,27
Bullish Engulfing,Entity,TMO.US,10,0.8,29
Bullish Engulfing,Entity,PKE.US,10,0.8,32
Bullish Engulfing,Entity,MLR.US,10,0.8,46
Bullish Engulfing,Entity,ARE.US,10,0.8,66
Bullish Engulfing,Entity,ATR.US,10,0.8,83
Bullish Engulfing,Entity,PCAR.US,14,0.7857142857142857,14
Bullish Engulfing,Entity,IDT.US,14,0.7857142857142857,25
Bullish Engulfing,Entity,BKE.US,13,0.7692307692307693,22
Bullish Engulfing,Entity,FISI.US,13,0.7692307692307693,64
Bullish Engulfing,Entity,TECH.US,13,0.7692307692307693,90
Bullish Engulfing,Entity,TALO.US,16,0.75,11
Bullish Engulfing,Entity,HZO.US,12,0.75,12
Bullish Engulfing,Entity,ICFI.US,12,0.75,16
Bullish Engulfing,Entity,OCN.US,12,0.75,20
Bullish Engulfing,Entity,WTFC.US,16,0.75,29
Bullish Engulfing,Entity,PBH.US,12,0.75,30
Bullish Engulfing,Entity,DDS.US,12,0.75,39
Bullish Engulfing,Entity,WRLD.US,11,0.7272727272727273,20
Bullish Engulfing,Entity,HURC.US,11,0.7272727272727273,23
Bullish Engulfing,Entity,MLKN.US,11,0.7272727272727273,30
Bullish Engulfing,Entity,WLY.US,11,0.7272727272727273,39
Bullish Engulfing,Entity,HP.US,11,0.7272727272727273,39
Bullish Engulfing,Entity,XES.US,11,0.7272727272727273,41
Bullish Engulfing,Entity,WST.US,11,0.7272727272727273,49
Bullish Engulfing,Entity,PEGY.US,11,0.7272727272727273,51
Bullish Engulfing,Entity,SMH.US,11,0.7272727272727273,60
Bullish Engulfing,Entity,CBRL.US,18,0.7222222222222222,60
Bullish Engulfing,Entity,IP.US,14,0.7142857142857143,21
Bullish Engulfing,Entity,MNRO.US,14,0.7142857142857143,36
Bullish Engulfing,Entity,UDR.US,14,0.7142857142857143,53
Bullish Engulfing,Entity,DHI.US,17,0.7058823529411765,19
Bullish Engulfing,Entity,JAN.US,10,0.7,3
Bullish Engulfing,Entity,WNC.US,10,0.7,8
Bullish Engulfing,Entity,WDC.US,10,0.7,11
Bullish Engulfing,Entity,SCHW.US,10,0.7,12
Bullish Engulfing,Entity,TK.US,10,0.7,13
Bullish Engulfing,Entity,OSIS.US,10,0.7,13
