Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing|Industry|Entertainment|16|0.8125|24
Bullish Engulfing|Industry|REIT - Residential|10|0.8|105
Bullish Engulfing|Industry|Electrical Equipment & Parts|14|0.7857142857142857|21
Bullish Engulfing|Industry|Aerospace & Defense|29|0.7586206896551724|26
Bullish Engulfing|Industry|Security & Protection Services|12|0.75|81
Bullish Engulfing|Industry|Apparel Retail|21|0.7142857142857143|25
Bullish Engulfing|Industry|Utilities - Regulated Electric|24|0.7083333333333334|101
Bullish Engulfing|Industry|Scientific & Technical Instruments|15|0.6666666666666666|23
Bullish Engulfing|Industry|REIT - Retail|15|0.6666666666666666|34
Bullish Engulfing|Industry|Utilities - Regulated Water|15|0.6666666666666666|67
Bullish Engulfing|Industry|Specialty Industrial Machinery|38|0.6578947368421053|28
Bullish Engulfing|Sector|Utilities|54|0.6481481481481481|88
Bullish Engulfing|Industry|Electronic Gaming & Multimedia|11|0.6363636363636364|11
Bullish Engulfing|Industry|Packaged Foods|19|0.631578947368421|49
Bullish Engulfing|Industry|Oil & Gas Equipment & Services|13|0.6153846153846154|23
Bullish Engulfing|Industry|Insurance - Property & Casualty|13|0.6153846153846154|40
Bullish Engulfing|Industry|Specialty Retail|18|0.6111111111111112|24
Bullish Engulfing|Industry|Farm & Heavy Construction Machinery|15|0.6|21
Bullish Engulfing|Industry|Restaurants|20|0.6|28
Bullish Engulfing|Industry|Oil & Gas Midstream|10|0.6|36
Bullish Engulfing|Industry|Specialty Business Services|10|0.6|38
Bullish Engulfing|Industry|Household & Personal Products|10|0.6|52
Bullish Engulfing|Industry|Software - Infrastructure|32|0.59375|17
Bullish Engulfing|Sector|Communication Services|72|0.5833333333333334|17
Bullish Engulfing|Sector|Industrials|244|0.5778688524590164|29
Bullish Engulfing|Industry|Advertising Agencies|14|0.5714285714285714|12
Bullish Engulfing|Industry|Drug Manufacturers - General|14|0.5714285714285714|54
Bullish Engulfing|Industry|REIT - Office|16|0.5625|51
Bullish Engulfing|Industry|Communication Equipment|20|0.55|14
Bullish Engulfing|Industry|Asset Management|31|0.5483870967741935|74
Bullish Engulfing|Industry|Capital Markets|11|0.5454545454545454|13
Bullish Engulfing|Industry|Auto & Truck Dealerships|11|0.5454545454545454|20
Bullish Engulfing|Sector|Financial Services|305|0.5442622950819672|65
Bullish Engulfing|Industry|Medical Care Facilities|24|0.5416666666666666|33
Bullish Engulfing|Industry|Information Technology Services|24|0.5416666666666666|36
Bullish Engulfing|Industry|Engineering & Construction|24|0.5416666666666666|37
Bullish Engulfing|Sector|Real Estate|88|0.5340909090909091|53
Bullish Engulfing|Industry|Beverages - Wineries & Distilleries|15|0.5333333333333333|169
Bullish Engulfing|Industry|Drug Manufacturers - Specialty & Generic|38|0.5263157894736842|9
Bullish Engulfing|Sector|Energy|67|0.5223880597014925|28
Bullish Engulfing|Industry|Medical Instruments & Supplies|25|0.52|23
Bullish Engulfing|Sector|Consumer Defensive|97|0.5154639175257731|67
Bullish Engulfing|Overall|All|6213|0.5145662320939964|65
Bullish Engulfing|Sector|Technology|196|0.5102040816326531|19
Bullish Engulfing|Sector|Consumer Cyclical|186|0.5053763440860215|27
Bullish Engulfing|Industry|Banks - Regional|189|0.5026455026455027|66
Bullish Engulfing|Industry|Oil & Gas E&P|20|0.5|20
Bullish Engulfing|Industry|Education & Training Services|10|0.5|22
Bullish Engulfing|Sector|Basic Materials|54|0.5|24
Bullish Engulfing|Industry|Leisure|10|0.5|41
Bullish Engulfing|Industry|Insurance Brokers|12|0.5|73
Bullish Engulfing|Sector|Healthcare|413|0.4939467312348668|15
Bullish Engulfing|Industry|Internet Content & Information|17|0.47058823529411764|12
Bullish Engulfing|Industry|Biotechnology|213|0.4694835680751174|8
Bullish Engulfing|Industry|Beverages - Non-Alcoholic|15|0.4666666666666667|85
Bullish Engulfing|Industry|Medical Devices|52|0.46153846153846156|20
Bullish Engulfing|Industry|Electronic Components|13|0.46153846153846156|28
Bullish Engulfing|Industry|Telecom Services|11|0.45454545454545453|24
Bullish Engulfing|Industry|Specialty Chemicals|21|0.42857142857142855|19
Bullish Engulfing|Industry|Diagnostics & Research|25|0.4|18
Bullish Engulfing|Industry|Semiconductors|15|0.4|21
Bullish Engulfing|Industry|Consulting Services|18|0.3888888888888889|19
Bullish Engulfing|Industry|Real Estate Services|13|0.38461538461538464|24
Bullish Engulfing|Industry|Software - Application|60|0.38333333333333336|14
Bullish Engulfing|Industry|Marine Shipping|12|0.3333333333333333|5
Bullish Engulfing|Entity|SIJ.US|12|0.3333333333333333|73
Bullish Engulfing|Industry|Furnishings, Fixtures & Appliances|25|0.28|20
