Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing|Industry|Entertainment|18|0.8333333333333334|18
Bullish Engulfing|Industry|Aerospace & Defense|22|0.7727272727272727|26
Bullish Engulfing|Industry|Credit Services|12|0.75|14
Bullish Engulfing|Industry|Electrical Equipment & Parts|11|0.7272727272727273|23
Bullish Engulfing|Industry|Specialty Industrial Machinery|44|0.7045454545454546|26
Bullish Engulfing|Industry|Electronic Gaming & Multimedia|13|0.6923076923076923|9
Bullish Engulfing|Industry|Utilities - Regulated Water|13|0.6923076923076923|70
Bullish Engulfing|Industry|Specialty Retail|19|0.6842105263157895|23
Bullish Engulfing|Sector|Communication Services|76|0.6710526315789473|14
Bullish Engulfing|Industry|Scientific & Technical Instruments|15|0.6666666666666666|14
Bullish Engulfing|Industry|Oil & Gas Midstream|12|0.6666666666666666|31
Bullish Engulfing|Industry|Insurance - Property & Casualty|12|0.6666666666666666|38
Bullish Engulfing|Industry|Medical Care Facilities|21|0.6666666666666666|40
Bullish Engulfing|Industry|Advertising Agencies|14|0.6428571428571429|12
Bullish Engulfing|Sector|Utilities|47|0.6382978723404256|77
Bullish Engulfing|Industry|REIT - Retail|16|0.625|40
Bullish Engulfing|Industry|Utilities - Regulated Electric|21|0.6190476190476191|88
Bullish Engulfing|Industry|Farm & Heavy Construction Machinery|15|0.6|19
Bullish Engulfing|Industry|Specialty Business Services|10|0.6|38
Bullish Engulfing|Entity|MYY.US|10|0.6|102
Bullish Engulfing|Industry|Apparel Retail|23|0.5652173913043478|24
Bullish Engulfing|Sector|Industrials|235|0.5574468085106383|26
Bullish Engulfing|Industry|Software - Infrastructure|36|0.5555555555555556|12
Bullish Engulfing|Industry|Internet Content & Information|20|0.55|16
Bullish Engulfing|Industry|Restaurants|20|0.55|29
Bullish Engulfing|Industry|Oil & Gas Equipment & Services|11|0.5454545454545454|36
Bullish Engulfing|Industry|Drug Manufacturers - General|13|0.5384615384615384|39
Bullish Engulfing|Sector|Energy|64|0.53125|28
Bullish Engulfing|Industry|Medical Instruments & Supplies|25|0.52|22
Bullish Engulfing|Industry|Asset Management|39|0.5128205128205128|69
Bullish Engulfing|Sector|Financial Services|308|0.5097402597402597|59
Bullish Engulfing|Industry|Semiconductor Equipment & Materials|10|0.5|8
Bullish Engulfing|Industry|Communication Equipment|20|0.5|14
Bullish Engulfing|Industry|Medical Devices|48|0.5|24
Bullish Engulfing|Sector|Basic Materials|54|0.5|28
Bullish Engulfing|Industry|Education & Training Services|10|0.5|29
Bullish Engulfing|Overall|All|6170|0.4962722852512156|62
Bullish Engulfing|Sector|Consumer Cyclical|183|0.4918032786885246|24
Bullish Engulfing|Sector|Technology|200|0.49|16
Bullish Engulfing|Sector|Real Estate|79|0.4810126582278481|56
Bullish Engulfing|Industry|Information Technology Services|21|0.47619047619047616|32
Bullish Engulfing|Industry|Banks - Regional|192|0.4739583333333333|61
Bullish Engulfing|Industry|Oil & Gas E&P|19|0.47368421052631576|25
Bullish Engulfing|Industry|Packaged Foods|19|0.47368421052631576|58
Bullish Engulfing|Industry|REIT - Office|15|0.4666666666666667|65
Bullish Engulfing|Sector|Healthcare|426|0.4624413145539906|14
Bullish Engulfing|Industry|Engineering & Construction|24|0.4583333333333333|25
Bullish Engulfing|Industry|Specialty Chemicals|22|0.45454545454545453|21
Bullish Engulfing|Industry|Real Estate Services|11|0.45454545454545453|23
Bullish Engulfing|Industry|Electronic Components|11|0.45454545454545453|33
Bullish Engulfing|Industry|Beverages - Wineries & Distilleries|11|0.45454545454545453|151
Bullish Engulfing|Sector|Consumer Defensive|94|0.43617021276595747|54
Bullish Engulfing|Industry|Drug Manufacturers - Specialty & Generic|39|0.4358974358974359|7
Bullish Engulfing|Industry|Beverages - Non-Alcoholic|14|0.42857142857142855|48
Bullish Engulfing|Industry|Biotechnology|227|0.42290748898678415|8
Bullish Engulfing|Industry|Software - Application|66|0.4090909090909091|11
Bullish Engulfing|Industry|Building Products & Equipment|10|0.4|9
Bullish Engulfing|Industry|Consulting Services|15|0.4|41
Bullish Engulfing|Entity|QID.US|10|0.4|45
Bullish Engulfing|Industry|Insurance Brokers|10|0.4|104
Bullish Engulfing|Industry|Capital Markets|13|0.38461538461538464|15
Bullish Engulfing|Industry|Marine Shipping|14|0.35714285714285715|4
Bullish Engulfing|Industry|Diagnostics & Research|30|0.3333333333333333|7
Bullish Engulfing|Industry|Semiconductors|12|0.3333333333333333|14
Bullish Engulfing|Entity|SIJ.US|14|0.2857142857142857|73
Bullish Engulfing|Industry|Furnishings, Fixtures & Appliances|22|0.2727272727272727|13
Bullish Engulfing|Industry|Internet Retail|12|0.16666666666666666|12
