Id|Signal Name|Result Direction|Count|Percentage|Description
001ac494|Bullish Engulfing|Down|351|0.46367239101717306|move: 0.1;prologue len: 15;trend desc: E21C;vol factor: 2;use market: True
001ac494|Bullish Engulfing|Up|306|0.404227212681638|move: 0.1;prologue len: 15;trend desc: E21C;vol factor: 2;use market: True
001ac494|Bullish Engulfing||100|0.13210039630118892|move: 0.1;prologue len: 15;trend desc: E21C;vol factor: 2;use market: True
00a6a4bd|Bullish Engulfing|Down|218|0.3323170731707317|move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
00a6a4bd|Bullish Engulfing|Up|213|0.3246951219512195|move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
00a6a4bd|Bullish Engulfing||225|0.3429878048780488|move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
02440798|Bullish Engulfing|Down|600|0.45248868778280543|move: 0.1;prologue len: 15;trend desc: E50C;vol factor: 1.5;use market: True
02440798|Bullish Engulfing|Up|574|0.43288084464555054|move: 0.1;prologue len: 15;trend desc: E50C;vol factor: 1.5;use market: True
02440798|Bullish Engulfing||152|0.11463046757164404|move: 0.1;prologue len: 15;trend desc: E50C;vol factor: 1.5;use market: True
03121333|Bullish Engulfing|Down|278|0.36387434554973824|move: 0.2;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
03121333|Bullish Engulfing|Up|239|0.31282722513089006|move: 0.2;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
03121333|Bullish Engulfing||247|0.32329842931937175|move: 0.2;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
04767edb|Bullish Engulfing|Down|351|0.46367239101717306|move: 0.1;prologue len: 15;trend desc: E21C;vol factor: 2;use market: False
04767edb|Bullish Engulfing|Up|306|0.404227212681638|move: 0.1;prologue len: 15;trend desc: E21C;vol factor: 2;use market: False
04767edb|Bullish Engulfing||100|0.13210039630118892|move: 0.1;prologue len: 15;trend desc: E21C;vol factor: 2;use market: False
