Id|Signal Name|Result Direction|Count|Percentage|Description
015f168e|Bullish Hammer With FollowThru|Down|1688|0.485895221646517|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
015f168e|Bullish Hammer With FollowThru|Up|1649|0.4746689694876223|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
015f168e|Bullish Hammer With FollowThru||137|0.03943580886586068|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
0a6c7496|Bullish Hammer With FollowThru|Down|5500|0.4884980904165556|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
0a6c7496|Bullish Hammer With FollowThru|Up|5352|0.47535305089261926|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
0a6c7496|Bullish Hammer With FollowThru||407|0.03614885869082512|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
0be45a70|Bullish Hammer With FollowThru|Down|2846|0.49358307318765177|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
0be45a70|Bullish Hammer With FollowThru|Up|2709|0.46982310093652446|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
0be45a70|Bullish Hammer With FollowThru||211|0.03659382587582379|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
0c6300b4|Bullish Hammer With FollowThru|Down|4436|0.4691201353637902|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: True
0c6300b4|Bullish Hammer With FollowThru|Up|4603|0.4867808798646362|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: True
0c6300b4|Bullish Hammer With FollowThru||417|0.044098984771573604|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: True
0f99967c|Bullish Hammer With FollowThru|Down|2517|0.4782443473304199|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
0f99967c|Bullish Hammer With FollowThru|Up|2531|0.480904427132814|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
0f99967c|Bullish Hammer With FollowThru||215|0.0408512255367661|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
16443e3e|Bullish Hammer With FollowThru|Down|4046|0.4744927876158086|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
16443e3e|Bullish Hammer With FollowThru|Up|4114|0.48246745631523397|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
16443e3e|Bullish Hammer With FollowThru||367|0.04303975606895743|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
21de56f8|Bullish Hammer With FollowThru|Down|7357|0.48522622345337024|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
