Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Hammer With FollowThru|Industry|Packaged Foods|17|0.8235294117647058|41
Bullish Hammer With FollowThru|Industry|Insurance Brokers|10|0.8|158
Bullish Hammer With FollowThru|Industry|REIT - Specialty|15|0.7333333333333333|19
Bullish Hammer With FollowThru|Industry|REIT - Industrial|14|0.7142857142857143|129
Bullish Hammer With FollowThru|Industry|Packaging & Containers|10|0.7|59
Bullish Hammer With FollowThru|Industry|Oil & Gas Midstream|13|0.6923076923076923|42
Bullish Hammer With FollowThru|Industry|Telecom Services|15|0.6666666666666666|90
Bullish Hammer With FollowThru|Industry|Furnishings, Fixtures & Appliances|17|0.6470588235294118|19
Bullish Hammer With FollowThru|Industry|Diagnostics & Research|33|0.6363636363636364|13
Bullish Hammer With FollowThru|Industry|Residential Construction|11|0.6363636363636364|18
Bullish Hammer With FollowThru|Entity|R.US|11|0.6363636363636364|28
Bullish Hammer With FollowThru|Industry|Specialty Retail|11|0.6363636363636364|29
Bullish Hammer With FollowThru|Industry|Specialty Industrial Machinery|41|0.6341463414634146|50
Bullish Hammer With FollowThru|Industry|Credit Services|16|0.625|39
Bullish Hammer With FollowThru|Industry|Aerospace & Defense|43|0.6046511627906976|26
Bullish Hammer With FollowThru|Entity|JAN.US|10|0.6|15
Bullish Hammer With FollowThru|Entity|PEGY.US|10|0.6|19
Bullish Hammer With FollowThru|Industry|Electronic Gaming & Multimedia|10|0.6|20
Bullish Hammer With FollowThru|Industry|Discount Stores|10|0.6|34
Bullish Hammer With FollowThru|Industry|Specialty Business Services|15|0.6|44
Bullish Hammer With FollowThru|Industry|Electrical Equipment & Parts|15|0.6|60
Bullish Hammer With FollowThru|Sector|Real Estate|140|0.5857142857142857|57
Bullish Hammer With FollowThru|Industry|Household & Personal Products|12|0.5833333333333334|25
Bullish Hammer With FollowThru|Industry|Software - Infrastructure|28|0.5714285714285714|25
Bullish Hammer With FollowThru|Industry|REIT - Retail|21|0.5714285714285714|50
Bullish Hammer With FollowThru|Industry|REIT - Office|21|0.5714285714285714|56
Bullish Hammer With FollowThru|Industry|Real Estate Services|21|0.5714285714285714|56
Bullish Hammer With FollowThru|Industry|Banks - Diversified|16|0.5625|112
Bullish Hammer With FollowThru|Sector|Energy|69|0.5507246376811594|44
Bullish Hammer With FollowThru|Industry|Metal Fabrication|11|0.5454545454545454|5
Bullish Hammer With FollowThru|Industry|Auto Parts|22|0.5454545454545454|32
Bullish Hammer With FollowThru|Industry|Medical Care Facilities|24|0.5416666666666666|22
Bullish Hammer With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|37|0.5405405405405406|14
Bullish Hammer With FollowThru|Sector|Industrials|345|0.5391304347826087|35
Bullish Hammer With FollowThru|Industry|Drug Manufacturers - General|13|0.5384615384615384|23
Bullish Hammer With FollowThru|Industry|Insurance - Property & Casualty|15|0.5333333333333333|42
Bullish Hammer With FollowThru|Sector|Communication Services|64|0.53125|48
Bullish Hammer With FollowThru|Industry|Specialty Chemicals|49|0.5306122448979592|33
Bullish Hammer With FollowThru|Industry|Semiconductors|17|0.5294117647058824|17
Bullish Hammer With FollowThru|Industry|Beverages - Non-Alcoholic|17|0.5294117647058824|29
Bullish Hammer With FollowThru|Industry|Entertainment|19|0.5263157894736842|35
Bullish Hammer With FollowThru|Sector|Consumer Cyclical|208|0.5240384615384616|28
Bullish Hammer With FollowThru|Sector|Basic Materials|107|0.5233644859813084|38
Bullish Hammer With FollowThru|Industry|Engineering & Construction|23|0.5217391304347826|27
Bullish Hammer With FollowThru|Industry|Utilities - Regulated Electric|50|0.52|67
Bullish Hammer With FollowThru|Industry|Software - Application|61|0.5081967213114754|12
Bullish Hammer With FollowThru|Sector|Technology|207|0.5024154589371981|20
Bullish Hammer With FollowThru|Overall|All|7794|0.5015396458814473|81
Bullish Hammer With FollowThru|Industry|Medical Instruments & Supplies|36|0.5|21
Bullish Hammer With FollowThru|Industry|Farm & Heavy Construction Machinery|32|0.5|25
Bullish Hammer With FollowThru|Entity|AKO-A.US|10|0.5|36
Bullish Hammer With FollowThru|Industry|Restaurants|26|0.5|40
Bullish Hammer With FollowThru|Industry|Rental & Leasing Services|16|0.5|69
Bullish Hammer With FollowThru|Entity|GRPM.US|10|0.5|104
Bullish Hammer With FollowThru|Sector|Healthcare|373|0.49865951742627346|16
Bullish Hammer With FollowThru|Sector|Financial Services|420|0.49047619047619045|70
