Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Hammer With FollowThru|Entity|GOLD.US|10|0.9|18
Bullish Hammer With FollowThru|Entity|OLN.US|10|0.9|40
Bullish Hammer With FollowThru|Entity|CW.US|10|0.9|46
Bullish Hammer With FollowThru|Entity|LLY.US|13|0.8461538461538461|54
Bullish Hammer With FollowThru|Industry|REIT - Hotel & Motel|12|0.8333333333333334|52
Bullish Hammer With FollowThru|Entity|PARAA.US|11|0.8181818181818182|44
Bullish Hammer With FollowThru|Entity|EWN.US|11|0.8181818181818182|65
Bullish Hammer With FollowThru|Entity|TR.US|11|0.8181818181818182|90
Bullish Hammer With FollowThru|Entity|NWFL.US|10|0.8|35
Bullish Hammer With FollowThru|Entity|NRIM.US|10|0.8|70
Bullish Hammer With FollowThru|Industry|Waste Management|14|0.7857142857142857|12
Bullish Hammer With FollowThru|Industry|Home Improvement Retail|14|0.7857142857142857|28
Bullish Hammer With FollowThru|Industry|Household & Personal Products|23|0.782608695652174|39
Bullish Hammer With FollowThru|Industry|Beverages - Wineries & Distilleries|18|0.7777777777777778|56
Bullish Hammer With FollowThru|Industry|Railroads|13|0.7692307692307693|38
Bullish Hammer With FollowThru|Industry|Gold|40|0.75|14
Bullish Hammer With FollowThru|Entity|GRC.US|12|0.75|28
Bullish Hammer With FollowThru|Entity|MMM.US|12|0.75|63
Bullish Hammer With FollowThru|Entity|HNI.US|11|0.7272727272727273|26
Bullish Hammer With FollowThru|Industry|Business Equipment & Supplies|11|0.7272727272727273|26
Bullish Hammer With FollowThru|Entity|RZG.US|11|0.7272727272727273|72
Bullish Hammer With FollowThru|Entity|CHE.US|11|0.7272727272727273|78
Bullish Hammer With FollowThru|Entity|AVT.US|11|0.7272727272727273|100
Bullish Hammer With FollowThru|Entity|UTL.US|11|0.7272727272727273|202
Bullish Hammer With FollowThru|Entity|IXP.US|11|0.7272727272727273|242
Bullish Hammer With FollowThru|Entity|MYY.US|14|0.7142857142857143|133
Bullish Hammer With FollowThru|Entity|TYO.US|14|0.7142857142857143|135
Bullish Hammer With FollowThru|Industry|REIT - Industrial|17|0.7058823529411765|57
Bullish Hammer With FollowThru|Entity|FC.US|10|0.7|12
Bullish Hammer With FollowThru|Entity|OI.US|10|0.7|14
Bullish Hammer With FollowThru|Entity|HVT-A.US|10|0.7|35
Bullish Hammer With FollowThru|Entity|QQXT.US|10|0.7|44
Bullish Hammer With FollowThru|Industry|Insurance - Life|10|0.7|46
Bullish Hammer With FollowThru|Entity|SMP.US|10|0.7|60
Bullish Hammer With FollowThru|Entity|NFG.US|13|0.6923076923076923|179
Bullish Hammer With FollowThru|Entity|BA.US|19|0.6842105263157895|42
Bullish Hammer With FollowThru|Industry|Resorts & Casinos|18|0.6666666666666666|10
Bullish Hammer With FollowThru|Entity|DYNT.US|15|0.6666666666666666|22
Bullish Hammer With FollowThru|Entity|PXE.US|12|0.6666666666666666|32
Bullish Hammer With FollowThru|Entity|VMI.US|12|0.6666666666666666|37
Bullish Hammer With FollowThru|Industry|REIT - Specialty|15|0.6666666666666666|44
Bullish Hammer With FollowThru|Industry|Packaging & Containers|30|0.6666666666666666|49
Bullish Hammer With FollowThru|Industry|Financial Data & Stock Exchanges|12|0.6666666666666666|50
Bullish Hammer With FollowThru|Industry|Electronics & Computer Distribution|15|0.6666666666666666|88
Bullish Hammer With FollowThru|Industry|REIT - Residential|26|0.6538461538461539|78
Bullish Hammer With FollowThru|Industry|Utilities - Regulated Gas|14|0.6428571428571429|162
Bullish Hammer With FollowThru|Industry|Semiconductors|25|0.64|17
Bullish Hammer With FollowThru|Entity|JAN.US|11|0.6363636363636364|15
Bullish Hammer With FollowThru|Entity|FBZ.US|11|0.6363636363636364|33
Bullish Hammer With FollowThru|Entity|JJSF.US|11|0.6363636363636364|34
Bullish Hammer With FollowThru|Entity|RTX.US|11|0.6363636363636364|57
Bullish Hammer With FollowThru|Entity|BFS.US|11|0.6363636363636364|68
Bullish Hammer With FollowThru|Entity|CFBK.US|11|0.6363636363636364|110
Bullish Hammer With FollowThru|Entity|YCL.US|11|0.6363636363636364|114
Bullish Hammer With FollowThru|Industry|Metal Fabrication|19|0.631578947368421|20
Bullish Hammer With FollowThru|Industry|Advertising Agencies|19|0.631578947368421|43
Bullish Hammer With FollowThru|Industry|Security & Protection Services|16|0.625|24
Bullish Hammer With FollowThru|Entity|AA.US|16|0.625|35
Bullish Hammer With FollowThru|Industry|Rental & Leasing Services|24|0.625|47
Bullish Hammer With FollowThru|Industry|Insurance - Specialty|16|0.625|50
Bullish Hammer With FollowThru|Industry|Aluminum|21|0.6190476190476191|29
Bullish Hammer With FollowThru|Entity|VTNR.US|13|0.6153846153846154|6
Bullish Hammer With FollowThru|Entity|SCX.US|13|0.6153846153846154|33
Bullish Hammer With FollowThru|Industry|Scientific & Technical Instruments|26|0.6153846153846154|46
Bullish Hammer With FollowThru|Industry|Utilities - Diversified|13|0.6153846153846154|66
Bullish Hammer With FollowThru|Industry|Aerospace & Defense|98|0.6122448979591837|33
Bullish Hammer With FollowThru|Entity|FL.US|10|0.6|16
Bullish Hammer With FollowThru|Entity|RNST.US|10|0.6|16
Bullish Hammer With FollowThru|Entity|NWPX.US|10|0.6|23
Bullish Hammer With FollowThru|Industry|Lodging|10|0.6|25
Bullish Hammer With FollowThru|Entity|TCI.US|15|0.6|29
Bullish Hammer With FollowThru|Entity|STRS.US|10|0.6|32
Bullish Hammer With FollowThru|Industry|Gambling|15|0.6|39
Bullish Hammer With FollowThru|Entity|GII.US|10|0.6|40
Bullish Hammer With FollowThru|Industry|Healthcare Plans|20|0.6|48
Bullish Hammer With FollowThru|Entity|ESE.US|10|0.6|71
Bullish Hammer With FollowThru|Entity|UNL.US|10|0.6|72
Bullish Hammer With FollowThru|Entity|PRA.US|10|0.6|74
Bullish Hammer With FollowThru|Entity|PYZ.US|10|0.6|87
Bullish Hammer With FollowThru|Entity|PPH.US|10|0.6|131
