Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Hammer With FollowThru|Industry|STATE COMMERCIAL BANKS|27|0.7407407407407407|271
Bullish Hammer With FollowThru|Industry|SERVICES-PREPACKAGED SOFTWARE|11|0.6363636363636364|73
Bullish Hammer With FollowThru|Industry|NATIONAL COMMERCIAL BANKS|32|0.59375|326
Bullish Hammer With FollowThru|Industry|FIRE, MARINE & CASUALTY INSURANCE|10|0.5|213
Bullish Hammer With FollowThru|Industry|CRUDE PETROLEUM & NATURAL GAS|11|0.45454545454545453|65
Bullish Hammer With FollowThru|Industry|ELECTRIC & OTHER SERVICES COMBINED|10|0.4|216
Bullish Hammer With FollowThru|Industry|PHARMACEUTICAL PREPARATIONS|16|0.375|56
Bullish Hammer With FollowThru|Industry|INVESTMENT ADVICE|12|0.3333333333333333|101
Bullish Hammer With FollowThru|Overall|All|1389|0.2786177105831533|194
Bullish Hammer With FollowThru|Industry|REAL ESTATE INVESTMENT TRUSTS|34|0.20588235294117646|213
Bullish Hammer With FollowThru|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|43|0.18604651162790697|76
