Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Hammer With FollowThru|Entity|SSD.US|10|0.9|34
Bullish Hammer With FollowThru|Entity|AIA.US|10|0.9|83
Bullish Hammer With FollowThru|Industry|REIT - Industrial|17|0.8823529411764706|83
Bullish Hammer With FollowThru|Entity|RZG.US|13|0.8461538461538461|79
Bullish Hammer With FollowThru|Industry|Waste Management|11|0.8181818181818182|8
Bullish Hammer With FollowThru|Entity|BRK-A.US|11|0.8181818181818182|113
Bullish Hammer With FollowThru|Entity|OCC.US|16|0.8125|12
Bullish Hammer With FollowThru|Entity|PRA.US|10|0.8|57
Bullish Hammer With FollowThru|Entity|WTV.US|10|0.8|58
Bullish Hammer With FollowThru|Entity|PKW.US|10|0.8|86
Bullish Hammer With FollowThru|Entity|MYY.US|10|0.8|147
Bullish Hammer With FollowThru|Entity|PUI.US|10|0.8|182
Bullish Hammer With FollowThru|Industry|Insurance - Life|14|0.7857142857142857|67
Bullish Hammer With FollowThru|Entity|BHV.US|14|0.7857142857142857|142
Bullish Hammer With FollowThru|Entity|YCL.US|13|0.7692307692307693|36
Bullish Hammer With FollowThru|Industry|Rental & Leasing Services|15|0.7333333333333333|58
Bullish Hammer With FollowThru|Entity|WMS.US|11|0.7272727272727273|22
Bullish Hammer With FollowThru|Entity|PBJ.US|11|0.7272727272727273|70
Bullish Hammer With FollowThru|Entity|EVX.US|11|0.7272727272727273|119
Bullish Hammer With FollowThru|Industry|Household & Personal Products|21|0.7142857142857143|42
Bullish Hammer With FollowThru|Entity|KNCT.US|14|0.7142857142857143|124
Bullish Hammer With FollowThru|Entity|DGT.US|21|0.7142857142857143|134
Bullish Hammer With FollowThru|Entity|XMVM.US|10|0.7|51
Bullish Hammer With FollowThru|Entity|SCX.US|10|0.7|59
Bullish Hammer With FollowThru|Entity|MKL.US|10|0.7|87
Bullish Hammer With FollowThru|Entity|RSPG.US|10|0.7|92
Bullish Hammer With FollowThru|Entity|SPYV.US|10|0.7|93
Bullish Hammer With FollowThru|Entity|UTL.US|10|0.7|96
Bullish Hammer With FollowThru|Entity|JKI.US|10|0.7|124
Bullish Hammer With FollowThru|Entity|PKOH.US|13|0.6923076923076923|17
Bullish Hammer With FollowThru|Entity|AA.US|13|0.6923076923076923|48
Bullish Hammer With FollowThru|Entity|RFV.US|13|0.6923076923076923|95
Bullish Hammer With FollowThru|Entity|MPB.US|13|0.6923076923076923|198
Bullish Hammer With FollowThru|Entity|WLYB.US|16|0.6875|129
Bullish Hammer With FollowThru|Industry|Specialty Chemicals|51|0.6862745098039216|45
Bullish Hammer With FollowThru|Entity|XNTK.US|19|0.6842105263157895|85
Bullish Hammer With FollowThru|Industry|Specialty Business Services|22|0.6818181818181818|47
Bullish Hammer With FollowThru|Industry|REIT - Specialty|12|0.6666666666666666|54
Bullish Hammer With FollowThru|Entity|ISCB.US|12|0.6666666666666666|99
Bullish Hammer With FollowThru|Entity|JKJ.US|12|0.6666666666666666|99
Bullish Hammer With FollowThru|Industry|Insurance - Diversified|18|0.6666666666666666|102
Bullish Hammer With FollowThru|Industry|Credit Services|23|0.6521739130434783|36
Bullish Hammer With FollowThru|Industry|Drug Manufacturers - General|20|0.65|29
Bullish Hammer With FollowThru|Industry|Specialty Retail|20|0.65|77
Bullish Hammer With FollowThru|Entity|KWR.US|14|0.6428571428571429|60
Bullish Hammer With FollowThru|Entity|NVAX.US|11|0.6363636363636364|9
Bullish Hammer With FollowThru|Entity|BBP.US|11|0.6363636363636364|39
Bullish Hammer With FollowThru|Entity|SMMF.US|11|0.6363636363636364|56
Bullish Hammer With FollowThru|Entity|TM.US|11|0.6363636363636364|75
Bullish Hammer With FollowThru|Entity|AON.US|11|0.6363636363636364|85
Bullish Hammer With FollowThru|Entity|PEJ.US|11|0.6363636363636364|92
Bullish Hammer With FollowThru|Entity|EQWL.US|11|0.6363636363636364|128
Bullish Hammer With FollowThru|Entity|SPEU.US|11|0.6363636363636364|141
Bullish Hammer With FollowThru|Entity|BHRB.US|11|0.6363636363636364|180
Bullish Hammer With FollowThru|Industry|REIT - Office|30|0.6333333333333333|68
Bullish Hammer With FollowThru|Sector|Real Estate|180|0.6333333333333333|80
Bullish Hammer With FollowThru|Industry|Education & Training Services|19|0.631578947368421|24
Bullish Hammer With FollowThru|Industry|Aluminum|16|0.625|44
Bullish Hammer With FollowThru|Industry|Security & Protection Services|16|0.625|52
Bullish Hammer With FollowThru|Industry|REIT - Retail|34|0.6176470588235294|76
Bullish Hammer With FollowThru|Entity|SRL.US|13|0.6153846153846154|37
Bullish Hammer With FollowThru|Entity|SONY.US|13|0.6153846153846154|45
Bullish Hammer With FollowThru|Entity|FBZ.US|13|0.6153846153846154|54
Bullish Hammer With FollowThru|Entity|DVYA.US|13|0.6153846153846154|98
Bullish Hammer With FollowThru|Industry|Auto Parts|31|0.6129032258064516|34
Bullish Hammer With FollowThru|Industry|Insurance Brokers|23|0.6086956521739131|69
Bullish Hammer With FollowThru|Industry|Oil & Gas Midstream|15|0.6|33
Bullish Hammer With FollowThru|Entity|HP.US|10|0.6|40
Bullish Hammer With FollowThru|Industry|Oil & Gas Drilling|10|0.6|40
Bullish Hammer With FollowThru|Entity|PARAA.US|10|0.6|56
Bullish Hammer With FollowThru|Industry|Real Estate Services|20|0.6|65
Bullish Hammer With FollowThru|Entity|FUNC.US|10|0.6|73
Bullish Hammer With FollowThru|Entity|PFI.US|10|0.6|92
Bullish Hammer With FollowThru|Entity|CBU.US|10|0.6|123
Bullish Hammer With FollowThru|Industry|Packaged Foods|34|0.5882352941176471|48
Bullish Hammer With FollowThru|Industry|Building Products & Equipment|12|0.5833333333333334|6
Bullish Hammer With FollowThru|Industry|Semiconductor Equipment & Materials|12|0.5833333333333334|25
Bullish Hammer With FollowThru|Entity|EWL.US|12|0.5833333333333334|30
Bullish Hammer With FollowThru|Industry|Beverages - Wineries & Distilleries|12|0.5833333333333334|48
Bullish Hammer With FollowThru|Entity|NWPX.US|12|0.5833333333333334|56
Bullish Hammer With FollowThru|Entity|PRN.US|12|0.5833333333333334|110
Bullish Hammer With FollowThru|Industry|Entertainment|19|0.5789473684210527|34
Bullish Hammer With FollowThru|Sector|Consumer Defensive|168|0.5773809523809523|50
Bullish Hammer With FollowThru|Entity|TCI.US|21|0.5714285714285714|25
Bullish Hammer With FollowThru|Industry|Utilities - Regulated Water|14|0.5714285714285714|42
Bullish Hammer With FollowThru|Entity|OPY.US|14|0.5714285714285714|48
Bullish Hammer With FollowThru|Sector|Basic Materials|114|0.5701754385964912|43
Bullish Hammer With FollowThru|Industry|Diagnostics & Research|37|0.5675675675675675|38
Bullish Hammer With FollowThru|Industry|REIT - Residential|23|0.5652173913043478|118
Bullish Hammer With FollowThru|Industry|Railroads|16|0.5625|54
Bullish Hammer With FollowThru|Industry|Medical Instruments & Supplies|56|0.5535714285714286|41
Bullish Hammer With FollowThru|Entity|MARPS.US|11|0.5454545454545454|18
Bullish Hammer With FollowThru|Industry|Resorts & Casinos|11|0.5454545454545454|18
Bullish Hammer With FollowThru|Industry|Banks - Diversified|22|0.5454545454545454|102
Bullish Hammer With FollowThru|Entity|ULE.US|11|0.5454545454545454|119
Bullish Hammer With FollowThru|Entity|DYNT.US|13|0.5384615384615384|14
Bullish Hammer With FollowThru|Industry|Leisure|13|0.5384615384615384|35
Bullish Hammer With FollowThru|Entity|GGME.US|13|0.5384615384615384|70
Bullish Hammer With FollowThru|Entity|NRIM.US|13|0.5384615384615384|108
Bullish Hammer With FollowThru|Entity|HMNF.US|13|0.5384615384615384|181
Bullish Hammer With FollowThru|Sector|Consumer Cyclical|328|0.5365853658536586|37
Bullish Hammer With FollowThru|Sector|Financial Services|754|0.5265251989389921|85
Bullish Hammer With FollowThru|Industry|Scientific & Technical Instruments|19|0.5263157894736842|34
Bullish Hammer With FollowThru|Industry|Oil & Gas Refining & Marketing|21|0.5238095238095238|30
Bullish Hammer With FollowThru|Entity|AKO-A.US|21|0.5238095238095238|56
Bullish Hammer With FollowThru|Industry|Telecom Services|21|0.5238095238095238|99
Bullish Hammer With FollowThru|Industry|Banks - Regional|507|0.5226824457593688|92
Bullish Hammer With FollowThru|Industry|Communication Equipment|27|0.5185185185185185|6
Bullish Hammer With FollowThru|Entity|ZIVO.US|10|0.5|3
Bullish Hammer With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|52|0.5|8
Bullish Hammer With FollowThru|Entity|JAN.US|12|0.5|10
Bullish Hammer With FollowThru|Industry|Apparel Retail|34|0.5|19
Bullish Hammer With FollowThru|Industry|Semiconductors|20|0.5|22
Bullish Hammer With FollowThru|Industry|Advertising Agencies|14|0.5|22
Bullish Hammer With FollowThru|Entity|FC.US|10|0.5|28
