Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Hammer With FollowThru|Industry|REIT - Retail|10|0.8|40
Bullish Hammer With FollowThru|Industry|Diagnostics & Research|13|0.7692307692307693|16
Bullish Hammer With FollowThru|Industry|Software - Infrastructure|12|0.75|25
Bullish Hammer With FollowThru|Industry|Specialty Industrial Machinery|15|0.7333333333333333|50
Bullish Hammer With FollowThru|Industry|Entertainment|10|0.7|29
Bullish Hammer With FollowThru|Sector|Real Estate|49|0.6530612244897959|54
Bullish Hammer With FollowThru|Sector|Communication Services|29|0.6206896551724138|27
Bullish Hammer With FollowThru|Industry|Medical Instruments & Supplies|17|0.5882352941176471|23
Bullish Hammer With FollowThru|Industry|Information Technology Services|12|0.5833333333333334|29
Bullish Hammer With FollowThru|Industry|Engineering & Construction|12|0.5833333333333334|37
Bullish Hammer With FollowThru|Industry|Utilities - Regulated Electric|23|0.5652173913043478|74
Bullish Hammer With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|22|0.5454545454545454|12
Bullish Hammer With FollowThru|Industry|Farm & Heavy Construction Machinery|11|0.5454545454545454|41
Bullish Hammer With FollowThru|Sector|Industrials|133|0.5413533834586466|39
Bullish Hammer With FollowThru|Sector|Technology|84|0.5357142857142857|20
Bullish Hammer With FollowThru|Sector|Healthcare|183|0.5245901639344263|17
Bullish Hammer With FollowThru|Sector|Consumer Cyclical|81|0.5185185185185185|34
Bullish Hammer With FollowThru|Industry|Integrated Freight & Logistics|10|0.5|31
Bullish Hammer With FollowThru|Industry|Beverages - Non-Alcoholic|10|0.5|43
Bullish Hammer With FollowThru|Industry|Auto Parts|10|0.5|55
Bullish Hammer With FollowThru|Overall|All|3476|0.49252013808975836|84
Bullish Hammer With FollowThru|Sector|Consumer Defensive|49|0.4897959183673469|37
Bullish Hammer With FollowThru|Sector|Financial Services|159|0.48427672955974843|69
Bullish Hammer With FollowThru|Industry|Biotechnology|85|0.4823529411764706|14
Bullish Hammer With FollowThru|Industry|Medical Devices|23|0.4782608695652174|18
Bullish Hammer With FollowThru|Industry|Aerospace & Defense|15|0.4666666666666667|28
Bullish Hammer With FollowThru|Industry|Consulting Services|13|0.46153846153846156|40
Bullish Hammer With FollowThru|Industry|Banks - Regional|109|0.45871559633027525|82
Bullish Hammer With FollowThru|Sector|Energy|24|0.4583333333333333|41
Bullish Hammer With FollowThru|Sector|Basic Materials|35|0.45714285714285713|44
Bullish Hammer With FollowThru|Industry|Specialty Chemicals|17|0.4117647058823529|12
Bullish Hammer With FollowThru|Sector|Utilities|34|0.4117647058823529|80
Bullish Hammer With FollowThru|Industry|Software - Application|27|0.4074074074074074|12
Bullish Hammer With FollowThru|Industry|Real Estate Services|10|0.4|20
Bullish Hammer With FollowThru|Industry|Asset Management|15|0.4|24
Bullish Hammer With FollowThru|Industry|Restaurants|10|0.4|54
Bullish Hammer With FollowThru|Industry|Medical Care Facilities|14|0.35714285714285715|13
