Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Hammer With FollowThru|Entity|FDX.US|12|0.8333333333333334|38
Bullish Hammer With FollowThru|Industry|REIT - Industrial|23|0.8260869565217391|61
Bullish Hammer With FollowThru|Industry|Resorts & Casinos|10|0.8|14
Bullish Hammer With FollowThru|Entity|UNP.US|10|0.8|35
Bullish Hammer With FollowThru|Entity|AIR.US|10|0.8|40
Bullish Hammer With FollowThru|Entity|MLM.US|10|0.8|41
Bullish Hammer With FollowThru|Entity|BA.US|10|0.8|42
Bullish Hammer With FollowThru|Entity|RY.US|10|0.8|49
Bullish Hammer With FollowThru|Industry|Chemicals|14|0.7857142857142857|17
Bullish Hammer With FollowThru|Entity|DIS.US|13|0.7692307692307693|50
Bullish Hammer With FollowThru|Industry|Railroads|11|0.7272727272727273|37
Bullish Hammer With FollowThru|Entity|PARAA.US|11|0.7272727272727273|55
Bullish Hammer With FollowThru|Entity|AA.US|11|0.7272727272727273|61
Bullish Hammer With FollowThru|Entity|MMM.US|14|0.7142857142857143|88
Bullish Hammer With FollowThru|Industry|Packaging & Containers|31|0.7096774193548387|60
Bullish Hammer With FollowThru|Industry|Banks - Diversified|44|0.7045454545454546|77
Bullish Hammer With FollowThru|Entity|TPL.US|10|0.7|17
Bullish Hammer With FollowThru|Entity|DRQ.US|10|0.7|23
Bullish Hammer With FollowThru|Entity|AVT.US|10|0.7|28
Bullish Hammer With FollowThru|Industry|Medical Distribution|10|0.7|34
Bullish Hammer With FollowThru|Industry|REIT - Specialty|23|0.6956521739130435|21
Bullish Hammer With FollowThru|Industry|REIT - Hotel & Motel|13|0.6923076923076923|52
Bullish Hammer With FollowThru|Entity|ED.US|13|0.6923076923076923|136
Bullish Hammer With FollowThru|Industry|Electronic Gaming & Multimedia|16|0.6875|24
Bullish Hammer With FollowThru|Industry|Agricultural Inputs|16|0.6875|43
Bullish Hammer With FollowThru|Industry|Packaged Foods|47|0.6808510638297872|65
Bullish Hammer With FollowThru|Industry|Oil & Gas Integrated|25|0.68|59
Bullish Hammer With FollowThru|Industry|Financial Data & Stock Exchanges|12|0.6666666666666666|39
Bullish Hammer With FollowThru|Entity|VFC.US|12|0.6666666666666666|48
Bullish Hammer With FollowThru|Industry|Aluminum|15|0.6666666666666666|54
Bullish Hammer With FollowThru|Industry|Semiconductors|29|0.6551724137931034|22
Bullish Hammer With FollowThru|Industry|Specialty Business Services|29|0.6551724137931034|58
Bullish Hammer With FollowThru|Industry|Telecom Services|26|0.6538461538461539|79
Bullish Hammer With FollowThru|Industry|Insurance Brokers|23|0.6521739130434783|107
Bullish Hammer With FollowThru|Industry|Electronics & Computer Distribution|17|0.6470588235294118|26
