Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Hammer With FollowThru|Entity|LLY.US|10|0.9|39
Bullish Hammer With FollowThru|Entity|NFG.US|16|0.875|142
Bullish Hammer With FollowThru|Industry|Security & Protection Services|14|0.7857142857142857|55
Bullish Hammer With FollowThru|Industry|Resorts & Casinos|13|0.7692307692307693|13
Bullish Hammer With FollowThru|Entity|MMM.US|13|0.7692307692307693|60
Bullish Hammer With FollowThru|Entity|SJW.US|11|0.7272727272727273|56
Bullish Hammer With FollowThru|Entity|AVT.US|11|0.7272727272727273|106
Bullish Hammer With FollowThru|Industry|Electronics & Computer Distribution|14|0.7142857142857143|95
Bullish Hammer With FollowThru|Entity|MYY.US|14|0.7142857142857143|133
Bullish Hammer With FollowThru|Entity|VTNR.US|10|0.7|7
Bullish Hammer With FollowThru|Industry|Advertising Agencies|10|0.7|44
Bullish Hammer With FollowThru|Entity|LUMN.US|10|0.7|50
Bullish Hammer With FollowThru|Industry|Insurance - Specialty|10|0.7|61
Bullish Hammer With FollowThru|Industry|Beverages - Wineries & Distilleries|10|0.7|90
Bullish Hammer With FollowThru|Entity|OCC.US|16|0.6875|14
Bullish Hammer With FollowThru|Industry|REIT - Residential|16|0.6875|89
Bullish Hammer With FollowThru|Industry|Telecom Services|22|0.6818181818181818|127
Bullish Hammer With FollowThru|Industry|Leisure|12|0.6666666666666666|30
Bullish Hammer With FollowThru|Entity|AA.US|15|0.6666666666666666|52
Bullish Hammer With FollowThru|Entity|RTX.US|12|0.6666666666666666|53
Bullish Hammer With FollowThru|Industry|Household & Personal Products|15|0.6666666666666666|61
Bullish Hammer With FollowThru|Industry|Packaging & Containers|15|0.6666666666666666|71
Bullish Hammer With FollowThru|Entity|YCL.US|12|0.6666666666666666|111
Bullish Hammer With FollowThru|Industry|Packaged Foods|23|0.6521739130434783|77
Bullish Hammer With FollowThru|Industry|Real Estate Services|20|0.65|60
Bullish Hammer With FollowThru|Industry|Electronic Gaming & Multimedia|17|0.6470588235294118|27
Bullish Hammer With FollowThru|Industry|Aluminum|17|0.6470588235294118|47
