Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bullish Hammer With FollowThru|AA|PRIMARY PRODUCTION OF ALUMINUM||10/27/2016|Close|28.2200||||11/1/2016|Low|21.7800|Down|3|5
Bullish Hammer With FollowThru|AADR|||10/13/2014|Close|35.3020|10/25/2016|High|42.4864||||Up|531|743
Bullish Hammer With FollowThru|AAL|AIR TRANSPORTATION, SCHEDULED||8/14/2014|Close|39.5700|11/28/2014|High|49.4500|10/10/2014|Low|29.7800|Down|41|57
Bullish Hammer With FollowThru|AAL|AIR TRANSPORTATION, SCHEDULED||10/9/2015|Close|42.4200||||5/3/2016|Low|33.8500|Down|147|207
Bullish Hammer With FollowThru|AAMC|REAL ESTATE||2/6/2015|Close|195.2900|3/12/2015|High|259.7900|6/16/2015|Low|150.1725|Up|24|34
Bullish Hammer With FollowThru|AAMC|REAL ESTATE||6/4/2015|Close|162.6600||||7/9/2015|Low|129.0000|Down|25|35
Bullish Hammer With FollowThru|AAP|RETAIL-AUTO & HOME SUPPLY STORES||9/29/2014|Close|130.6400|12/9/2014|High|158.6500||||Up|51|71
Bullish Hammer With FollowThru|ABBV|PHARMACEUTICAL PREPARATIONS||1/15/2016|Close|57.3400|||||||||
Bullish Hammer With FollowThru|ABCB|STATE COMMERCIAL BANKS||7/6/2015|Close|25.3800|10/26/2015|High|30.5300||||Up|80|112
Bullish Hammer With FollowThru|ABT|PHARMACEUTICAL PREPARATIONS||5/16/2016|Close|38.2500|||||||||
Bullish Hammer With FollowThru|ABT|PHARMACEUTICAL PREPARATIONS||6/22/2016|Close|38.7400|||||||||
Bullish Hammer With FollowThru|ACIW|SERVICES-PREPACKAGED SOFTWARE||11/9/2016|Close|17.8700|||||||||
Bullish Hammer With FollowThru|ACNB|STATE COMMERCIAL BANKS||5/19/2015|Close|20.3500|5/24/2016|High|25.0900||||Up|265|371
Bullish Hammer With FollowThru|ACNB|STATE COMMERCIAL BANKS||9/18/2015|Close|20.8900|5/24/2016|High|25.0900||||Up|177|249
Bullish Hammer With FollowThru|ACNB|STATE COMMERCIAL BANKS||9/18/2015|Close|20.8900|5/24/2016|High|25.0900||||Up|177|249
Bullish Hammer With FollowThru|ACWI|||7/14/2015|Close|60.5500|||||||||
Bullish Hammer With FollowThru|ACWX|||9/16/2014|Close|47.2400||||1/7/2016|Low|37.2000|Down|342|478
Bullish Hammer With FollowThru|ADC|REAL ESTATE INVESTMENT TRUSTS||1/19/2016|Close|33.1000|4/18/2016|High|39.8600||||Up|64|90
Bullish Hammer With FollowThru|ADI|SEMICONDUCTORS & RELATED DEVICES||9/30/2015|Close|56.4100|11/15/2016|High|68.4900||||Up|294|412
Bullish Hammer With FollowThru|ADM|FATS & OILS||10/5/2015|Close|43.6400||||12/8/2015|Low|34.8800|Down|46|64
Bullish Hammer With FollowThru|ADTN|TELEPHONE & TELEGRAPH APPARATUS||7/30/2015|Close|16.3900|3/17/2016|High|19.8000||||Up|165|231
Bullish Hammer With FollowThru|AEE|ELECTRIC & OTHER SERVICES COMBINED||8/8/2014|Close|38.1300|12/23/2014|High|45.9500||||Up|97|137
Bullish Hammer With FollowThru|AFGE|FIRE, MARINE & CASUALTY INSURANCE||7/2/2015|Close|25.5300|||||||||
Bullish Hammer With FollowThru|AFGE|FIRE, MARINE & CASUALTY INSURANCE||10/7/2015|Close|26.1100|||||||||
Bullish Hammer With FollowThru|AFT|||9/2/2014|Close|17.6300||||1/20/2016|Low|13.9600|Down|361|505
Bullish Hammer With FollowThru|AFT|||12/2/2014|Close|16.9352|||||||||
Bullish Hammer With FollowThru|AGM|FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES||11/25/2014|Close|30.7600|3/18/2016|High|38.1819|8/21/2015|Low|24.3000|Down|193|269
Bullish Hammer With FollowThru|AGM|FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES||8/10/2015|Close|28.2500|1/6/2016|High|34.3400|8/31/2015|Low|22.4500|Down|15|21
Bullish Hammer With FollowThru|AGZ|||4/29/2016|Close|114.8200|||||||||
Bullish Hammer With FollowThru|AGZD|||10/16/2014|Close|49.6600|||||||||
Bullish Hammer With FollowThru|AI|SERVICES-PREPACKAGED SOFTWARE||10/7/2015|Close|15.2500||||12/14/2015|Low|12.0700|Down|48|68
