Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Hammer With FollowThru|Entity|MYY.US|10|0.8|147
Bullish Hammer With FollowThru|Entity|OCC.US|14|0.7857142857142857|14
Bullish Hammer With FollowThru|Industry|Scientific & Technical Instruments|12|0.75|36
Bullish Hammer With FollowThru|Entity|FBZ.US|10|0.7|38
Bullish Hammer With FollowThru|Industry|REIT - Retail|19|0.6842105263157895|43
Bullish Hammer With FollowThru|Industry|Entertainment|12|0.6666666666666666|34
Bullish Hammer With FollowThru|Industry|Packaged Foods|15|0.6666666666666666|36
Bullish Hammer With FollowThru|Industry|Specialty Chemicals|29|0.6551724137931034|36
Bullish Hammer With FollowThru|Industry|Education & Training Services|11|0.6363636363636364|14
Bullish Hammer With FollowThru|Entity|YCL.US|11|0.6363636363636364|38
Bullish Hammer With FollowThru|Industry|Banks - Diversified|13|0.6153846153846154|85
Bullish Hammer With FollowThru|Industry|Resorts & Casinos|10|0.6|14
Bullish Hammer With FollowThru|Industry|Auto Parts|15|0.6|46
Bullish Hammer With FollowThru|Entity|SONY.US|10|0.6|48
Bullish Hammer With FollowThru|Sector|Communication Services|50|0.6|54
Bullish Hammer With FollowThru|Entity|NRIM.US|10|0.6|73
Bullish Hammer With FollowThru|Entity|DGT.US|10|0.6|80
Bullish Hammer With FollowThru|Industry|Specialty Retail|10|0.6|84
Bullish Hammer With FollowThru|Entity|TCI.US|17|0.5882352941176471|44
Bullish Hammer With FollowThru|Sector|Real Estate|95|0.5789473684210527|70
Bullish Hammer With FollowThru|Sector|Basic Materials|63|0.5714285714285714|33
Bullish Hammer With FollowThru|Industry|Credit Services|14|0.5714285714285714|34
Bullish Hammer With FollowThru|Industry|Telecom Services|14|0.5714285714285714|126
Bullish Hammer With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|38|0.5526315789473685|9
Bullish Hammer With FollowThru|Industry|REIT - Office|11|0.5454545454545454|56
Bullish Hammer With FollowThru|Entity|CFBK.US|13|0.5384615384615384|106
Bullish Hammer With FollowThru|Sector|Consumer Defensive|97|0.5360824742268041|53
Bullish Hammer With FollowThru|Industry|Integrated Freight & Logistics|17|0.5294117647058824|17
Bullish Hammer With FollowThru|Sector|Consumer Cyclical|195|0.5230769230769231|37
Bullish Hammer With FollowThru|Industry|Apparel Retail|23|0.5217391304347826|21
Bullish Hammer With FollowThru|Entity|DYNT.US|14|0.5|14
Bullish Hammer With FollowThru|Industry|Electronic Components|24|0.5|16
Bullish Hammer With FollowThru|Industry|Residential Construction|14|0.5|18
Bullish Hammer With FollowThru|Industry|Real Estate Services|10|0.5|21
Bullish Hammer With FollowThru|Industry|Specialty Business Services|12|0.5|24
Bullish Hammer With FollowThru|Industry|Electronic Gaming & Multimedia|14|0.5|25
Bullish Hammer With FollowThru|Industry|Drug Manufacturers - General|10|0.5|28
Bullish Hammer With FollowThru|Industry|Farm & Heavy Construction Machinery|20|0.5|68
Bullish Hammer With FollowThru|Industry|Household & Personal Products|10|0.5|82
Bullish Hammer With FollowThru|Entity|AUBN.US|12|0.5|114
Bullish Hammer With FollowThru|Sector|Industrials|284|0.4964788732394366|33
Bullish Hammer With FollowThru|Sector|Financial Services|439|0.489749430523918|81
Bullish Hammer With FollowThru|Industry|Banks - Regional|308|0.487012987012987|86
Bullish Hammer With FollowThru|Industry|Medical Instruments & Supplies|33|0.48484848484848486|46
Bullish Hammer With FollowThru|Industry|Packaging & Containers|19|0.47368421052631576|51
Bullish Hammer With FollowThru|Overall|All|7429|0.47045362767532645|86
Bullish Hammer With FollowThru|Industry|Engineering & Construction|28|0.4642857142857143|18
Bullish Hammer With FollowThru|Industry|Asset Management|41|0.4634146341463415|61
Bullish Hammer With FollowThru|Industry|Specialty Industrial Machinery|52|0.46153846153846156|32
Bullish Hammer With FollowThru|Industry|Oil & Gas Refining & Marketing|13|0.46153846153846156|34
Bullish Hammer With FollowThru|Industry|Medical Care Facilities|26|0.46153846153846156|41
Bullish Hammer With FollowThru|Sector|Utilities|63|0.4603174603174603|137
Bullish Hammer With FollowThru|Entity|SEF.US|11|0.45454545454545453|58
Bullish Hammer With FollowThru|Industry|Insurance - Property & Casualty|22|0.45454545454545453|61
Bullish Hammer With FollowThru|Industry|Restaurants|31|0.45161290322580644|46
Bullish Hammer With FollowThru|Sector|Technology|164|0.45121951219512196|23
Bullish Hammer With FollowThru|Industry|Beverages - Non-Alcoholic|27|0.4444444444444444|42
Bullish Hammer With FollowThru|Industry|Communication Equipment|16|0.4375|9
Bullish Hammer With FollowThru|Industry|Aerospace & Defense|37|0.43243243243243246|16
Bullish Hammer With FollowThru|Entity|CARV.US|14|0.42857142857142855|18
Bullish Hammer With FollowThru|Industry|Utilities - Regulated Electric|33|0.42424242424242425|168
Bullish Hammer With FollowThru|Sector|Healthcare|303|0.40594059405940597|20
Bullish Hammer With FollowThru|Entity|SIJ.US|10|0.4|23
Bullish Hammer With FollowThru|Entity|GEF.US|10|0.4|36
Bullish Hammer With FollowThru|Industry|Oil & Gas E&P|25|0.4|43
Bullish Hammer With FollowThru|Sector|Energy|80|0.4|44
Bullish Hammer With FollowThru|Industry|Capital Markets|10|0.4|45
Bullish Hammer With FollowThru|Entity|DBGR.US|10|0.4|46
Bullish Hammer With FollowThru|Entity|AKO-A.US|15|0.4|52
Bullish Hammer With FollowThru|Industry|Furnishings, Fixtures & Appliances|15|0.4|78
Bullish Hammer With FollowThru|Industry|Staffing & Employment Services|10|0.4|126
Bullish Hammer With FollowThru|Industry|Software - Application|54|0.3888888888888889|16
Bullish Hammer With FollowThru|Industry|Investment Banking & Investment Services|18|0.3888888888888889|344
