Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Hammer With FollowThru|Entity|SCX.US|10|0.8|33
Bullish Hammer With FollowThru|Industry|REIT - Office|14|0.7857142857142857|66
Bullish Hammer With FollowThru|Industry|Scientific & Technical Instruments|13|0.7692307692307693|25
Bullish Hammer With FollowThru|Industry|Packaged Foods|20|0.75|79
Bullish Hammer With FollowThru|Entity|MYY.US|12|0.75|143
Bullish Hammer With FollowThru|Industry|Beverages - Wineries & Distilleries|11|0.7272727272727273|53
Bullish Hammer With FollowThru|Industry|REIT - Residential|11|0.7272727272727273|79
Bullish Hammer With FollowThru|Industry|Aluminum|10|0.7|37
Bullish Hammer With FollowThru|Entity|CHE.US|10|0.7|100
Bullish Hammer With FollowThru|Industry|Utilities - Regulated Gas|10|0.7|190
Bullish Hammer With FollowThru|Entity|OCC.US|13|0.6923076923076923|12
Bullish Hammer With FollowThru|Entity|TCI.US|13|0.6923076923076923|29
Bullish Hammer With FollowThru|Industry|Electrical Equipment & Parts|13|0.6923076923076923|65
Bullish Hammer With FollowThru|Industry|Gold|18|0.6666666666666666|12
Bullish Hammer With FollowThru|Industry|Entertainment|12|0.6666666666666666|36
Bullish Hammer With FollowThru|Entity|SONY.US|12|0.6666666666666666|44
Bullish Hammer With FollowThru|Industry|Rental & Leasing Services|12|0.6666666666666666|68
Bullish Hammer With FollowThru|Industry|Specialty Chemicals|29|0.6551724137931034|52
Bullish Hammer With FollowThru|Industry|Apparel Retail|26|0.6538461538461539|18
Bullish Hammer With FollowThru|Sector|Real Estate|117|0.6410256410256411|69
Bullish Hammer With FollowThru|Industry|Building Products & Equipment|11|0.6363636363636364|8
Bullish Hammer With FollowThru|Industry|Education & Training Services|11|0.6363636363636364|14
Bullish Hammer With FollowThru|Entity|FBZ.US|11|0.6363636363636364|33
Bullish Hammer With FollowThru|Industry|Real Estate Services|11|0.6363636363636364|89
Bullish Hammer With FollowThru|Sector|Consumer Defensive|116|0.6293103448275862|67
Bullish Hammer With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|32|0.625|9
Bullish Hammer With FollowThru|Industry|Packaging & Containers|21|0.6190476190476191|58
Bullish Hammer With FollowThru|Entity|DYNT.US|13|0.6153846153846154|13
Bullish Hammer With FollowThru|Industry|Resorts & Casinos|10|0.6|8
Bullish Hammer With FollowThru|Industry|Leisure|10|0.6|28
Bullish Hammer With FollowThru|Industry|Insurance Brokers|15|0.6|38
Bullish Hammer With FollowThru|Industry|REIT - Retail|25|0.6|44
Bullish Hammer With FollowThru|Industry|Industrial Distribution|10|0.6|55
Bullish Hammer With FollowThru|Industry|REIT - Specialty|10|0.6|65
Bullish Hammer With FollowThru|Industry|Banks - Diversified|10|0.6|100
Bullish Hammer With FollowThru|Entity|CFBK.US|10|0.6|116
Bullish Hammer With FollowThru|Industry|Specialty Business Services|12|0.5833333333333334|50
