Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bullish Hammer With FollowThru|AAL|AIR TRANSPORTATION, SCHEDULED||10/9/2015|Close|42.4200|10/27/2015|High|46.6900|1/20/2016|Low|36.2000|Up|12|18
Bullish Hammer With FollowThru|AGM|FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES||8/10/2015|Close|28.2500|11/11/2015|High|31.2500|8/12/2015|Low|24.8501|Down|2|2
Bullish Hammer With FollowThru|AINC|SERVICES-MANAGEMENT CONSULTING SERVICES||9/30/2015|Close|63.4500|11/16/2015|High|70.0500|12/9/2015|Low|56.6300|Up|33|47
Bullish Hammer With FollowThru|AINC|SERVICES-MANAGEMENT CONSULTING SERVICES||7/1/2016|Close|52.0000||||7/6/2016|Low|45.5300|Down|3|5
Bullish Hammer With FollowThru|AIV|REAL ESTATE INVESTMENT TRUSTS||11/28/2016|Close|41.7000|||||||||
Bullish Hammer With FollowThru|AKO.A|||7/7/2015|Close|15.0000|9/14/2015|High|16.9500|8/12/2015|Low|13.3000|Down|26|36
Bullish Hammer With FollowThru|ALB|PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS||9/15/2015|Close|44.2700|10/6/2015|High|48.8400||||Up|15|21
Bullish Hammer With FollowThru|ALLpB|FIRE, MARINE & CASUALTY INSURANCE||1/8/2016|Close|25.3400|7/27/2016|High|27.8800||||Up|143|201
Bullish Hammer With FollowThru|AMZA|||8/10/2015|Close|16.7400||||8/24/2015|Low|14.8000|Down|10|14
Bullish Hammer With FollowThru|AMZA|||10/5/2015|Close|15.5900||||10/22/2015|Low|13.8000|Down|13|17
Bullish Hammer With FollowThru|AOR|||9/30/2015|Close|38.1600|||||||||
Bullish Hammer With FollowThru|APAM|INVESTMENT ADVICE||10/5/2015|Close|37.3900||||10/27/2015|Low|33.4100|Down|16|22
Bullish Hammer With FollowThru|APAM|INVESTMENT ADVICE||10/5/2015|Close|37.3900||||10/27/2015|Low|33.4100|Down|16|22
Bullish Hammer With FollowThru|ARDC|||12/23/2015|Close|13.4500|9/27/2016|High|14.8100|2/10/2016|Low|12.0600|Down|35|49
Bullish Hammer With FollowThru|ARGT|||1/29/2016|Close|17.1540|2/29/2016|High|18.9200||||Up|21|31
Bullish Hammer With FollowThru|ARKQ|||8/11/2015|Close|19.2984|8/11/2016|High|21.3300|8/24/2015|Low|16.3800|Down|9|13
Bullish Hammer With FollowThru|ARKR|RETAIL-EATING PLACES||10/25/2016|Close|20.7500|||||||||
Bullish Hammer With FollowThru|BAX|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS||3/2/2015|Close|69.9600|7/22/2014|High|77.1500|4/29/2016|Low|43.8350|Up|-159|-223
Bullish Hammer With FollowThru|BELFA|ELECTRONIC COILS, TRANSFORMERS & OTHER INDUCTORS||7/7/2016|Close|15.2792|7/14/2016|High|16.9761||||Up|5|7
Bullish Hammer With FollowThru|BHB|STATE COMMERCIAL BANKS||1/20/2016|Close|31.4200|1/29/2016|High|34.7000||||Up|7|9
Bullish Hammer With FollowThru|BIT|||1/26/2016|Close|15.4200|7/11/2016|High|17.0800||||Up|119|167
Bullish Hammer With FollowThru|BIZD|||1/26/2016|Close|14.7600|3/18/2016|High|16.2900||||Up|38|52
Bullish Hammer With FollowThru|BIZD|||1/26/2016|Close|14.7600|3/18/2016|High|16.2900||||Up|38|52
Bullish Hammer With FollowThru|BJK|||1/26/2016|Close|29.0200|3/1/2016|High|32.0500||||Up|25|35
Bullish Hammer With FollowThru|BOIL|COMMODITY CONTRACTS BROKERS & DEALERS||1/28/2016|Close|16.2300|6/30/2016|High|17.8599|2/2/2016|Low|12.6500|Down|3|5
Bullish Hammer With FollowThru|BRF|||1/29/2016|Close|9.5400|3/1/2016|High|10.5000||||Up|22|32
Bullish Hammer With FollowThru|BRK.B|FIRE, MARINE & CASUALTY INSURANCE||6/18/2015|Close|142.6700|11/11/2016|High|157.2800|8/24/2015|Low|125.5000|Down|47|67
Bullish Hammer With FollowThru|BSAC|||8/10/2015|Close|20.6300|10/31/2016|High|22.9000|8/24/2015|Low|17.4800|Down|10|14
Bullish Hammer With FollowThru|BUI|||11/30/2015|Close|16.8900|3/30/2016|High|18.6900|1/20/2016|Low|14.7700|Down|37|51
Bullish Hammer With FollowThru|BYLD|||5/7/2015|Close|25.2100|||||||||
Bullish Hammer With FollowThru|CAPE|||1/14/2016|Close|76.8501|4/4/2016|High|84.5400||||Up|57|81
Bullish Hammer With FollowThru|CARZ|||7/14/2015|Close|38.0000||||8/24/2015|Low|20.0100|Down|29|41
