Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Hammer With FollowThru|Industry|Medical Instruments & Supplies|12|0.6666666666666666|17
Bullish Hammer With FollowThru|Sector|Industrials|69|0.6231884057971014|27
Bullish Hammer With FollowThru|Sector|Real Estate|29|0.6206896551724138|80
Bullish Hammer With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|13|0.6153846153846154|7
Bullish Hammer With FollowThru|Sector|Basic Materials|32|0.5625|24
Bullish Hammer With FollowThru|Sector|Communication Services|20|0.55|19
Bullish Hammer With FollowThru|Industry|Utilities - Regulated Electric|17|0.5294117647058824|83
Bullish Hammer With FollowThru|Sector|Healthcare|119|0.5126050420168067|12
Bullish Hammer With FollowThru|Industry|Specialty Chemicals|16|0.5|6
Bullish Hammer With FollowThru|Sector|Consumer Cyclical|55|0.4909090909090909|32
Bullish Hammer With FollowThru|Sector|Utilities|25|0.48|72
Bullish Hammer With FollowThru|Sector|Energy|11|0.45454545454545453|55
Bullish Hammer With FollowThru|Overall|All|1698|0.4534746760895171|75
Bullish Hammer With FollowThru|Sector|Technology|42|0.4523809523809524|19
Bullish Hammer With FollowThru|Sector|Consumer Defensive|31|0.45161290322580644|22
Bullish Hammer With FollowThru|Industry|Medical Devices|16|0.4375|17
Bullish Hammer With FollowThru|Industry|Biotechnology|53|0.4339622641509434|7
Bullish Hammer With FollowThru|Sector|Financial Services|100|0.43|70
Bullish Hammer With FollowThru|Industry|Software - Application|14|0.42857142857142855|9
Bullish Hammer With FollowThru|Industry|Banks - Regional|64|0.375|69
Bullish Hammer With FollowThru|Industry|Asset Management|15|0.3333333333333333|166
