Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Hammer With FollowThru|Entity|GIS.US|10|1|97
Bullish Hammer With FollowThru|Entity|ATRI.US|10|0.9|52
Bullish Hammer With FollowThru|Entity|NFG.US|19|0.8947368421052632|133
Bullish Hammer With FollowThru|Industry|Home Improvement Retail|15|0.8|42
Bullish Hammer With FollowThru|Entity|PG.US|10|0.8|66
Bullish Hammer With FollowThru|Industry|Insurance - Life|10|0.8|78
Bullish Hammer With FollowThru|Industry|Beverages - Wineries & Distilleries|14|0.7857142857142857|76
Bullish Hammer With FollowThru|Entity|GD.US|14|0.7857142857142857|78
Bullish Hammer With FollowThru|Entity|AON.US|14|0.7857142857142857|79
Bullish Hammer With FollowThru|Industry|Insurance - Diversified|23|0.782608695652174|68
Bullish Hammer With FollowThru|Entity|R.US|13|0.7692307692307693|62
Bullish Hammer With FollowThru|Entity|YCL.US|13|0.7692307692307693|94
Bullish Hammer With FollowThru|Entity|BHV.US|13|0.7692307692307693|128
Bullish Hammer With FollowThru|Entity|UNP.US|16|0.75|46
Bullish Hammer With FollowThru|Industry|REIT - Specialty|12|0.75|50
Bullish Hammer With FollowThru|Entity|AVT.US|20|0.75|70
Bullish Hammer With FollowThru|Entity|KWR.US|12|0.75|77
Bullish Hammer With FollowThru|Entity|TYO.US|12|0.75|102
Bullish Hammer With FollowThru|Entity|NRIM.US|12|0.75|134
Bullish Hammer With FollowThru|Industry|Auto Manufacturers|11|0.7272727272727273|43
Bullish Hammer With FollowThru|Entity|FDX.US|11|0.7272727272727273|49
Bullish Hammer With FollowThru|Entity|SJW.US|11|0.7272727272727273|56
Bullish Hammer With FollowThru|Industry|Financial Data & Stock Exchanges|11|0.7272727272727273|62
Bullish Hammer With FollowThru|Entity|WLYB.US|11|0.7272727272727273|100
Bullish Hammer With FollowThru|Entity|OCC.US|21|0.7142857142857143|15
Bullish Hammer With FollowThru|Industry|Security & Protection Services|21|0.7142857142857143|50
Bullish Hammer With FollowThru|Entity|AUBN.US|14|0.7142857142857143|70
Bullish Hammer With FollowThru|Entity|APD.US|14|0.7142857142857143|84
Bullish Hammer With FollowThru|Industry|Semiconductors|31|0.7096774193548387|19
Bullish Hammer With FollowThru|Entity|VTNR.US|10|0.7|7
Bullish Hammer With FollowThru|Entity|BMY.US|10|0.7|55
Bullish Hammer With FollowThru|Entity|CBU.US|10|0.7|72
Bullish Hammer With FollowThru|Entity|YXI.US|10|0.7|87
Bullish Hammer With FollowThru|Entity|TM.US|10|0.7|101
Bullish Hammer With FollowThru|Entity|IFF.US|10|0.7|101
Bullish Hammer With FollowThru|Entity|DX.US|10|0.7|120
Bullish Hammer With FollowThru|Entity|ED.US|10|0.7|169
Bullish Hammer With FollowThru|Industry|Electronics & Computer Distribution|26|0.6923076923076923|65
Bullish Hammer With FollowThru|Entity|IBM.US|13|0.6923076923076923|119
Bullish Hammer With FollowThru|Entity|BA.US|29|0.6896551724137931|41
Bullish Hammer With FollowThru|Industry|Household & Personal Products|29|0.6896551724137931|47
Bullish Hammer With FollowThru|Industry|Electronic Gaming & Multimedia|16|0.6875|26
Bullish Hammer With FollowThru|Entity|LLY.US|19|0.6842105263157895|42
Bullish Hammer With FollowThru|Industry|Advertising Agencies|12|0.6666666666666666|39
Bullish Hammer With FollowThru|Entity|MMM.US|18|0.6666666666666666|66
Bullish Hammer With FollowThru|Entity|PRA.US|12|0.6666666666666666|69
Bullish Hammer With FollowThru|Entity|TDS.US|12|0.6666666666666666|79
Bullish Hammer With FollowThru|Industry|Packaged Foods|39|0.6666666666666666|90
Bullish Hammer With FollowThru|Entity|MYY.US|15|0.6666666666666666|133
Bullish Hammer With FollowThru|Industry|Packaging & Containers|23|0.6521739130434783|71
Bullish Hammer With FollowThru|Entity|HAL.US|14|0.6428571428571429|37
Bullish Hammer With FollowThru|Industry|Gambling|14|0.6428571428571429|52
Bullish Hammer With FollowThru|Industry|Insurance Brokers|28|0.6428571428571429|58
Bullish Hammer With FollowThru|Industry|Telecom Services|28|0.6428571428571429|112
Bullish Hammer With FollowThru|Entity|LUMN.US|11|0.6363636363636364|49
Bullish Hammer With FollowThru|Entity|RNST.US|11|0.6363636363636364|66
Bullish Hammer With FollowThru|Entity|BP.US|11|0.6363636363636364|72
Bullish Hammer With FollowThru|Entity|WTRG.US|11|0.6363636363636364|90
Bullish Hammer With FollowThru|Entity|BDX.US|11|0.6363636363636364|94
Bullish Hammer With FollowThru|Entity|BMO.US|11|0.6363636363636364|94
Bullish Hammer With FollowThru|Industry|Credit Services|27|0.6296296296296297|56
Bullish Hammer With FollowThru|Industry|Education & Training Services|16|0.625|71
Bullish Hammer With FollowThru|Entity|RTX.US|16|0.625|71
Bullish Hammer With FollowThru|Industry|Banks - Diversified|24|0.625|76
Bullish Hammer With FollowThru|Sector|Consumer Defensive|189|0.6190476190476191|66
Bullish Hammer With FollowThru|Industry|REIT - Residential|34|0.6176470588235294|129
Bullish Hammer With FollowThru|Entity|FRPH.US|13|0.6153846153846154|14
Bullish Hammer With FollowThru|Entity|ROG.US|13|0.6153846153846154|28
Bullish Hammer With FollowThru|Industry|Medical Distribution|13|0.6153846153846154|34
Bullish Hammer With FollowThru|Industry|Integrated Freight & Logistics|26|0.6153846153846154|46
Bullish Hammer With FollowThru|Industry|Information Technology Services|62|0.6129032258064516|53
Bullish Hammer With FollowThru|Industry|Leisure|18|0.6111111111111112|32
Bullish Hammer With FollowThru|Entity|AKO-A.US|18|0.6111111111111112|47
Bullish Hammer With FollowThru|Industry|Specialty Chemicals|76|0.6052631578947368|69
Bullish Hammer With FollowThru|Industry|Gold|30|0.6|16
Bullish Hammer With FollowThru|Entity|PARAA.US|10|0.6|27
Bullish Hammer With FollowThru|Entity|TRIB.US|10|0.6|28
Bullish Hammer With FollowThru|Entity|RAND.US|10|0.6|43
Bullish Hammer With FollowThru|Entity|GT.US|15|0.6|52
Bullish Hammer With FollowThru|Entity|DD.US|15|0.6|63
Bullish Hammer With FollowThru|Entity|PNW.US|10|0.6|101
Bullish Hammer With FollowThru|Industry|REIT - Industrial|20|0.6|120
Bullish Hammer With FollowThru|Entity|WMK.US|10|0.6|237
Bullish Hammer With FollowThru|Industry|Oil & Gas Midstream|22|0.5909090909090909|33
Bullish Hammer With FollowThru|Industry|Electrical Equipment & Parts|17|0.5882352941176471|57
Bullish Hammer With FollowThru|Industry|Insurance - Specialty|17|0.5882352941176471|84
Bullish Hammer With FollowThru|Entity|DIS.US|24|0.5833333333333334|45
Bullish Hammer With FollowThru|Entity|LUV.US|12|0.5833333333333334|51
Bullish Hammer With FollowThru|Industry|Drug Manufacturers - General|36|0.5833333333333334|73
Bullish Hammer With FollowThru|Entity|CFBK.US|12|0.5833333333333334|103
Bullish Hammer With FollowThru|Entity|DUK.US|12|0.5833333333333334|146
Bullish Hammer With FollowThru|Industry|Real Estate Services|31|0.5806451612903226|46
Bullish Hammer With FollowThru|Industry|Oil & Gas Integrated|31|0.5806451612903226|59
Bullish Hammer With FollowThru|Entity|MCD.US|19|0.5789473684210527|74
Bullish Hammer With FollowThru|Industry|Auto Parts|40|0.575|45
Bullish Hammer With FollowThru|Industry|Aerospace & Defense|94|0.574468085106383|55
