Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Hammer With FollowThru|Entity|OCC.US|14|0.9285714285714286|12
Bullish Hammer With FollowThru|Industry|Drug Manufacturers - General|11|0.9090909090909091|32
Bullish Hammer With FollowThru|Entity|BHV.US|11|0.9090909090909091|128
Bullish Hammer With FollowThru|Industry|Insurance - Diversified|10|0.8|100
Bullish Hammer With FollowThru|Entity|MYY.US|10|0.8|147
Bullish Hammer With FollowThru|Industry|Entertainment|11|0.7272727272727273|34
Bullish Hammer With FollowThru|Entity|SONY.US|10|0.7|38
Bullish Hammer With FollowThru|Industry|Household & Personal Products|10|0.7|47
Bullish Hammer With FollowThru|Industry|Auto Parts|17|0.6470588235294118|42
Bullish Hammer With FollowThru|Sector|Communication Services|34|0.6470588235294118|58
Bullish Hammer With FollowThru|Industry|Specialty Chemicals|25|0.64|56
Bullish Hammer With FollowThru|Sector|Real Estate|64|0.625|78
Bullish Hammer With FollowThru|Industry|Integrated Freight & Logistics|13|0.6153846153846154|46
Bullish Hammer With FollowThru|Industry|Medical Instruments & Supplies|25|0.6|45
Bullish Hammer With FollowThru|Industry|REIT - Residential|10|0.6|162
Bullish Hammer With FollowThru|Industry|REIT - Retail|12|0.5833333333333334|35
Bullish Hammer With FollowThru|Industry|Asset Management|42|0.5714285714285714|80
Bullish Hammer With FollowThru|Industry|Apparel Retail|16|0.5625|21
Bullish Hammer With FollowThru|Industry|Packaged Foods|16|0.5625|43
Bullish Hammer With FollowThru|Industry|Insurance Brokers|16|0.5625|79
Bullish Hammer With FollowThru|Sector|Consumer Defensive|78|0.5512820512820513|53
Bullish Hammer With FollowThru|Industry|Information Technology Services|20|0.55|27
Bullish Hammer With FollowThru|Sector|Financial Services|339|0.5486725663716814|92
Bullish Hammer With FollowThru|Industry|Oil & Gas E&P|22|0.5454545454545454|40
Bullish Hammer With FollowThru|Entity|AKO-A.US|11|0.5454545454545454|40
Bullish Hammer With FollowThru|Industry|Electronic Components|13|0.5384615384615384|55
Bullish Hammer With FollowThru|Industry|Diagnostics & Research|17|0.5294117647058824|23
Bullish Hammer With FollowThru|Sector|Consumer Cyclical|148|0.527027027027027|43
Bullish Hammer With FollowThru|Industry|Banks - Regional|220|0.5227272727272727|101
Bullish Hammer With FollowThru|Sector|Basic Materials|49|0.5102040816326531|49
Bullish Hammer With FollowThru|Sector|Energy|65|0.5076923076923077|41
Bullish Hammer With FollowThru|Industry|REIT - Office|10|0.5|64
Bullish Hammer With FollowThru|Industry|Insurance - Property & Casualty|10|0.5|68
Bullish Hammer With FollowThru|Sector|Healthcare|217|0.4792626728110599|20
Bullish Hammer With FollowThru|Industry|Restaurants|21|0.47619047619047616|82
Bullish Hammer With FollowThru|Overall|All|4681|0.4699850459303568|109
Bullish Hammer With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|26|0.46153846153846156|8
Bullish Hammer With FollowThru|Industry|Medical Devices|26|0.46153846153846156|15
Bullish Hammer With FollowThru|Industry|Packaging & Containers|13|0.46153846153846156|68
Bullish Hammer With FollowThru|Sector|Technology|120|0.4583333333333333|31
Bullish Hammer With FollowThru|Industry|Software - Infrastructure|11|0.45454545454545453|24
Bullish Hammer With FollowThru|Industry|Specialty Business Services|11|0.45454545454545453|32
Bullish Hammer With FollowThru|Industry|Medical Care Facilities|16|0.4375|9
Bullish Hammer With FollowThru|Industry|Beverages - Non-Alcoholic|16|0.4375|34
Bullish Hammer With FollowThru|Industry|Engineering & Construction|23|0.43478260869565216|26
Bullish Hammer With FollowThru|Sector|Industrials|201|0.43283582089552236|38
Bullish Hammer With FollowThru|Industry|Utilities - Regulated Electric|35|0.42857142857142855|168
Bullish Hammer With FollowThru|Industry|Specialty Industrial Machinery|38|0.42105263157894735|48
Bullish Hammer With FollowThru|Industry|Communication Equipment|12|0.4166666666666667|11
Bullish Hammer With FollowThru|Industry|Aerospace & Defense|24|0.4166666666666667|16
Bullish Hammer With FollowThru|Industry|Capital Markets|12|0.4166666666666667|36
Bullish Hammer With FollowThru|Entity|SEF.US|12|0.4166666666666667|58
Bullish Hammer With FollowThru|Industry|Biotechnology|81|0.4074074074074074|10
Bullish Hammer With FollowThru|Entity|SOFO.US|10|0.4|10
Bullish Hammer With FollowThru|Industry|Real Estate Services|10|0.4|15
Bullish Hammer With FollowThru|Entity|SIJ.US|10|0.4|23
Bullish Hammer With FollowThru|Industry|Furnishings, Fixtures & Appliances|15|0.4|43
Bullish Hammer With FollowThru|Industry|Specialty Retail|10|0.4|114
Bullish Hammer With FollowThru|Industry|Banks - Diversified|10|0.4|133
Bullish Hammer With FollowThru|Sector|Utilities|63|0.3968253968253968|139
Bullish Hammer With FollowThru|Industry|Software - Application|41|0.3902439024390244|19
Bullish Hammer With FollowThru|Entity|ABEO.US|13|0.38461538461538464|3
Bullish Hammer With FollowThru|Entity|SDP.US|11|0.36363636363636365|56
Bullish Hammer With FollowThru|Entity|SBB.US|14|0.2857142857142857|47
Bullish Hammer With FollowThru|Industry|Farm & Heavy Construction Machinery|11|0.2727272727272727|55
Bullish Hammer With FollowThru|Entity|EFU.US|12|0.25|85
Bullish Hammer With FollowThru|Sector|Financials|19|0.21052631578947367|363
Bullish Hammer With FollowThru|Entity|KTH.US|11|0.18181818181818182|120
Bullish Hammer With FollowThru|Industry|Investment Banking & Investment Services|12|0.16666666666666666|614
