Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Hammer|Entity|GOOGL.US|15|1|48
Bullish Hammer|Entity|FTLS.US|16|0.9375|358
Bullish Hammer|Entity|IEF.US|12|0.9166666666666666|830
Bullish Hammer|Entity|IROQ.US|11|0.9090909090909091|271
Bullish Hammer|Entity|ACET.US|10|0.9|9
Bullish Hammer|Entity|WSC.US|10|0.9|43
Bullish Hammer|Entity|ENR.US|10|0.9|43
Bullish Hammer|Entity|WNS.US|25|0.88|38
Bullish Hammer|Entity|KSA.US|14|0.8571428571428571|94
Bullish Hammer|Entity|NWE.US|28|0.8571428571428571|108
Bullish Hammer|Entity|ILCB.US|27|0.8518518518518519|165
Bullish Hammer|Entity|JKD.US|27|0.8518518518518519|165
Bullish Hammer|Entity|USDU.US|20|0.85|651
Bullish Hammer|Entity|SPSC.US|13|0.8461538461538461|30
Bullish Hammer|Entity|MILN.US|13|0.8461538461538461|109
Bullish Hammer|Entity|IHI.US|19|0.8421052631578947|101
Bullish Hammer|Entity|PETQ.US|12|0.8333333333333334|9
Bullish Hammer|Entity|LNTH.US|12|0.8333333333333334|19
Bullish Hammer|Entity|TFIN.US|12|0.8333333333333334|33
Bullish Hammer|Entity|RNSC.US|18|0.8333333333333334|66
Bullish Hammer|Entity|HTBI.US|18|0.8333333333333334|107
Bullish Hammer|Entity|IWY.US|18|0.8333333333333334|184
Bullish Hammer|Entity|QDEF.US|23|0.8260869565217391|167
Bullish Hammer|Entity|DOX.US|34|0.8235294117647058|60
Bullish Hammer|Entity|GOLF.US|11|0.8181818181818182|35
Bullish Hammer|Entity|IIPR.US|11|0.8181818181818182|36
Bullish Hammer|Entity|PFSI.US|11|0.8181818181818182|44
Bullish Hammer|Entity|IFS.US|11|0.8181818181818182|44
Bullish Hammer|Entity|KBWP.US|22|0.8181818181818182|139
Bullish Hammer|Entity|UUP.US|22|0.8181818181818182|546
Bullish Hammer|Entity|DWAS.US|16|0.8125|54
Bullish Hammer|Entity|ACN.US|26|0.8076923076923077|53
Bullish Hammer|Entity|PSCC.US|31|0.8064516129032258|104
Bullish Hammer|Entity|SYK.US|36|0.8055555555555556|67
Bullish Hammer|Entity|QFIN.US|10|0.8|4
Bullish Hammer|Entity|KALV.US|15|0.8|6
Bullish Hammer|Entity|VRNS.US|15|0.8|17
Bullish Hammer|Entity|CRAK.US|15|0.8|49
Bullish Hammer|Entity|AMSF.US|30|0.8|54
Bullish Hammer|Entity|BIP.US|25|0.8|62
Bullish Hammer|Entity|FWONA.US|10|0.8|68
Bullish Hammer|Entity|ALL.US|40|0.8|71
Bullish Hammer|Entity|FNWB.US|10|0.8|72
Bullish Hammer|Entity|WOMN.US|10|0.8|73
Bullish Hammer|Entity|BFAM.US|10|0.8|74
Bullish Hammer|Entity|JKK.US|40|0.8|80
Bullish Hammer|Entity|FDMO.US|10|0.8|108
Bullish Hammer|Entity|ESGU.US|10|0.8|116
Bullish Hammer|Entity|DGRW.US|15|0.8|154
Bullish Hammer|Entity|XMLV.US|10|0.8|167
Bullish Hammer|Entity|IDEV.US|10|0.8|178
Bullish Hammer|Entity|VSMV.US|10|0.8|217
Bullish Hammer|Entity|ETX.US|20|0.8|330
Bullish Hammer|Entity|FHI.US|43|0.7906976744186046|67
Bullish Hammer|Entity|FRGT.US|19|0.7894736842105263|3
Bullish Hammer|Entity|PUI.US|33|0.7878787878787878|151
Bullish Hammer|Entity|MBUU.US|14|0.7857142857142857|27
Bullish Hammer|Entity|FHB.US|14|0.7857142857142857|97
Bullish Hammer|Entity|HLAL.US|14|0.7857142857142857|118
Bullish Hammer|Entity|LRGF.US|14|0.7857142857142857|152
Bullish Hammer|Entity|GSLC.US|14|0.7857142857142857|159
Bullish Hammer|Entity|WCN.US|23|0.782608695652174|79
Bullish Hammer|Entity|IDU.US|46|0.782608695652174|139
Bullish Hammer|Entity|FTXL.US|18|0.7777777777777778|33
Bullish Hammer|Entity|CASY.US|45|0.7777777777777778|48
Bullish Hammer|Entity|FCN.US|45|0.7777777777777778|49
Bullish Hammer|Entity|LTPZ.US|18|0.7777777777777778|418
