Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Hammer|Industry|INSURANCE AGENTS, BROKERS & SERVICE|12|0.8333333333333334|132
Bullish Hammer|Industry|STATE COMMERCIAL BANKS|122|0.7868852459016393|219
Bullish Hammer|Industry|NATIONAL COMMERCIAL BANKS|72|0.7083333333333334|191
Bullish Hammer|Industry|DRILLING OIL & GAS WELLS|16|0.6875|40
Bullish Hammer|Industry|PUMPS & PUMPING EQUIPMENT|15|0.6666666666666666|140
Bullish Hammer|Industry|ELECTRIC & OTHER SERVICES COMBINED|21|0.6666666666666666|217
Bullish Hammer|Industry|PERSONAL CREDIT INSTITUTIONS|13|0.6153846153846154|77
Bullish Hammer|Industry|SEMICONDUCTORS & RELATED DEVICES|33|0.6060606060606061|86
Bullish Hammer|Industry|BITUMINOUS COAL & LIGNITE SURFACE MINING|10|0.6|55
Bullish Hammer|Industry|RETAIL-VARIETY STORES|10|0.6|109
Bullish Hammer|Industry|REAL ESTATE|15|0.6|164
Bullish Hammer|Industry|SERVICES-BUSINESS SERVICES, NEC|27|0.5925925925925926|131
Bullish Hammer|Industry|SERVICES-EQUIPMENT RENTAL & LEASING, NEC|12|0.5833333333333334|63
Bullish Hammer|Industry|RETAIL-EATING PLACES|35|0.5714285714285714|160
Bullish Hammer|Industry|NATURAL GAS DISTRIBUTION|16|0.5625|120
Bullish Hammer|Industry|MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)|11|0.5454545454545454|155
Bullish Hammer|Industry|OIL ROYALTY TRADERS|13|0.5384615384615384|26
Bullish Hammer|Industry|RETAIL-GROCERY STORES|13|0.5384615384615384|190
Bullish Hammer|Industry|LIFE INSURANCE|31|0.5161290322580645|183
Bullish Hammer|Entity|BOIL|10|0.5|49
Bullish Hammer|Industry|METAL FORGINGS & STAMPINGS|10|0.5|75
Bullish Hammer|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|26|0.5|94
Bullish Hammer|Industry|CABLE & OTHER PAY TELEVISION SERVICES|16|0.5|119
Bullish Hammer|Industry|SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED|10|0.5|209
Bullish Hammer|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|35|0.4857142857142857|200
