Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Hammer|Entity|WBIL.US|10|1|357
Bullish Hammer|Entity|WNS.US|13|0.9230769230769231|54
Bullish Hammer|Entity|USDU.US|11|0.9090909090909091|746
Bullish Hammer|Entity|POOL.US|10|0.9|31
Bullish Hammer|Entity|VABK.US|10|0.9|54
Bullish Hammer|Entity|PNRG.US|10|0.9|59
Bullish Hammer|Entity|IVW.US|10|0.9|83
Bullish Hammer|Entity|BOKF.US|17|0.8823529411764706|40
Bullish Hammer|Entity|CHT.US|17|0.8823529411764706|288
Bullish Hammer|Entity|SP.US|16|0.875|28
Bullish Hammer|Entity|GIS.US|23|0.8695652173913043|137
Bullish Hammer|Entity|NWE.US|15|0.8666666666666667|69
Bullish Hammer|Entity|ALL.US|22|0.8636363636363636|57
Bullish Hammer|Entity|ES.US|22|0.8636363636363636|89
Bullish Hammer|Entity|SSD.US|21|0.8571428571428571|28
Bullish Hammer|Entity|PDCO.US|14|0.8571428571428571|37
Bullish Hammer|Entity|VLY.US|33|0.8484848484848485|97
Bullish Hammer|Entity|DAL.US|13|0.8461538461538461|24
Bullish Hammer|Entity|RNSC.US|13|0.8461538461538461|59
Bullish Hammer|Entity|UUP.US|13|0.8461538461538461|462
Bullish Hammer|Entity|SPGI.US|19|0.8421052631578947|67
Bullish Hammer|Entity|BDX.US|31|0.8387096774193549|67
Bullish Hammer|Entity|KALV.US|12|0.8333333333333334|6
Bullish Hammer|Entity|DLR.US|12|0.8333333333333334|50
Bullish Hammer|Entity|LANC.US|24|0.8333333333333334|56
Bullish Hammer|Entity|KBWR.US|17|0.8235294117647058|78
Bullish Hammer|Entity|POWA.US|17|0.8235294117647058|174
Bullish Hammer|Entity|EIX.US|22|0.8181818181818182|59
Bullish Hammer|Entity|CHD.US|22|0.8181818181818182|77
Bullish Hammer|Entity|CHDN.US|27|0.8148148148148148|43
Bullish Hammer|Entity|FRGT.US|16|0.8125|3
Bullish Hammer|Entity|ACN.US|16|0.8125|50
Bullish Hammer|Entity|FHI.US|21|0.8095238095238095|88
Bullish Hammer|Entity|ADC.US|31|0.8064516129032258|80
Bullish Hammer|Entity|SXTC.US|10|0.8|4
Bullish Hammer|Entity|HQY.US|10|0.8|12
Bullish Hammer|Entity|UTHR.US|20|0.8|34
Bullish Hammer|Entity|CACI.US|15|0.8|35
Bullish Hammer|Entity|IFS.US|10|0.8|36
Bullish Hammer|Entity|CTAS.US|15|0.8|37
Bullish Hammer|Entity|GGG.US|25|0.8|56
Bullish Hammer|Entity|WM.US|25|0.8|58
Bullish Hammer|Entity|RSG.US|10|0.8|60
Bullish Hammer|Entity|BPRN.US|10|0.8|66
Bullish Hammer|Entity|XSW.US|10|0.8|71
Bullish Hammer|Entity|SUI.US|20|0.8|74
Bullish Hammer|Entity|PUI.US|15|0.8|90
Bullish Hammer|Entity|DJD.US|10|0.8|108
Bullish Hammer|Entity|QDEF.US|10|0.8|111
Bullish Hammer|Entity|FXF.US|20|0.8|1391
Bullish Hammer|Entity|HMC.US|24|0.7916666666666666|45
Bullish Hammer|Entity|AON.US|24|0.7916666666666666|54
Bullish Hammer|Entity|OTTR.US|24|0.7916666666666666|124
Bullish Hammer|Entity|DOX.US|19|0.7894736842105263|49
Bullish Hammer|Entity|ZYME.US|14|0.7857142857142857|6
Bullish Hammer|Entity|TTGT.US|14|0.7857142857142857|18
Bullish Hammer|Entity|HAYN.US|14|0.7857142857142857|30
Bullish Hammer|Entity|PGR.US|14|0.7857142857142857|48
Bullish Hammer|Entity|CUTR.US|23|0.782608695652174|18
Bullish Hammer|Entity|AEM.US|32|0.78125|23
Bullish Hammer|Entity|FORM.US|18|0.7777777777777778|19
Bullish Hammer|Entity|MFC.US|18|0.7777777777777778|24
Bullish Hammer|Entity|ARGT.US|18|0.7777777777777778|30
Bullish Hammer|Entity|ORCL.US|18|0.7777777777777778|45
Bullish Hammer|Entity|HAE.US|27|0.7777777777777778|51
Bullish Hammer|Entity|TLT.US|18|0.7777777777777778|416
Bullish Hammer|Entity|TLH.US|22|0.7727272727272727|546
Bullish Hammer|Entity|RLMD.US|13|0.7692307692307693|8
Bullish Hammer|Entity|ICUI.US|26|0.7692307692307693|30
Bullish Hammer|Entity|FJP.US|13|0.7692307692307693|81
Bullish Hammer|Entity|TIPZ.US|13|0.7692307692307693|1602
Bullish Hammer|Entity|GRC.US|30|0.7666666666666667|20
Bullish Hammer|Entity|ELDN.US|17|0.7647058823529411|9
Bullish Hammer|Entity|HY.US|17|0.7647058823529411|17
Bullish Hammer|Entity|FI.US|17|0.7647058823529411|51
Bullish Hammer|Entity|IYH.US|17|0.7647058823529411|86
Bullish Hammer|Entity|AMSF.US|21|0.7619047619047619|48
Bullish Hammer|Entity|SPTL.US|21|0.7619047619047619|329
Bullish Hammer|Entity|CWT.US|25|0.76|191
