Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Hammer|Entity|WAT.US|10|1|21
Bullish Hammer|Entity|AXS.US|10|1|99
Bullish Hammer|Entity|AIR.US|13|0.9230769230769231|35
Bullish Hammer|Entity|CNK.US|13|0.9230769230769231|44
Bullish Hammer|Entity|AMSF.US|12|0.9166666666666666|57
Bullish Hammer|Entity|UUP.US|11|0.9090909090909091|676
Bullish Hammer|Entity|SCI.US|10|0.9|63
Bullish Hammer|Entity|CCI.US|10|0.9|75
Bullish Hammer|Entity|DOX.US|10|0.9|82
Bullish Hammer|Entity|DVA.US|10|0.9|86
Bullish Hammer|Entity|PNC.US|10|0.9|131
Bullish Hammer|Entity|USDU.US|10|0.9|713
Bullish Hammer|Entity|IGIB.US|10|0.9|2185
Bullish Hammer|Entity|SO.US|19|0.8947368421052632|196
Bullish Hammer|Entity|SNDA.US|15|0.8666666666666667|26
Bullish Hammer|Entity|SF.US|15|0.8666666666666667|56
Bullish Hammer|Entity|OTEX.US|14|0.8571428571428571|24
Bullish Hammer|Entity|GPC.US|20|0.85|146
Bullish Hammer|Entity|TLH.US|20|0.85|535
Bullish Hammer|Entity|CVGW.US|13|0.8461538461538461|32
Bullish Hammer|Entity|BCPC.US|13|0.8461538461538461|40
Bullish Hammer|Entity|SRCL.US|13|0.8461538461538461|67
Bullish Hammer|Entity|CASS.US|13|0.8461538461538461|71
Bullish Hammer|Industry|Apparel Manufacturing|18|0.8333333333333334|20
Bullish Hammer|Entity|GBF.US|12|0.8333333333333334|1595
Bullish Hammer|Entity|TDS.US|17|0.8235294117647058|39
Bullish Hammer|Entity|MNKD.US|11|0.8181818181818182|11
Bullish Hammer|Entity|NGS.US|11|0.8181818181818182|20
Bullish Hammer|Entity|PRFT.US|11|0.8181818181818182|31
Bullish Hammer|Entity|RAND.US|11|0.8181818181818182|33
Bullish Hammer|Entity|SNEX.US|11|0.8181818181818182|39
Bullish Hammer|Entity|TTC.US|11|0.8181818181818182|58
Bullish Hammer|Entity|TECH.US|11|0.8181818181818182|76
Bullish Hammer|Entity|QGEN.US|11|0.8181818181818182|80
Bullish Hammer|Entity|ASRT.US|10|0.8|4
Bullish Hammer|Entity|BTCM.US|10|0.8|13
Bullish Hammer|Entity|AXL.US|15|0.8|17
Bullish Hammer|Entity|USNA.US|10|0.8|23
Bullish Hammer|Entity|AEM.US|20|0.8|27
Bullish Hammer|Entity|FC.US|15|0.8|28
Bullish Hammer|Entity|GBLI.US|10|0.8|32
Bullish Hammer|Entity|VSEC.US|10|0.8|36
Bullish Hammer|Entity|KSS.US|15|0.8|56
Bullish Hammer|Entity|MTB.US|10|0.8|87
Bullish Hammer|Entity|CSCO.US|10|0.8|90
Bullish Hammer|Entity|BMO.US|15|0.8|95
Bullish Hammer|Entity|PPH.US|10|0.8|156
Bullish Hammer|Entity|WTMF.US|10|0.8|467
Bullish Hammer|Entity|CORP.US|10|0.8|1156
Bullish Hammer|Entity|WFC.US|19|0.7894736842105263|75
Bullish Hammer|Entity|BTI.US|19|0.7894736842105263|80
Bullish Hammer|Entity|FDX.US|28|0.7857142857142857|38
Bullish Hammer|Entity|UNM.US|14|0.7857142857142857|40
Bullish Hammer|Entity|CASY.US|14|0.7857142857142857|54
Bullish Hammer|Entity|AVT.US|37|0.7837837837837838|57
Bullish Hammer|Entity|APD.US|27|0.7777777777777778|69
Bullish Hammer|Entity|GIS.US|22|0.7727272727272727|126
Bullish Hammer|Entity|MTN.US|13|0.7692307692307693|33
Bullish Hammer|Entity|ITIC.US|13|0.7692307692307693|37
Bullish Hammer|Entity|SWX.US|13|0.7692307692307693|56
Bullish Hammer|Entity|PETS.US|13|0.7692307692307693|57
Bullish Hammer|Entity|SKT.US|13|0.7692307692307693|155
Bullish Hammer|Entity|BDX.US|30|0.7666666666666667|51
Bullish Hammer|Entity|CWT.US|17|0.7647058823529411|149
Bullish Hammer|Entity|TLT.US|17|0.7647058823529411|330
Bullish Hammer|Entity|BK.US|21|0.7619047619047619|60
Bullish Hammer|Entity|OCC.US|25|0.76|25
Bullish Hammer|Entity|IFF.US|25|0.76|97
Bullish Hammer|Entity|PILL.US|12|0.75|9
Bullish Hammer|Entity|SMSI.US|12|0.75|16
Bullish Hammer|Entity|URBN.US|12|0.75|18
Bullish Hammer|Entity|EL.US|12|0.75|41
Bullish Hammer|Entity|WM.US|12|0.75|47
Bullish Hammer|Entity|LANC.US|12|0.75|49
Bullish Hammer|Entity|AFL.US|12|0.75|51
Bullish Hammer|Entity|SSD.US|20|0.75|52
Bullish Hammer|Entity|TAP.US|12|0.75|55
Bullish Hammer|Entity|KWR.US|20|0.75|62
Bullish Hammer|Entity|FMS.US|12|0.75|62
Bullish Hammer|Entity|CFR.US|12|0.75|71
Bullish Hammer|Entity|CMCSA.US|16|0.75|78
Bullish Hammer|Entity|O.US|12|0.75|86
Bullish Hammer|Entity|EIX.US|12|0.75|107
Bullish Hammer|Entity|ES.US|16|0.75|128
Bullish Hammer|Entity|NWFL.US|12|0.75|136
Bullish Hammer|Entity|BAB.US|12|0.75|727
Bullish Hammer|Entity|SCHR.US|12|0.75|1040
Bullish Hammer|Entity|BLIN.US|19|0.7368421052631579|9
Bullish Hammer|Entity|UTL.US|19|0.7368421052631579|164
Bullish Hammer|Entity|WERN.US|15|0.7333333333333333|30
Bullish Hammer|Entity|HAS.US|15|0.7333333333333333|30
Bullish Hammer|Entity|WKC.US|15|0.7333333333333333|36
Bullish Hammer|Entity|CMA.US|15|0.7333333333333333|54
Bullish Hammer|Entity|RHI.US|15|0.7333333333333333|56
Bullish Hammer|Entity|FCBC.US|15|0.7333333333333333|58
Bullish Hammer|Entity|AIG.US|15|0.7333333333333333|75
Bullish Hammer|Entity|UL.US|15|0.7333333333333333|81
Bullish Hammer|Entity|GRP-UN.US|15|0.7333333333333333|94
Bullish Hammer|Entity|EG.US|15|0.7333333333333333|99
Bullish Hammer|Entity|MSEX.US|15|0.7333333333333333|108
Bullish Hammer|Entity|GOVI.US|15|0.7333333333333333|465
Bullish Hammer|Entity|ATEC.US|11|0.7272727272727273|9
Bullish Hammer|Entity|SRDX.US|11|0.7272727272727273|12
Bullish Hammer|Entity|COKE.US|11|0.7272727272727273|25
Bullish Hammer|Entity|TTEC.US|11|0.7272727272727273|26
Bullish Hammer|Entity|GPS.US|11|0.7272727272727273|28
Bullish Hammer|Entity|COR.US|11|0.7272727272727273|41
Bullish Hammer|Entity|HUBB.US|11|0.7272727272727273|42
Bullish Hammer|Entity|WSFS.US|11|0.7272727272727273|44
Bullish Hammer|Entity|WSO.US|11|0.7272727272727273|45
Bullish Hammer|Industry|Electronics & Computer Distribution|55|0.7272727272727273|55
Bullish Hammer|Entity|CHCO.US|11|0.7272727272727273|58
Bullish Hammer|Entity|SBR.US|11|0.7272727272727273|80
Bullish Hammer|Entity|ARKR.US|11|0.7272727272727273|84
Bullish Hammer|Entity|UMBF.US|11|0.7272727272727273|115
Bullish Hammer|Entity|SNV.US|11|0.7272727272727273|119
Bullish Hammer|Entity|BTAL.US|11|0.7272727272727273|162
Bullish Hammer|Entity|IEI.US|11|0.7272727272727273|1522
Bullish Hammer|Entity|MGRC.US|18|0.7222222222222222|49
Bullish Hammer|Entity|CHD.US|18|0.7222222222222222|94
Bullish Hammer|Entity|CLX.US|18|0.7222222222222222|116
Bullish Hammer|Entity|SPTL.US|18|0.7222222222222222|335
Bullish Hammer|Entity|JAGX.US|14|0.7142857142857143|4
Bullish Hammer|Entity|NBR.US|14|0.7142857142857143|26
Bullish Hammer|Entity|WMB.US|14|0.7142857142857143|30
Bullish Hammer|Entity|EXPD.US|14|0.7142857142857143|42
Bullish Hammer|Entity|PRGO.US|21|0.7142857142857143|42
Bullish Hammer|Entity|SHBI.US|14|0.7142857142857143|57
Bullish Hammer|Entity|DRI.US|14|0.7142857142857143|58
Bullish Hammer|Entity|AON.US|21|0.7142857142857143|58
Bullish Hammer|Entity|TGT.US|14|0.7142857142857143|77
Bullish Hammer|Entity|BRK-A.US|14|0.7142857142857143|88
Bullish Hammer|Entity|SPTI.US|14|0.7142857142857143|1687
Bullish Hammer|Industry|Financial Data & Stock Exchanges|24|0.7083333333333334|55
Bullish Hammer|Entity|WDFC.US|24|0.7083333333333334|78
Bullish Hammer|Entity|AOS.US|17|0.7058823529411765|46
Bullish Hammer|Industry|Specialty Business Services|68|0.7058823529411765|53
Bullish Hammer|Entity|SHW.US|17|0.7058823529411765|66
Bullish Hammer|Entity|FRPH.US|17|0.7058823529411765|72
Bullish Hammer|Entity|GILT.US|17|0.7058823529411765|72
Bullish Hammer|Entity|EXC.US|17|0.7058823529411765|80
Bullish Hammer|Industry|Tobacco|27|0.7037037037037037|65
Bullish Hammer|Entity|CHEK.US|10|0.7|5
Bullish Hammer|Entity|WVE.US|10|0.7|9
Bullish Hammer|Entity|RBBN.US|10|0.7|9
Bullish Hammer|Entity|ATR.US|10|0.7|13
Bullish Hammer|Entity|OSIS.US|10|0.7|20
Bullish Hammer|Entity|MKSI.US|10|0.7|26
Bullish Hammer|Entity|AU.US|10|0.7|27
Bullish Hammer|Entity|HLF.US|10|0.7|28
Bullish Hammer|Entity|TSE.US|10|0.7|29
Bullish Hammer|Entity|EC.US|10|0.7|31
Bullish Hammer|Entity|ICLR.US|10|0.7|38
Bullish Hammer|Entity|ITW.US|10|0.7|45
Bullish Hammer|Entity|AB.US|10|0.7|45
Bullish Hammer|Entity|PH.US|10|0.7|47
Bullish Hammer|Entity|RMD.US|10|0.7|48
Bullish Hammer|Entity|CTS.US|10|0.7|51
Bullish Hammer|Entity|OLN.US|20|0.7|51
Bullish Hammer|Entity|ABM.US|20|0.7|54
Bullish Hammer|Entity|DCI.US|10|0.7|55
Bullish Hammer|Entity|VVI.US|10|0.7|58
Bullish Hammer|Entity|ALB.US|10|0.7|61
Bullish Hammer|Entity|FRT.US|20|0.7|61
Bullish Hammer|Entity|BXMT.US|10|0.7|63
Bullish Hammer|Entity|CPB.US|20|0.7|68
Bullish Hammer|Entity|BKU.US|10|0.7|103
Bullish Hammer|Entity|TYO.US|20|0.7|104
Bullish Hammer|Entity|IBM.US|53|0.6981132075471698|98
Bullish Hammer|Entity|PULM.US|13|0.6923076923076923|9
Bullish Hammer|Entity|MTZ.US|13|0.6923076923076923|9
Bullish Hammer|Entity|EYPT.US|13|0.6923076923076923|16
Bullish Hammer|Entity|CCJ.US|13|0.6923076923076923|20
Bullish Hammer|Industry|Uranium|13|0.6923076923076923|20
Bullish Hammer|Entity|CEVA.US|13|0.6923076923076923|21
Bullish Hammer|Entity|MTG.US|13|0.6923076923076923|26
Bullish Hammer|Entity|RBA.US|13|0.6923076923076923|34
Bullish Hammer|Entity|CCK.US|13|0.6923076923076923|35
Bullish Hammer|Entity|ATNI.US|13|0.6923076923076923|37
Bullish Hammer|Entity|HAFC.US|13|0.6923076923076923|38
Bullish Hammer|Entity|E.US|13|0.6923076923076923|40
Bullish Hammer|Entity|BC.US|13|0.6923076923076923|47
Bullish Hammer|Entity|EHC.US|13|0.6923076923076923|49
Bullish Hammer|Entity|EXPO.US|13|0.6923076923076923|54
Bullish Hammer|Entity|NOV.US|13|0.6923076923076923|77
Bullish Hammer|Entity|BF-A.US|13|0.6923076923076923|78
Bullish Hammer|Entity|MBI.US|13|0.6923076923076923|92
Bullish Hammer|Entity|CFBK.US|13|0.6923076923076923|103
Bullish Hammer|Entity|ESLT.US|13|0.6923076923076923|114
Bullish Hammer|Entity|BAX.US|13|0.6923076923076923|133
Bullish Hammer|Entity|GSK.US|13|0.6923076923076923|172
Bullish Hammer|Entity|WAFD.US|13|0.6923076923076923|183
Bullish Hammer|Entity|TM.US|29|0.6896551724137931|92
Bullish Hammer|Entity|PKOH.US|16|0.6875|13
Bullish Hammer|Entity|TCX.US|16|0.6875|27
Bullish Hammer|Entity|EBIXQ.US|16|0.6875|32
Bullish Hammer|Entity|EBIX.US|16|0.6875|32
Bullish Hammer|Entity|ATRI.US|16|0.6875|36
Bullish Hammer|Entity|LSTR.US|16|0.6875|63
Bullish Hammer|Entity|UHT.US|16|0.6875|97
Bullish Hammer|Entity|FUNC.US|16|0.6875|103
Bullish Hammer|Entity|HEPA.US|19|0.6842105263157895|8
Bullish Hammer|Entity|UVV.US|19|0.6842105263157895|56
Bullish Hammer|Entity|TPL.US|19|0.6842105263157895|56
Bullish Hammer|Entity|TR.US|19|0.6842105263157895|77
Bullish Hammer|Entity|NJR.US|19|0.6842105263157895|97
Bullish Hammer|Entity|ICUI.US|22|0.6818181818181818|26
Bullish Hammer|Industry|Gambling|28|0.6785714285714286|34
Bullish Hammer|Entity|UNP.US|31|0.6774193548387096|46
Bullish Hammer|Industry|Insurance - Specialty|61|0.6721311475409836|73
Bullish Hammer|Entity|QMCO.US|15|0.6666666666666666|15
Bullish Hammer|Entity|IPAR.US|12|0.6666666666666666|20
Bullish Hammer|Entity|ATRC.US|12|0.6666666666666666|21
Bullish Hammer|Entity|IART.US|15|0.6666666666666666|23
Bullish Hammer|Entity|PRGS.US|12|0.6666666666666666|23
Bullish Hammer|Entity|STRR.US|15|0.6666666666666666|25
Bullish Hammer|Entity|DHI.US|18|0.6666666666666666|25
Bullish Hammer|Entity|RCKY.US|15|0.6666666666666666|28
Bullish Hammer|Entity|GVA.US|15|0.6666666666666666|28
Bullish Hammer|Entity|LNN.US|12|0.6666666666666666|29
Bullish Hammer|Entity|R.US|27|0.6666666666666666|32
Bullish Hammer|Entity|LHX.US|21|0.6666666666666666|37
Bullish Hammer|Entity|TXN.US|51|0.6666666666666666|39
Bullish Hammer|Entity|LNC.US|21|0.6666666666666666|47
Bullish Hammer|Entity|JOE.US|15|0.6666666666666666|54
Bullish Hammer|Entity|PGR.US|12|0.6666666666666666|63
Bullish Hammer|Entity|BDN.US|12|0.6666666666666666|64
Bullish Hammer|Entity|FARM.US|15|0.6666666666666666|71
Bullish Hammer|Entity|DMLP.US|18|0.6666666666666666|72
Bullish Hammer|Entity|TJX.US|15|0.6666666666666666|73
Bullish Hammer|Entity|AJG.US|18|0.6666666666666666|73
Bullish Hammer|Entity|FUN.US|12|0.6666666666666666|74
Bullish Hammer|Entity|ENB.US|12|0.6666666666666666|82
Bullish Hammer|Entity|FCN.US|12|0.6666666666666666|85
Bullish Hammer|Entity|RIO.US|15|0.6666666666666666|85
Bullish Hammer|Entity|GILD.US|18|0.6666666666666666|89
Bullish Hammer|Entity|CM.US|12|0.6666666666666666|101
Bullish Hammer|Entity|GSBC.US|12|0.6666666666666666|102
Bullish Hammer|Entity|NFG.US|36|0.6666666666666666|104
Bullish Hammer|Entity|CPT.US|15|0.6666666666666666|104
Bullish Hammer|Entity|TRP.US|18|0.6666666666666666|142
Bullish Hammer|Entity|VLY.US|15|0.6666666666666666|158
Bullish Hammer|Entity|MGEE.US|12|0.6666666666666666|221
Bullish Hammer|Entity|TIP.US|12|0.6666666666666666|1104
Bullish Hammer|Industry|REIT - Industrial|67|0.6567164179104478|69
Bullish Hammer|Industry|Food Distribution|32|0.65625|43
Bullish Hammer|Entity|LUV.US|26|0.6538461538461539|38
Bullish Hammer|Entity|OMI.US|26|0.6538461538461539|87
Bullish Hammer|Entity|CAG.US|23|0.6521739130434783|74
Bullish Hammer|Industry|Insurance - Reinsurance|23|0.6521739130434783|77
Bullish Hammer|Industry|Household & Personal Products|106|0.6509433962264151|81
Bullish Hammer|Entity|CMCT.US|20|0.65|52
Bullish Hammer|Entity|WSM.US|20|0.65|60
Bullish Hammer|Entity|SCX.US|20|0.65|61
Bullish Hammer|Entity|VZ.US|20|0.65|107
Bullish Hammer|Entity|DUK.US|20|0.65|130
Bullish Hammer|Industry|Coking Coal|17|0.6470588235294118|15
Bullish Hammer|Entity|SWKS.US|17|0.6470588235294118|15
Bullish Hammer|Entity|CVLG.US|17|0.6470588235294118|26
