Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bullish Hammer|A|LABORATORY ANALYTICAL INSTRUMENTS||6/15/2015|Close|39.5200|5/17/2016|High|45.3400|8/24/2015|Low|33.5700|Down|50|70
Bullish Hammer|A|LABORATORY ANALYTICAL INSTRUMENTS||8/12/2015|Close|38.8900|5/11/2016|High|43.2000|8/24/2015|Low|33.5700|Down|8|12
Bullish Hammer|AA|PRIMARY PRODUCTION OF ALUMINUM||3/4/2015|Close|43.7700||||3/17/2015|Low|39.0300|Down|9|13
Bullish Hammer|AA|PRIMARY PRODUCTION OF ALUMINUM||7/7/2015|Close|33.1800||||7/23/2015|Low|29.7000|Down|12|16
Bullish Hammer|AA|PRIMARY PRODUCTION OF ALUMINUM||5/10/2016|Close|29.0100|7/12/2016|High|32.4000|10/18/2016|Low|25.6300|Up|45|63
Bullish Hammer|AA|PRIMARY PRODUCTION OF ALUMINUM||10/18/2016|Close|26.5100|11/10/2016|High|29.7000|11/1/2016|Low|21.7800|Down|10|14
Bullish Hammer|AAL|AIR TRANSPORTATION, SCHEDULED||10/2/2015|Close|38.6300|10/12/2015|High|43.8800|2/8/2016|Low|34.7600|Up|6|10
Bullish Hammer|AAL|AIR TRANSPORTATION, SCHEDULED||2/3/2016|Close|37.5100|2/25/2016|High|41.3800|5/4/2016|Low|33.0000|Up|16|22
Bullish Hammer|AAL|AIR TRANSPORTATION, SCHEDULED||4/6/2016|Close|38.9000|11/10/2016|High|43.3900|4/29/2016|Low|34.1000|Down|17|23
Bullish Hammer|AAL|AIR TRANSPORTATION, SCHEDULED||5/3/2016|Close|34.5800|9/7/2016|High|39.5200|5/13/2016|Low|31.0800|Down|8|10
Bullish Hammer|AAMC|REAL ESTATE||5/27/2015|Close|173.3500||||6/16/2015|Low|150.1725|Down|14|20
Bullish Hammer|AAMC|REAL ESTATE||11/17/2016|Close|29.0000|12/6/2016|High|33.2000||||Up|13|19
Bullish Hammer|AAN|SERVICES-EQUIPMENT RENTAL & LEASING, NEC||9/1/2016|Close|24.4700|11/10/2016|High|27.3100||||Up|50|70
Bullish Hammer|AAOI|SEMICONDUCTORS & RELATED DEVICES||1/5/2016|Close|16.0800|2/26/2016|High|18.9600|1/11/2016|Low|14.3600|Down|4|6
Bullish Hammer|AAP|RETAIL-AUTO & HOME SUPPLY STORES||2/8/2016|Close|141.4500|3/10/2016|High|156.2899||||Up|23|31
Bullish Hammer|AAPL|ELECTRONIC COMPUTERS||10/1/2015|Close|109.5800|10/29/2015|High|120.6900|1/7/2016|Low|96.4300|Up|20|28
Bullish Hammer|AAPL|ELECTRONIC COMPUTERS||12/14/2015|Close|112.4800||||1/6/2016|Low|99.8700|Down|17|23
Bullish Hammer|AAPL|ELECTRONIC COMPUTERS||5/2/2016|Close|93.6400|7/27/2016|High|104.3500||||Up|62|86
Bullish Hammer|AAXJ|||8/11/2015|Close|57.6900||||8/24/2015|Low|47.6100|Down|9|13
Bullish Hammer|AAXJ|||1/4/2016|Close|51.8500|7/18/2016|High|57.1300|1/20/2016|Low|46.1400|Down|12|16
Bullish Hammer|AB|INVESTMENT ADVICE||2/22/2016|Close|18.8500|5/12/2015|High|30.9079|2/12/2016|Low|16.1100|Up|-204|-286
Bullish Hammer|ABBV|PHARMACEUTICAL PREPARATIONS||1/12/2016|Close|54.8400|4/19/2016|High|61.2300||||Up|70|98
Bullish Hammer|ABM|SERVICES-TO DWELLINGS & OTHER BUILDINGS||10/29/2015|Close|27.8900|2/16/2016|High|31.5200||||Up|78|110
Bullish Hammer|ABT|PHARMACEUTICAL PREPARATIONS||8/26/2015|Close|43.9800||||9/28/2015|Low|39.0000|Down|23|33
Bullish Hammer|ABT|PHARMACEUTICAL PREPARATIONS||5/12/2016|Close|38.0000|7/8/2016|High|42.2700||||Up|41|57
Bullish Hammer|ABT|PHARMACEUTICAL PREPARATIONS||6/16/2016|Close|37.5000|7/7/2016|High|41.5700||||Up|15|21
Bullish Hammer|ACET|PHARMACEUTICAL PREPARATIONS||9/2/2015|Close|21.7500|9/11/2015|High|27.4300|2/11/2016|Low|19.2040|Up|7|9
Bullish Hammer|ACET|PHARMACEUTICAL PREPARATIONS||5/10/2016|Close|21.1700|7/6/2016|High|23.3600|9/9/2016|Low|18.9200|Up|41|57
Bullish Hammer|ACIW|SERVICES-PREPACKAGED SOFTWARE||12/10/2015|Close|22.1600||||1/7/2016|Low|19.5100|Down|20|28
Bullish Hammer|ACIW|SERVICES-PREPACKAGED SOFTWARE||1/11/2016|Close|19.1800|6/2/2016|High|21.1700|1/15/2016|Low|17.2301|Down|4|4
Bullish Hammer|ACIW|SERVICES-PREPACKAGED SOFTWARE||1/14/2016|Close|19.3600|6/6/2016|High|21.3800|1/15/2016|Low|17.2301|Down|1|1
Bullish Hammer|ACIW|SERVICES-PREPACKAGED SOFTWARE||1/15/2016|Close|19.0400|4/4/2016|High|21.0000|2/4/2016|Low|17.0100|Down|14|20
Bullish Hammer|ACIW|SERVICES-PREPACKAGED SOFTWARE||6/29/2016|Close|19.0400||||11/3/2016|Low|15.1100|Down|91|127
Bullish Hammer|ACIW|SERVICES-PREPACKAGED SOFTWARE||11/3/2016|Close|17.2100|11/14/2016|High|19.0700||||Up|7|11
Bullish Hammer|ACM|SERVICES-ENGINEERING SERVICES||8/12/2015|Close|29.4600|12/2/2015|High|33.1200|8/24/2015|Low|24.0400|Down|8|12
Bullish Hammer|ACM|SERVICES-ENGINEERING SERVICES||9/2/2016|Close|30.6600|11/14/2016|High|37.1900|9/20/2016|Low|27.5900|Down|12|18
Bullish Hammer|ACM|SERVICES-ENGINEERING SERVICES||10/25/2016|Close|27.0400|11/9/2016|High|32.2400||||Up|11|15
Bullish Hammer|ACNB|STATE COMMERCIAL BANKS||9/9/2015|Close|19.6500|9/25/2015|High|22.2500||||Up|12|16
Bullish Hammer|ACNB|STATE COMMERCIAL BANKS||9/10/2015|Close|20.1500|9/25/2015|High|22.2500||||Up|11|15
Bullish Hammer|ACWI|||7/7/2015|Close|59.2000||||8/24/2015|Low|50.3700|Down|34|48
Bullish Hammer|ACWI|||12/14/2015|Close|55.6200||||1/20/2016|Low|49.0900|Down|27|37
Bullish Hammer|ACWV|||8/24/2015|Close|65.6000|3/16/2016|High|72.3800||||Up|147|205
Bullish Hammer|ACWV|||12/21/2015|Close|68.6100|6/8/2016|High|75.5299||||Up|122|170
Bullish Hammer|ACWV|||1/12/2016|Close|66.9700|3/30/2016|High|73.9500||||Up|56|78
Bullish Hammer|ACWX|||11/6/2015|Close|41.5500||||1/7/2016|Low|37.2000|Down|44|62
Bullish Hammer|ACWX|||12/14/2015|Close|39.1700||||1/20/2016|Low|34.4650|Down|27|37
Bullish Hammer|ACWX|||1/12/2016|Close|37.0600|4/19/2016|High|41.2900||||Up|70|98
Bullish Hammer|ACWX|||11/11/2016|Close|39.7900|||||||||
Bullish Hammer|ADC|REAL ESTATE INVESTMENT TRUSTS||11/14/2016|Close|42.5400|||||||||
Bullish Hammer|ADI|SEMICONDUCTORS & RELATED DEVICES||9/24/2015|Close|54.0000|10/14/2015|High|64.1550|1/15/2016|Low|47.2400|Up|14|20
Bullish Hammer|ADI|SEMICONDUCTORS & RELATED DEVICES||1/4/2016|Close|54.4400|7/14/2016|High|60.1800|1/15/2016|Low|47.2400|Down|9|11
Bullish Hammer|ADM|FATS & OILS||8/11/2015|Close|46.0700||||9/24/2015|Low|41.3100|Down|32|44
Bullish Hammer|ADM|FATS & OILS||9/29/2015|Close|41.0200|10/8/2015|High|45.2050|11/19/2015|Low|36.2800|Up|7|9
Bullish Hammer|ADP|SERVICES-COMPUTER PROCESSING & DATA PREPARATION||10/28/2014|Close|77.2600|2/9/2015|High|86.4900||||Up|74|104
Bullish Hammer|ADPT|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)||2/12/2016|Close|39.8000|2/18/2016|High|44.7300|9/7/2016|Low|35.3300|Up|4|6
Bullish Hammer|ADPT|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)||5/10/2016|Close|59.1000|5/11/2016|High|65.2400|6/10/2016|Low|50.5500|Up|1|1
Bullish Hammer|ADTN|TELEPHONE & TELEGRAPH APPARATUS||7/28/2015|Close|15.9200|12/17/2015|High|18.2000|9/24/2015|Low|14.2000|Down|42|58
Bullish Hammer|ADTN|TELEPHONE & TELEGRAPH APPARATUS||10/30/2015|Close|15.5300|12/17/2015|High|18.2000||||Up|34|48
Bullish Hammer|ADUS|SERVICES-HOME HEALTH CARE SERVICES||3/24/2016|Close|16.3600|3/30/2016|High|18.1800||||Up|4|6
Bullish Hammer|AE|WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)||7/8/2015|Close|43.5000|7/31/2015|High|48.6000|8/24/2015|Low|38.8800|Up|17|23
Bullish Hammer|AEO|RETAIL-FAMILY CLOTHING STORES||5/5/2016|Close|14.3500|5/19/2016|High|15.9600||||Up|10|14
Bullish Hammer|AER|||1/20/2016|Close|31.4000|2/23/2016|High|34.6900|2/3/2016|Low|26.8400|Down|10|14
Bullish Hammer|AER|||2/3/2016|Close|28.4300|2/17/2016|High|31.4100|2/8/2016|Low|25.0700|Down|3|5
Bullish Hammer|AER|||4/5/2016|Close|37.1600|4/19/2016|High|40.8900|6/27/2016|Low|31.4500|Up|10|14
Bullish Hammer|AEZS|||6/22/2015|Close|27.9900||||7/2/2015|Low|25.1300|Down|8|10
Bullish Hammer|AEZS|||7/7/2015|Close|25.1600||||7/9/2015|Low|22.6000|Down|2|2
Bullish Hammer|AEZS|||7/30/2015|Close|18.9100||||8/4/2015|Low|16.2300|Down|3|5
