Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Harami Cross|Industry|STATE COMMERCIAL BANKS|87|0.8275862068965517|242
Bullish Harami Cross|Industry|SAVINGS INSTITUTION, FEDERALLY CHARTERED|16|0.8125|269
Bullish Harami Cross|Industry|ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES|15|0.8|104
Bullish Harami Cross|Industry|HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS|10|0.8|214
Bullish Harami Cross|Industry|NATIONAL COMMERCIAL BANKS|80|0.7875|286
Bullish Harami Cross|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|29|0.7586206896551724|162
Bullish Harami Cross|Industry|SERVICES-ADVERTISING AGENCIES|10|0.7|205
Bullish Harami Cross|Industry|SERVICES-MANAGEMENT CONSULTING SERVICES|12|0.6666666666666666|190
Bullish Harami Cross|Industry|PUMPS & PUMPING EQUIPMENT|12|0.6666666666666666|332
Bullish Harami Cross|Industry|RETAIL-AUTO DEALERS & GASOLINE STATIONS|22|0.6363636363636364|130
Bullish Harami Cross|Industry|RETAIL-EATING PLACES|30|0.6333333333333333|167
Bullish Harami Cross|Industry|SEMICONDUCTORS & RELATED DEVICES|27|0.6296296296296297|112
Bullish Harami Cross|Industry|ELECTRIC SERVICES|31|0.6129032258064516|311
Bullish Harami Cross|Industry|WATER TRANSPORTATION|10|0.6|73
Bullish Harami Cross|Industry|SERVICES-PERSONAL SERVICES|10|0.6|124
Bullish Harami Cross|Industry|TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)|15|0.6|176
Bullish Harami Cross|Industry|HOUSEHOLD FURNITURE|10|0.6|207
Bullish Harami Cross|Industry|WATER SUPPLY|10|0.6|217
Bullish Harami Cross|Industry|RETAIL-GROCERY STORES|12|0.5833333333333334|132
Bullish Harami Cross|Industry|REAL ESTATE|14|0.5714285714285714|178
Bullish Harami Cross|Industry|SERVICES-BUSINESS SERVICES, NEC|37|0.5675675675675675|108
Bullish Harami Cross|Industry|FIRE, MARINE & CASUALTY INSURANCE|53|0.5471698113207547|317
Bullish Harami Cross|Industry|ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS|11|0.5454545454545454|150
Bullish Harami Cross|Industry|AIR TRANSPORTATION, SCHEDULED|15|0.5333333333333333|81
Bullish Harami Cross|Industry|SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN|17|0.5294117647058824|45
Bullish Harami Cross|Industry|INDUSTRIAL ORGANIC CHEMICALS|10|0.5|142
Bullish Harami Cross|Industry|SERVICES-COMPUTER PROCESSING & DATA PREPARATION|20|0.5|175
Bullish Harami Cross|Industry|INVESTMENT ADVICE|29|0.4827586206896552|132
Bullish Harami Cross|Industry|PETROLEUM REFINING|21|0.47619047619047616|80
Bullish Harami Cross|Industry|OIL & GAS FIELD MACHINERY & EQUIPMENT|13|0.46153846153846156|36
Bullish Harami Cross|Industry|CABLE & OTHER PAY TELEVISION SERVICES|13|0.46153846153846156|148
Bullish Harami Cross|Industry|MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)|11|0.45454545454545453|114
Bullish Harami Cross|Industry|PHARMACEUTICAL PREPARATIONS|49|0.4489795918367347|57
Bullish Harami Cross|Industry|ELECTRIC & OTHER SERVICES COMBINED|18|0.4444444444444444|272
Bullish Harami Cross|Industry|MEASURING & CONTROLLING DEVICES, NEC|14|0.42857142857142855|131
Bullish Harami Cross|Industry|REAL ESTATE INVESTMENT TRUSTS|150|0.4266666666666667|201
Bullish Harami Cross|Industry|MOTOR VEHICLE PARTS & ACCESSORIES|26|0.4230769230769231|126
Bullish Harami Cross|Overall|All|3303|0.41901301846805933|172
Bullish Harami Cross|Industry|TELEVISION BROADCASTING STATIONS|12|0.4166666666666667|84
Bullish Harami Cross|Industry|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)|12|0.4166666666666667|128
Bullish Harami Cross|Industry|TRUCKING (NO LOCAL)|12|0.4166666666666667|137
Bullish Harami Cross|Industry|SERVICES-PREPACKAGED SOFTWARE|54|0.4074074074074074|108
Bullish Harami Cross|Industry|MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES|10|0.4|165
Bullish Harami Cross|Industry|NATURAL GAS DISTRIBUTION|10|0.4|268
Bullish Harami Cross|Industry|OPERATIVE BUILDERS|18|0.3888888888888889|84
Bullish Harami Cross|Industry|SERVICES-COMPUTER PROGRAMMING SERVICES|13|0.38461538461538464|115
Bullish Harami Cross|Industry|DRILLING OIL & GAS WELLS|11|0.36363636363636365|53
Bullish Harami Cross|Industry|INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL|14|0.35714285714285715|189
Bullish Harami Cross|Industry|SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.|15|0.3333333333333333|85
Bullish Harami Cross|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|24|0.2916666666666667|221
Bullish Harami Cross|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|48|0.2708333333333333|138
Bullish Harami Cross|Industry|RETAIL-VARIETY STORES|16|0.25|51
Bullish Harami Cross|Industry|LIFE INSURANCE|12|0.25|163
Bullish Harami Cross|Industry|NATURAL GAS TRANSMISSION|15|0.2|54
Bullish Harami Cross|Industry|CRUDE PETROLEUM & NATURAL GAS|41|0.14634146341463414|75
Bullish Harami Cross|Industry|RETAIL-FAMILY CLOTHING STORES|19|0.10526315789473684|66
