Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Harami Cross|Industry|SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN|17|0.7647058823529411|24
Bullish Harami Cross|Industry|STATE COMMERCIAL BANKS|87|0.7471264367816092|94
Bullish Harami Cross|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|24|0.7083333333333334|161
Bullish Harami Cross|Industry|SERVICES-ADVERTISING AGENCIES|10|0.7|76
Bullish Harami Cross|Industry|WATER SUPPLY|10|0.7|132
Bullish Harami Cross|Industry|NATIONAL COMMERCIAL BANKS|80|0.6875|82
Bullish Harami Cross|Industry|SAVINGS INSTITUTION, FEDERALLY CHARTERED|16|0.6875|170
Bullish Harami Cross|Industry|ELECTRIC SERVICES|31|0.6774193548387096|148
Bullish Harami Cross|Industry|ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES|15|0.6666666666666666|35
Bullish Harami Cross|Industry|SERVICES-MANAGEMENT CONSULTING SERVICES|12|0.6666666666666666|51
Bullish Harami Cross|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|29|0.6551724137931034|58
Bullish Harami Cross|Industry|REAL ESTATE|14|0.6428571428571429|33
Bullish Harami Cross|Industry|RETAIL-EATING PLACES|30|0.6333333333333333|74
Bullish Harami Cross|Industry|PETROLEUM REFINING|21|0.6190476190476191|41
Bullish Harami Cross|Industry|OIL & GAS FIELD MACHINERY & EQUIPMENT|13|0.6153846153846154|15
Bullish Harami Cross|Industry|AIR TRANSPORTATION, SCHEDULED|15|0.6|22
Bullish Harami Cross|Industry|WATER TRANSPORTATION|10|0.6|32
Bullish Harami Cross|Industry|HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS|10|0.6|44
Bullish Harami Cross|Industry|SERVICES-PERSONAL SERVICES|10|0.6|55
Bullish Harami Cross|Industry|HOUSEHOLD FURNITURE|10|0.6|134
Bullish Harami Cross|Industry|RETAIL-AUTO DEALERS & GASOLINE STATIONS|22|0.5909090909090909|48
Bullish Harami Cross|Industry|MEASURING & CONTROLLING DEVICES, NEC|14|0.5714285714285714|33
Bullish Harami Cross|Industry|ELECTRIC & OTHER SERVICES COMBINED|18|0.5555555555555556|114
Bullish Harami Cross|Industry|FIRE, MARINE & CASUALTY INSURANCE|53|0.5471698113207547|109
Bullish Harami Cross|Industry|MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)|11|0.5454545454545454|76
Bullish Harami Cross|Industry|CABLE & OTHER PAY TELEVISION SERVICES|13|0.5384615384615384|33
Bullish Harami Cross|Industry|SEMICONDUCTORS & RELATED DEVICES|27|0.5185185185185185|41
Bullish Harami Cross|Industry|SERVICES-BUSINESS SERVICES, NEC|37|0.5135135135135135|33
Bullish Harami Cross|Industry|INDUSTRIAL ORGANIC CHEMICALS|10|0.5|24
Bullish Harami Cross|Industry|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)|12|0.5|25
Bullish Harami Cross|Industry|TELEVISION BROADCASTING STATIONS|12|0.5|40
Bullish Harami Cross|Industry|TRUCKING (NO LOCAL)|12|0.5|41
Bullish Harami Cross|Industry|NATURAL GAS DISTRIBUTION|10|0.5|56
Bullish Harami Cross|Industry|LIFE INSURANCE|12|0.5|61
Bullish Harami Cross|Industry|SERVICES-PREPACKAGED SOFTWARE|54|0.48148148148148145|44
Bullish Harami Cross|Industry|REAL ESTATE INVESTMENT TRUSTS|150|0.47333333333333333|60
Bullish Harami Cross|Overall|All|3304|0.4700363196125908|63
Bullish Harami Cross|Industry|SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.|15|0.4666666666666667|65
Bullish Harami Cross|Industry|SERVICES-COMPUTER PROGRAMMING SERVICES|13|0.46153846153846156|29
Bullish Harami Cross|Industry|SERVICES-COMPUTER PROCESSING & DATA PREPARATION|20|0.45|57
Bullish Harami Cross|Industry|OPERATIVE BUILDERS|18|0.4444444444444444|48
Bullish Harami Cross|Industry|RETAIL-VARIETY STORES|16|0.4375|26
Bullish Harami Cross|Industry|INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL|14|0.42857142857142855|54
Bullish Harami Cross|Industry|MOTOR VEHICLE PARTS & ACCESSORIES|26|0.4230769230769231|29
Bullish Harami Cross|Industry|PUMPS & PUMPING EQUIPMENT|12|0.4166666666666667|77
Bullish Harami Cross|Industry|PHARMACEUTICAL PREPARATIONS|49|0.40816326530612246|12
Bullish Harami Cross|Industry|MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES|10|0.4|73
Bullish Harami Cross|Industry|INVESTMENT ADVICE|29|0.3793103448275862|36
Bullish Harami Cross|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|48|0.375|49
Bullish Harami Cross|Industry|DRILLING OIL & GAS WELLS|11|0.36363636363636365|11
Bullish Harami Cross|Industry|ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS|11|0.36363636363636365|21
Bullish Harami Cross|Industry|TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)|15|0.3333333333333333|42
Bullish Harami Cross|Industry|RETAIL-GROCERY STORES|12|0.3333333333333333|52
Bullish Harami Cross|Industry|RETAIL-FAMILY CLOTHING STORES|19|0.3157894736842105|32
Bullish Harami Cross|Industry|CRUDE PETROLEUM & NATURAL GAS|41|0.2682926829268293|18
Bullish Harami Cross|Industry|NATURAL GAS TRANSMISSION|15|0.26666666666666666|25
