Id|Signal Name|Result Direction|Count|Percentage|Description
00902da8|Dark Cloud Cover With FollowThru|Down|3740|0.42606516290726815|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
00902da8|Dark Cloud Cover With FollowThru|Up|4759|0.5421508316245158|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
00902da8|Dark Cloud Cover With FollowThru||279|0.031784005468216|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
02619858|Dark Cloud Cover With FollowThru|Down|604|0.42267319804058784|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
02619858|Dark Cloud Cover With FollowThru|Up|813|0.5689293212036389|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
02619858|Dark Cloud Cover With FollowThru||12|0.008397480755773267|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
0df43e90|Dark Cloud Cover With FollowThru|Down|4631|0.4296316912515076|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
0df43e90|Dark Cloud Cover With FollowThru|Up|5820|0.5399387698302255|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
0df43e90|Dark Cloud Cover With FollowThru||328|0.030429538918267|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
11ca0d4b|Dark Cloud Cover With FollowThru|Down|6164|0.43332161687170473|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: False
11ca0d4b|Dark Cloud Cover With FollowThru|Up|7669|0.5391212653778559|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: False
11ca0d4b|Dark Cloud Cover With FollowThru||392|0.027557117750439366|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: False
13947299|Dark Cloud Cover With FollowThru|Down|604|0.42267319804058784|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: True
13947299|Dark Cloud Cover With FollowThru|Up|813|0.5689293212036389|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: True
13947299|Dark Cloud Cover With FollowThru||12|0.008397480755773267|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: True
172ccb42|Dark Cloud Cover With FollowThru|Down|1013|0.42778716216216217|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: True
172ccb42|Dark Cloud Cover With FollowThru|Up|1335|0.5637668918918919|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: True
172ccb42|Dark Cloud Cover With FollowThru||20|0.008445945945945946|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: True
2995e8f3|Dark Cloud Cover With FollowThru|Down|5508|0.4309521946639543|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: False
2995e8f3|Dark Cloud Cover With FollowThru|Up|6895|0.5394726547218528|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: False
2995e8f3|Dark Cloud Cover With FollowThru||378|0.02957515061419294|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: False
32f2be20|Dark Cloud Cover With FollowThru|Down|619|0.4271911663216011|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
32f2be20|Dark Cloud Cover With FollowThru|Up|818|0.5645272601794341|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
32f2be20|Dark Cloud Cover With FollowThru||12|0.008281573498964804|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
33480340|Dark Cloud Cover With FollowThru|Down|4631|0.4296316912515076|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
33480340|Dark Cloud Cover With FollowThru|Up|5820|0.5399387698302255|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
33480340|Dark Cloud Cover With FollowThru||328|0.030429538918267|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
46f32d1a|Dark Cloud Cover With FollowThru|Down|4570|0.4291885800150263|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: False
46f32d1a|Dark Cloud Cover With FollowThru|Up|5751|0.5401014274981217|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: False
46f32d1a|Dark Cloud Cover With FollowThru||327|0.03070999248685199|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: False
488655fe|Dark Cloud Cover With FollowThru|Down|4579|0.4303571428571429|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: False
488655fe|Dark Cloud Cover With FollowThru|Up|5739|0.5393796992481203|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: False
488655fe|Dark Cloud Cover With FollowThru||322|0.030263157894736843|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: False
49990ac2|Dark Cloud Cover With FollowThru|Down|4579|0.4303571428571429|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
49990ac2|Dark Cloud Cover With FollowThru|Up|5739|0.5393796992481203|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
49990ac2|Dark Cloud Cover With FollowThru||322|0.030263157894736843|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
4b60fab1|Dark Cloud Cover With FollowThru|Down|1013|0.42778716216216217|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
4b60fab1|Dark Cloud Cover With FollowThru|Up|1335|0.5637668918918919|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
4b60fab1|Dark Cloud Cover With FollowThru||20|0.008445945945945946|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
4f0c702d|Dark Cloud Cover With FollowThru|Down|6164|0.43332161687170473|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
4f0c702d|Dark Cloud Cover With FollowThru|Up|7669|0.5391212653778559|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
4f0c702d|Dark Cloud Cover With FollowThru||392|0.027557117750439366|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
5412406d|Dark Cloud Cover With FollowThru|Down|619|0.4271911663216011|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: True
5412406d|Dark Cloud Cover With FollowThru|Up|818|0.5645272601794341|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: True
5412406d|Dark Cloud Cover With FollowThru||12|0.008281573498964804|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: True
5f698ddf|Dark Cloud Cover With FollowThru|Down|1013|0.42778716216216217|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: True
5f698ddf|Dark Cloud Cover With FollowThru|Up|1335|0.5637668918918919|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: True
5f698ddf|Dark Cloud Cover With FollowThru||20|0.008445945945945946|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: True
5fd98dfb|Dark Cloud Cover With FollowThru|Down|3740|0.42606516290726815|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
5fd98dfb|Dark Cloud Cover With FollowThru|Up|4759|0.5421508316245158|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
5fd98dfb|Dark Cloud Cover With FollowThru||279|0.031784005468216|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
6669f04c|Dark Cloud Cover With FollowThru|Down|785|0.42227003765465304|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
6669f04c|Dark Cloud Cover With FollowThru|Up|1055|0.5675094136632598|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
6669f04c|Dark Cloud Cover With FollowThru||19|0.010220548682087143|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
6a3ef9e5|Dark Cloud Cover With FollowThru|Down|479|0.4261565836298932|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
6a3ef9e5|Dark Cloud Cover With FollowThru|Up|638|0.5676156583629893|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
6a3ef9e5|Dark Cloud Cover With FollowThru||7|0.006227758007117438|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
6fa90d89|Dark Cloud Cover With FollowThru|Down|5508|0.4309521946639543|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: False
6fa90d89|Dark Cloud Cover With FollowThru|Up|6895|0.5394726547218528|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: False
6fa90d89|Dark Cloud Cover With FollowThru||378|0.02957515061419294|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: False
7a94fda4|Dark Cloud Cover With FollowThru|Down|650|0.42650918635170604|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
7a94fda4|Dark Cloud Cover With FollowThru|Up|864|0.5669291338582677|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
7a94fda4|Dark Cloud Cover With FollowThru||10|0.006561679790026247|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
85140752|Dark Cloud Cover With FollowThru|Down|650|0.42650918635170604|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: True
85140752|Dark Cloud Cover With FollowThru|Up|864|0.5669291338582677|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: True
85140752|Dark Cloud Cover With FollowThru||10|0.006561679790026247|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: True
8ae153f3|Dark Cloud Cover With FollowThru|Down|479|0.4261565836298932|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
8ae153f3|Dark Cloud Cover With FollowThru|Up|638|0.5676156583629893|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
8ae153f3|Dark Cloud Cover With FollowThru||7|0.006227758007117438|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
98e494b9|Dark Cloud Cover With FollowThru|Down|5508|0.4309521946639543|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
98e494b9|Dark Cloud Cover With FollowThru|Up|6895|0.5394726547218528|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
98e494b9|Dark Cloud Cover With FollowThru||378|0.02957515061419294|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
9b3ad922|Dark Cloud Cover With FollowThru|Down|4570|0.4291885800150263|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: False
9b3ad922|Dark Cloud Cover With FollowThru|Up|5751|0.5401014274981217|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: False
9b3ad922|Dark Cloud Cover With FollowThru||327|0.03070999248685199|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: False
9d2f227b|Dark Cloud Cover With FollowThru|Down|3740|0.42606516290726815|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
9d2f227b|Dark Cloud Cover With FollowThru|Up|4759|0.5421508316245158|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
9d2f227b|Dark Cloud Cover With FollowThru||279|0.031784005468216|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
a24bf003|Dark Cloud Cover With FollowThru|Down|785|0.42227003765465304|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
a24bf003|Dark Cloud Cover With FollowThru|Up|1055|0.5675094136632598|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
a24bf003|Dark Cloud Cover With FollowThru||19|0.010220548682087143|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
ad1a0ed4|Dark Cloud Cover With FollowThru|Down|479|0.4261565836298932|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: True
ad1a0ed4|Dark Cloud Cover With FollowThru|Up|638|0.5676156583629893|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: True
ad1a0ed4|Dark Cloud Cover With FollowThru||7|0.006227758007117438|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: True
c0d63734|Dark Cloud Cover With FollowThru|Down|619|0.4271911663216011|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
c0d63734|Dark Cloud Cover With FollowThru|Up|818|0.5645272601794341|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
c0d63734|Dark Cloud Cover With FollowThru||12|0.008281573498964804|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
c49f132b|Dark Cloud Cover With FollowThru|Down|4570|0.4291885800150263|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
c49f132b|Dark Cloud Cover With FollowThru|Up|5751|0.5401014274981217|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
c49f132b|Dark Cloud Cover With FollowThru||327|0.03070999248685199|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
ccaf7d92|Dark Cloud Cover With FollowThru|Down|4579|0.4303571428571429|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
ccaf7d92|Dark Cloud Cover With FollowThru|Up|5739|0.5393796992481203|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
ccaf7d92|Dark Cloud Cover With FollowThru||322|0.030263157894736843|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
d210af3e|Dark Cloud Cover With FollowThru|Down|604|0.42267319804058784|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
d210af3e|Dark Cloud Cover With FollowThru|Up|813|0.5689293212036389|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
d210af3e|Dark Cloud Cover With FollowThru||12|0.008397480755773267|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
dcd32938|Dark Cloud Cover With FollowThru|Down|650|0.42650918635170604|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
dcd32938|Dark Cloud Cover With FollowThru|Up|864|0.5669291338582677|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
dcd32938|Dark Cloud Cover With FollowThru||10|0.006561679790026247|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
e92d4515|Dark Cloud Cover With FollowThru|Down|4631|0.4296316912515076|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
e92d4515|Dark Cloud Cover With FollowThru|Up|5820|0.5399387698302255|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
e92d4515|Dark Cloud Cover With FollowThru||328|0.030429538918267|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
ea87f122|Dark Cloud Cover With FollowThru|Down|6164|0.43332161687170473|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
ea87f122|Dark Cloud Cover With FollowThru|Up|7669|0.5391212653778559|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
ea87f122|Dark Cloud Cover With FollowThru||392|0.027557117750439366|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
f9041510|Dark Cloud Cover With FollowThru|Down|785|0.42227003765465304|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
f9041510|Dark Cloud Cover With FollowThru|Up|1055|0.5675094136632598|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
f9041510|Dark Cloud Cover With FollowThru||19|0.010220548682087143|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
