Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Dark Cloud Cover With FollowThru|Industry|SEMICONDUCTORS & RELATED DEVICES|15|0.6|30
Dark Cloud Cover With FollowThru|Industry|PHARMACEUTICAL PREPARATIONS|20|0.55|24
Dark Cloud Cover With FollowThru|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|11|0.5454545454545454|92
Dark Cloud Cover With FollowThru|Overall|All|1142|0.5122591943957968|95
Dark Cloud Cover With FollowThru|Industry|PETROLEUM REFINING|12|0.5|43
Dark Cloud Cover With FollowThru|Industry|REAL ESTATE INVESTMENT TRUSTS|38|0.5|117
Dark Cloud Cover With FollowThru|Industry|INVESTMENT ADVICE|11|0.45454545454545453|15
Dark Cloud Cover With FollowThru|Industry|STATE COMMERCIAL BANKS|39|0.41025641025641024|91
Dark Cloud Cover With FollowThru|Industry|NATIONAL COMMERCIAL BANKS|20|0.4|73
Dark Cloud Cover With FollowThru|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|10|0.4|118
Dark Cloud Cover With FollowThru|Industry|SERVICES-BUSINESS SERVICES, NEC|11|0.36363636363636365|72
Dark Cloud Cover With FollowThru|Industry|FIRE, MARINE & CASUALTY INSURANCE|14|0.2857142857142857|304
