Id|Signal Name|Result Direction|Count|Percentage|Description
0427726a|Dark Cloud Cover|Down|1226|0.4681176021382207|move: 0.1;prologue len: 30;trend desc: E21C;vol factor: 2;use market: True
0427726a|Dark Cloud Cover|Up|1044|0.39862542955326463|move: 0.1;prologue len: 30;trend desc: E21C;vol factor: 2;use market: True
0427726a|Dark Cloud Cover||349|0.1332569683085147|move: 0.1;prologue len: 30;trend desc: E21C;vol factor: 2;use market: True
05c40b64|Dark Cloud Cover|Down|500|0.397456279809221|move: 0.1;prologue len: 15;trend desc: E200C;vol factor: 2;use market: False
05c40b64|Dark Cloud Cover|Up|472|0.3751987281399046|move: 0.1;prologue len: 15;trend desc: E200C;vol factor: 2;use market: False
05c40b64|Dark Cloud Cover||286|0.2273449920508744|move: 0.1;prologue len: 15;trend desc: E200C;vol factor: 2;use market: False
06930ea6|Dark Cloud Cover|Down|1236|0.46853677028051555|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
06930ea6|Dark Cloud Cover|Up|1054|0.3995451099317665|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
06930ea6|Dark Cloud Cover||348|0.13191811978771797|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
07da7743|Dark Cloud Cover|Down|261|0.216597510373444|move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 2;use market: False
07da7743|Dark Cloud Cover|Up|311|0.25809128630705397|move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 2;use market: False
07da7743|Dark Cloud Cover||633|0.5253112033195021|move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 2;use market: False
0890d670|Dark Cloud Cover|Down|1236|0.46853677028051555|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
0890d670|Dark Cloud Cover|Up|1054|0.3995451099317665|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
0890d670|Dark Cloud Cover||348|0.13191811978771797|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
0947200d|Dark Cloud Cover|Down|1236|0.46853677028051555|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
0947200d|Dark Cloud Cover|Up|1054|0.3995451099317665|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
0947200d|Dark Cloud Cover||348|0.13191811978771797|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
0a0746da|Dark Cloud Cover|Down|473|0.3925311203319502|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
0a0746da|Dark Cloud Cover|Up|448|0.37178423236514524|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
0a0746da|Dark Cloud Cover||284|0.23568464730290456|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
0e0abf15|Dark Cloud Cover|Down|261|0.216597510373444|move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
0e0abf15|Dark Cloud Cover|Up|311|0.25809128630705397|move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
0e0abf15|Dark Cloud Cover||633|0.5253112033195021|move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
0e54ae1b|Dark Cloud Cover|Down|729|0.31572109138155047|move: 0.2;prologue len: 15;trend desc: E50C;vol factor: 2;use market: False
0e54ae1b|Dark Cloud Cover|Up|713|0.30879168471199653|move: 0.2;prologue len: 15;trend desc: E50C;vol factor: 2;use market: False
0e54ae1b|Dark Cloud Cover||867|0.375487223906453|move: 0.2;prologue len: 15;trend desc: E50C;vol factor: 2;use market: False
0ef17ec7|Dark Cloud Cover|Down|876|0.3344788087056128|move: 0.2;prologue len: 15;trend desc: E21C;vol factor: 2;use market: False
0ef17ec7|Dark Cloud Cover|Up|813|0.3104238258877434|move: 0.2;prologue len: 15;trend desc: E21C;vol factor: 2;use market: False
0ef17ec7|Dark Cloud Cover||930|0.3550973654066438|move: 0.2;prologue len: 15;trend desc: E21C;vol factor: 2;use market: False
1501627b|Dark Cloud Cover|Down|1236|0.46853677028051555|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: True
1501627b|Dark Cloud Cover|Up|1054|0.3995451099317665|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: True
1501627b|Dark Cloud Cover||348|0.13191811978771797|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: True
151e67d8|Dark Cloud Cover|Down|1226|0.4681176021382207|move: 0.1;prologue len: 15;trend desc: E21C;vol factor: 1;use market: True
151e67d8|Dark Cloud Cover|Up|1044|0.39862542955326463|move: 0.1;prologue len: 15;trend desc: E21C;vol factor: 1;use market: True
151e67d8|Dark Cloud Cover||349|0.1332569683085147|move: 0.1;prologue len: 15;trend desc: E21C;vol factor: 1;use market: True
15312fdf|Dark Cloud Cover|Down|1061|0.4595062797747943|move: 0.1;prologue len: 15;trend desc: E50C;vol factor: 2;use market: False
15312fdf|Dark Cloud Cover|Up|917|0.397141619748809|move: 0.1;prologue len: 15;trend desc: E50C;vol factor: 2;use market: False
15312fdf|Dark Cloud Cover||331|0.1433521004763967|move: 0.1;prologue len: 15;trend desc: E50C;vol factor: 2;use market: False
17373ef2|Dark Cloud Cover|Down|729|0.31572109138155047|move: 0.2;prologue len: 15;trend desc: E50C;vol factor: 1.5;use market: False
17373ef2|Dark Cloud Cover|Up|713|0.30879168471199653|move: 0.2;prologue len: 15;trend desc: E50C;vol factor: 1.5;use market: False
17373ef2|Dark Cloud Cover||867|0.375487223906453|move: 0.2;prologue len: 15;trend desc: E50C;vol factor: 1.5;use market: False
18943421|Dark Cloud Cover|Down|1035|0.4610244988864143|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: False
18943421|Dark Cloud Cover|Up|885|0.39420935412026725|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: False
18943421|Dark Cloud Cover||325|0.1447661469933185|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: False
1c337538|Dark Cloud Cover|Down|711|0.3167037861915368|move: 0.2;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
1c337538|Dark Cloud Cover|Up|690|0.30734966592427615|move: 0.2;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
1c337538|Dark Cloud Cover||844|0.3759465478841871|move: 0.2;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
1ca91afb|Dark Cloud Cover|Down|473|0.3925311203319502|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
1ca91afb|Dark Cloud Cover|Up|448|0.37178423236514524|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
