Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Dark Cloud Cover|Industry|SERVICES-PREPACKAGED SOFTWARE|17|0.5882352941176471|55
Dark Cloud Cover|Industry|PHARMACEUTICAL PREPARATIONS|21|0.5714285714285714|34
Dark Cloud Cover|Industry|AIR TRANSPORTATION, SCHEDULED|12|0.5|34
Dark Cloud Cover|Industry|REAL ESTATE INVESTMENT TRUSTS|36|0.4444444444444444|86
Dark Cloud Cover|Industry|NATIONAL COMMERCIAL BANKS|38|0.39473684210526316|73
Dark Cloud Cover|Overall|All|1205|0.3925311203319502|67
Dark Cloud Cover|Industry|STATE COMMERCIAL BANKS|44|0.38636363636363635|59
Dark Cloud Cover|Industry|FIRE, MARINE & CASUALTY INSURANCE|22|0.36363636363636365|92
Dark Cloud Cover|Industry|SEMICONDUCTORS & RELATED DEVICES|12|0.3333333333333333|33
Dark Cloud Cover|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|13|0.3076923076923077|66
Dark Cloud Cover|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|10|0.3|38
