Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Dark Cloud Cover|Industry|PHARMACEUTICAL PREPARATIONS|22|0.5|75
Dark Cloud Cover|Industry|AIR TRANSPORTATION, SCHEDULED|12|0.4166666666666667|50
Dark Cloud Cover|Industry|SERVICES-PREPACKAGED SOFTWARE|21|0.3333333333333333|95
Dark Cloud Cover|Industry|STATE COMMERCIAL BANKS|47|0.2553191489361702|137
Dark Cloud Cover|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|13|0.23076923076923078|29
Dark Cloud Cover|Industry|SEMICONDUCTORS & RELATED DEVICES|13|0.23076923076923078|100
Dark Cloud Cover|Overall|All|1258|0.21939586645468998|108
Dark Cloud Cover|Industry|FIRE, MARINE & CASUALTY INSURANCE|22|0.13636363636363635|91
Dark Cloud Cover|Industry|REAL ESTATE INVESTMENT TRUSTS|37|0.13513513513513514|130
Dark Cloud Cover|Industry|NATIONAL COMMERCIAL BANKS|37|0.10810810810810811|124
Dark Cloud Cover|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|10|0.1|189
