Id|Signal Name|Result Direction|Count|Percentage|Description
142f79a7|Evening Doji Star|Down|8|0.42105263157894735|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
142f79a7|Evening Doji Star|Up|10|0.5263157894736842|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
142f79a7|Evening Doji Star||1|0.05263157894736842|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
16158a70|Evening Doji Star|Down|490|0.4613935969868173|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
16158a70|Evening Doji Star|Up|548|0.5160075329566854|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
16158a70|Evening Doji Star||24|0.022598870056497175|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
18b6f90e|Evening Doji Star|Down|87|0.5337423312883436|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
18b6f90e|Evening Doji Star|Up|72|0.44171779141104295|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
18b6f90e|Evening Doji Star||4|0.024539877300613498|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
228fbc82|Evening Doji Star|Down|758|0.44588235294117645|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
228fbc82|Evening Doji Star|Up|911|0.5358823529411765|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
228fbc82|Evening Doji Star||31|0.018235294117647058|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
24379daa|Evening Doji Star|Down|8|0.42105263157894735|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: True
24379daa|Evening Doji Star|Up|10|0.5263157894736842|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: True
24379daa|Evening Doji Star||1|0.05263157894736842|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: True
26c6a907|Evening Doji Star|Down|20|0.45454545454545453|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
26c6a907|Evening Doji Star|Up|23|0.5227272727272727|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
26c6a907|Evening Doji Star||1|0.022727272727272728|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
364d4169|Evening Doji Star|Down|22|0.4074074074074074|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
364d4169|Evening Doji Star|Up|31|0.5740740740740741|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
364d4169|Evening Doji Star||1|0.018518518518518517|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
3f55e55b|Evening Doji Star|Down|50|0.3968253968253968|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: True
