Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Evening Doji Star|AEE.US|Utilities - Regulated Electric|Utilities|5/4/2011|Close|29.2100|10/27/2011|High|32.5300|8/8/2011|Low|25.8200|Down|68|96
Evening Doji Star|AER.US|Rental & Leasing Services|Industrials|6/4/2015|Close|48.5000|11/2/2017|High|54.5000|8/21/2015|Low|42.9800|Down|56|78
Evening Doji Star|ALE.US|Utilities - Diversified|Utilities|3/5/2002|Close|83.9400|4/10/2002|High|92.5500|7/10/2002|Low|74.4300|Up|26|36
Evening Doji Star|AMED.US|Medical Care Facilities|Healthcare|10/3/2017|Close|54.1300|11/8/2017|High|61.7800|10/9/2017|Low|48.4800|Down|4|6
Evening Doji Star|AMG.US|Asset Management|Financial Services|8/21/2006|Close|95.1400|11/16/2006|High|105.1400|3/10/2008|Low|84.5000|Up|63|87
Evening Doji Star|AMWD.US|Furnishings, Fixtures & Appliances|Consumer Cyclical|11/19/2009|Close|19.8200|4/14/2010|High|22.4480|6/29/2010|Low|17.7400|Up|104|146
Evening Doji Star|APLS.US|Biotechnology|Healthcare|3/20/2019|Close|19.0800|5/29/2019|High|21.1800|3/17/2020|Low|16.8800|Up|50|70
Evening Doji Star|ARCC.US|Asset Management|Financial Services|12/14/2017|Close|15.9300|9/4/2018|High|17.5850|3/12/2020|Low|14.2500|Up|188|264
Evening Doji Star|ARVN.US|Biotechnology|Healthcare|6/28/2019|Close|21.9900|7/3/2019|High|25.0000|10/1/2019|Low|19.7800|Up|3|5
Evening Doji Star|AZN.US|Drug Manufacturers - General|Healthcare|2/18/2022|Close|59.8600|3/24/2022|High|66.0600|9/26/2022|Low|52.6500|Up|24|34
Evening Doji Star|AZZ.US|Specialty Business Services|Industrials|11/28/2016|Close|65.4500|2/15/2024|High|72.7001|1/6/2017|Low|58.0500|Down|29|39
Evening Doji Star|BBY.US|Specialty Retail|Consumer Cyclical|8/29/2017|Close|55.0200|12/1/2017|High|60.8300|12/21/2018|Low|48.6100|Up|68|94
Evening Doji Star|BCE.US|Telecom Services|Communication Services|11/4/1993|Close|4.1784|3/16/1994|High|4.6112|1/11/1995|Low|3.6860|Up|94|132
Evening Doji Star|BCS.US|Banks - Diversified|Financial Services|6/20/1994|Close|7.7551|8/26/1994|High|8.5364|11/19/2008|Low|6.8337|Up|49|67
Evening Doji Star|BDX.US|Medical Instruments & Supplies|Healthcare|11/5/2019|Close|240.6634|12/17/2019|High|266.2829|3/12/2020|Low|215.1610|Up|30|42
Evening Doji Star|BF-A.US|Beverages - Wineries & Distilleries|Consumer Defensive|3/6/2019|Close|48.8600|6/6/2019|High|55.4200|3/16/2020|Low|41.7600|Up|66|92
Evening Doji Star|BFOR.US|||3/3/2014|Close|30.1600|3/18/2015|High|33.2400|1/13/2016|Low|27.0000|Up|272|380
Evening Doji Star|BIO.US|Medical Devices|Healthcare|5/30/2007|Close|73.6800|8/8/2007|High|82.4900|10/28/2008|Low|64.4000|Up|50|70
Evening Doji Star|CAG.US|Packaged Foods|Consumer Defensive|1/13/2012|Close|20.8933|11/27/2012|High|23.1344|7/20/2012|Low|18.7223|Down|135|189
Evening Doji Star|CBRE.US|Real Estate Services|Real Estate|7/13/2005|Close|14.5267|8/3/2005|High|16.6600|7/31/2008|Low|12.6000|Up|15|21
Evening Doji Star|CEW.US|||5/17/2017|Close|18.5900||||3/18/2020|Low|16.4010|Down|740|1036
Evening Doji Star|CIEN.US|Communication Equipment|Technology|3/7/2011|Close|25.9800|4/29/2011|High|28.7800|3/18/2011|Low|22.9700|Down|9|11
Evening Doji Star|CLMT.US|Oil & Gas E&P|Energy|1/8/2013|Close|31.1500|2/8/2013|High|35.0500|9/26/2013|Low|27.0500|Up|23|31
Evening Doji Star|CMCSA.US|Telecom Services|Communication Services|2/13/2014|Close|26.4825|12/26/2014|High|29.2725||||Up|226|316
Evening Doji Star|CNXN.US|Electronics & Computer Distribution|Technology|6/22/2007|Close|12.2500|6/29/2007|High|13.7000|1/3/2008|Low|10.6000|Up|5|7
Evening Doji Star|COHR.US|Scientific & Technical Instruments|Technology|4/24/2007|Close|14.5300|9/18/2007|High|16.3300|6/25/2007|Low|13.0150|Down|44|62
Evening Doji Star|COKE.US|Beverages - Non-Alcoholic|Consumer Defensive|7/16/2015|Close|154.3500|8/5/2015|High|174.1000|8/24/2015|Low|126.3100|Up|14|20
Evening Doji Star|CORP.US|||4/16/2014|Close|102.1000|1/31/2020|High|112.4100|9/26/2022|Low|91.2900|Up|1512|2116
