Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Inverted Hammer|Entity|AMZN.US|16|1|21
Inverted Hammer|Entity|OMAB.US|10|1|33
Inverted Hammer|Entity|FTLS.US|14|1|240
Inverted Hammer|Entity|MPB.US|23|0.9565217391304348|48
Inverted Hammer|Entity|BRTX.US|18|0.9444444444444444|2
Inverted Hammer|Entity|KRC.US|18|0.9444444444444444|52
Inverted Hammer|Entity|PFIS.US|16|0.9375|89
Inverted Hammer|Entity|CME.US|15|0.9333333333333333|54
Inverted Hammer|Entity|INGR.US|12|0.9166666666666666|40
Inverted Hammer|Entity|SMOG.US|12|0.9166666666666666|52
Inverted Hammer|Entity|UPRO.US|11|0.9090909090909091|16
Inverted Hammer|Entity|KBWP.US|11|0.9090909090909091|83
Inverted Hammer|Entity|WEYS.US|99|0.9090909090909091|99
Inverted Hammer|Entity|STE.US|21|0.9047619047619048|39
Inverted Hammer|Entity|BBLG.US|10|0.9|2
Inverted Hammer|Entity|MOBQ.US|20|0.9|2
Inverted Hammer|Entity|APCX.US|20|0.9|3
Inverted Hammer|Entity|CRNX.US|10|0.9|13
Inverted Hammer|Entity|ENV.US|10|0.9|25
Inverted Hammer|Entity|BNS.US|10|0.9|35
Inverted Hammer|Entity|V.US|10|0.9|85
Inverted Hammer|Entity|XAR.US|10|0.9|93
Inverted Hammer|Entity|SPGP.US|10|0.9|142
Inverted Hammer|Entity|RTH.US|19|0.8947368421052632|61
Inverted Hammer|Entity|IYR.US|17|0.8823529411764706|126
Inverted Hammer|Entity|CCOI.US|24|0.875|24
Inverted Hammer|Entity|FBMS.US|16|0.875|81
Inverted Hammer|Entity|EIX.US|47|0.8723404255319149|159
Inverted Hammer|Entity|RAND.US|172|0.872093023255814|14
Inverted Hammer|Entity|FRHC.US|15|0.8666666666666667|14
Inverted Hammer|Entity|ACM.US|15|0.8666666666666667|41
Inverted Hammer|Entity|WU.US|15|0.8666666666666667|57
Inverted Hammer|Entity|SMLV.US|15|0.8666666666666667|97
Inverted Hammer|Entity|NJR.US|60|0.8666666666666667|153
Inverted Hammer|Entity|WBIL.US|15|0.8666666666666667|456
Inverted Hammer|Entity|AEIS.US|21|0.8571428571428571|16
Inverted Hammer|Entity|EDU.US|14|0.8571428571428571|18
Inverted Hammer|Entity|IVW.US|21|0.8571428571428571|77
Inverted Hammer|Entity|HTBI.US|14|0.8571428571428571|85
Inverted Hammer|Entity|HBCP.US|21|0.8571428571428571|107
Inverted Hammer|Entity|VNQ.US|14|0.8571428571428571|164
Inverted Hammer|Entity|LGLV.US|14|0.8571428571428571|212
Inverted Hammer|Entity|DKS.US|20|0.85|25
Inverted Hammer|Entity|CHRW.US|20|0.85|56
Inverted Hammer|Entity|QQQ.US|20|0.85|72
Inverted Hammer|Entity|TDTF.US|20|0.85|1560
Inverted Hammer|Entity|QLD.US|13|0.8461538461538461|17
Inverted Hammer|Entity|AMJ.US|13|0.8461538461538461|83
Inverted Hammer|Entity|PWB.US|13|0.8461538461538461|145
Inverted Hammer|Entity|COFS.US|13|0.8461538461538461|159
Inverted Hammer|Entity|ASTI.US|19|0.8421052631578947|2
Inverted Hammer|Entity|DUK.US|38|0.8421052631578947|98
Inverted Hammer|Entity|SPIP.US|19|0.8421052631578947|1321
Inverted Hammer|Entity|NCRA.US|12|0.8333333333333334|2
Inverted Hammer|Entity|CANB.US|18|0.8333333333333334|2
Inverted Hammer|Entity|GPRE.US|18|0.8333333333333334|10
Inverted Hammer|Entity|FTXG.US|12|0.8333333333333334|105
Inverted Hammer|Entity|MOO.US|12|0.8333333333333334|124
Inverted Hammer|Entity|IWY.US|12|0.8333333333333334|142
Inverted Hammer|Entity|BTAL.US|18|0.8333333333333334|218
Inverted Hammer|Entity|RRC.US|154|0.8311688311688312|5
Inverted Hammer|Entity|NVOS.US|23|0.8260869565217391|5
Inverted Hammer|Entity|PFBC.US|23|0.8260869565217391|49
Inverted Hammer|Entity|T.US|57|0.8245614035087719|74
Inverted Hammer|Entity|EAST.US|17|0.8235294117647058|8
Inverted Hammer|Industry|Coking Coal|17|0.8235294117647058|15
Inverted Hammer|Entity|RSPD.US|17|0.8235294117647058|53
Inverted Hammer|Entity|VGT.US|17|0.8235294117647058|57
Inverted Hammer|Entity|D.US|39|0.8205128205128205|79
Inverted Hammer|Entity|UL.US|61|0.819672131147541|75
Inverted Hammer|Entity|TECL.US|11|0.8181818181818182|2
Inverted Hammer|Entity|ABVC.US|11|0.8181818181818182|7
