Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Inverted Hammer|Entity|APCX.US|15|1|2
Inverted Hammer|Entity|STE.US|10|1|32
Inverted Hammer|Entity|IVW.US|12|1|53
Inverted Hammer|Entity|RTH.US|11|1|59
Inverted Hammer|Entity|SAFT.US|11|1|95
Inverted Hammer|Entity|WBIL.US|11|1|453
Inverted Hammer|Entity|MPB.US|20|0.95|39
Inverted Hammer|Entity|MOBQ.US|17|0.9411764705882353|2
Inverted Hammer|Entity|UTL.US|34|0.9411764705882353|212
Inverted Hammer|Entity|GPRE.US|16|0.9375|10
Inverted Hammer|Entity|AEIS.US|14|0.9285714285714286|20
Inverted Hammer|Entity|SPIP.US|14|0.9285714285714286|1385
Inverted Hammer|Entity|NJR.US|38|0.9210526315789473|161
Inverted Hammer|Entity|BRTX.US|12|0.9166666666666666|2
Inverted Hammer|Entity|DKS.US|12|0.9166666666666666|22
Inverted Hammer|Entity|TSM.US|12|0.9166666666666666|22
Inverted Hammer|Entity|PZZA.US|11|0.9090909090909091|30
Inverted Hammer|Entity|KRC.US|11|0.9090909090909091|37
Inverted Hammer|Entity|RYN.US|11|0.9090909090909091|43
Inverted Hammer|Entity|PIE.US|11|0.9090909090909091|86
Inverted Hammer|Entity|USDU.US|11|0.9090909090909091|638
Inverted Hammer|Entity|SNEX.US|21|0.9047619047619048|44
Inverted Hammer|Entity|NGNE.US|10|0.9|14
Inverted Hammer|Entity|CMPR.US|10|0.9|31
Inverted Hammer|Entity|COR.US|10|0.9|32
Inverted Hammer|Entity|SMOG.US|10|0.9|37
Inverted Hammer|Entity|UL.US|30|0.9|87
Inverted Hammer|Entity|IXN.US|10|0.9|123
Inverted Hammer|Entity|NVOS.US|18|0.8888888888888888|5
Inverted Hammer|Entity|CDNS.US|18|0.8888888888888888|13
Inverted Hammer|Entity|TDTF.US|18|0.8888888888888888|1448
Inverted Hammer|Entity|SCHL.US|16|0.875|44
Inverted Hammer|Entity|SP.US|16|0.875|46
Inverted Hammer|Entity|EIX.US|24|0.875|136
Inverted Hammer|Entity|AIMD.US|39|0.8717948717948718|3
Inverted Hammer|Entity|WEYS.US|38|0.868421052631579|81
Inverted Hammer|Entity|CYTK.US|15|0.8666666666666667|14
Inverted Hammer|Entity|PFBC.US|15|0.8666666666666667|40
Inverted Hammer|Entity|MGEE.US|116|0.8620689655172413|170
Inverted Hammer|Entity|RAND.US|120|0.8583333333333333|14
Inverted Hammer|Entity|CYTH.US|21|0.8571428571428571|3
Inverted Hammer|Entity|GES.US|14|0.8571428571428571|17
Inverted Hammer|Entity|BIIB.US|14|0.8571428571428571|22
Inverted Hammer|Entity|PII.US|28|0.8571428571428571|38
Inverted Hammer|Entity|ORLY.US|14|0.8571428571428571|39
Inverted Hammer|Entity|SF.US|34|0.8529411764705882|37
Inverted Hammer|Entity|DHR.US|27|0.8518518518518519|44
Inverted Hammer|Entity|WKSP.US|13|0.8461538461538461|5
Inverted Hammer|Entity|TNK.US|13|0.8461538461538461|21
Inverted Hammer|Entity|PB.US|13|0.8461538461538461|33
Inverted Hammer|Entity|CHRW.US|13|0.8461538461538461|33
Inverted Hammer|Entity|RRC.US|116|0.8448275862068966|4
Inverted Hammer|Entity|ASTI.US|19|0.8421052631578947|2
Inverted Hammer|Entity|RGA.US|19|0.8421052631578947|41
Inverted Hammer|Entity|PWOD.US|38|0.8421052631578947|80
Inverted Hammer|Entity|DUK.US|19|0.8421052631578947|91
Inverted Hammer|Entity|USB.US|44|0.8409090909090909|82
Inverted Hammer|Entity|FLUX.US|12|0.8333333333333334|6
Inverted Hammer|Entity|FRHC.US|12|0.8333333333333334|14
Inverted Hammer|Entity|FIBK.US|12|0.8333333333333334|44
Inverted Hammer|Entity|ABCB.US|18|0.8333333333333334|51
Inverted Hammer|Entity|SYY.US|24|0.8333333333333334|52
Inverted Hammer|Entity|WEC.US|24|0.8333333333333334|121
Inverted Hammer|Entity|GLTR.US|12|0.8333333333333334|134
Inverted Hammer|Entity|ITIC.US|35|0.8285714285714286|24
Inverted Hammer|Entity|T.US|35|0.8285714285714286|81
Inverted Hammer|Entity|MMSI.US|29|0.8275862068965517|15
Inverted Hammer|Entity|CANB.US|17|0.8235294117647058|2
Inverted Hammer|Industry|Financial Data & Stock Exchanges|17|0.8235294117647058|39
Inverted Hammer|Entity|IYG.US|17|0.8235294117647058|66
Inverted Hammer|Entity|BNGO.US|11|0.8181818181818182|6
Inverted Hammer|Entity|MRCY.US|11|0.8181818181818182|11
Inverted Hammer|Entity|ASGN.US|11|0.8181818181818182|12
Inverted Hammer|Entity|AXON.US|11|0.8181818181818182|15
