Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Inverted Hammer|AA|PRIMARY PRODUCTION OF ALUMINUM||7/27/2015|Close|28.8600||||1/12/2016|Low|21.3000|Down|121|169
Inverted Hammer|AA|PRIMARY PRODUCTION OF ALUMINUM||10/22/2015|Close|27.2700|4/27/2016|High|34.0800|1/12/2016|Low|21.3000|Down|58|82
Inverted Hammer|AAL|AIR TRANSPORTATION, SCHEDULED||9/22/2016|Close|35.2500|11/9/2016|High|42.7500||||Up|34|48
Inverted Hammer|AAMC|REAL ESTATE||7/6/2015|Close|140.0500||||8/10/2015|Low|95.8800|Down|25|35
Inverted Hammer|AAMC|REAL ESTATE||8/4/2015|Close|130.0500||||8/10/2015|Low|95.8800|Down|4|6
Inverted Hammer|AAMC|REAL ESTATE||11/11/2015|Close|20.7500|6/6/2016|High|29.1600|11/16/2015|Low|15.5100|Down|3|5
Inverted Hammer|AAN|SERVICES-EQUIPMENT RENTAL & LEASING, NEC||12/11/2015|Close|22.2600|4/11/2016|High|26.7900||||Up|86|122
Inverted Hammer|AAN|SERVICES-EQUIPMENT RENTAL & LEASING, NEC||6/15/2016|Close|22.5400|11/10/2016|High|27.3100||||Up|106|148
Inverted Hammer|AAPL|ELECTRONIC COMPUTERS||4/26/2016|Close|104.3500|||||||||
Inverted Hammer|AAPL|ELECTRONIC COMPUTERS||5/13/2016|Close|90.5200|8/9/2016|High|108.9400||||Up|62|88
Inverted Hammer|AAT|REAL ESTATE INVESTMENT TRUSTS||2/10/2016|Close|34.8300|5/4/2016|High|41.9400||||Up|60|84
Inverted Hammer|AAXJ|||8/18/2015|Close|55.6700|||||||||
Inverted Hammer|AAXJ|||1/7/2016|Close|49.5200|8/11/2016|High|59.5900||||Up|155|217
Inverted Hammer|AB|INVESTMENT ADVICE||11/7/2016|Close|21.1000|11/10/2014|High|26.5500|2/12/2016|Low|16.1100|Up|-520|-728
Inverted Hammer|ABG|RETAIL-AUTO DEALERS & GASOLINE STATIONS||10/22/2015|Close|78.9900||||1/6/2016|Low|56.9900|Down|54|76
Inverted Hammer|ABG|RETAIL-AUTO DEALERS & GASOLINE STATIONS||1/7/2016|Close|55.6200||||2/2/2016|Low|44.1300|Down|18|26
Inverted Hammer|ABG|RETAIL-AUTO DEALERS & GASOLINE STATIONS||4/11/2016|Close|54.0600|||||||||
Inverted Hammer|ABG|RETAIL-AUTO DEALERS & GASOLINE STATIONS||5/19/2016|Close|53.2800|12/8/2016|High|64.2500||||Up|145|203
Inverted Hammer|ABG|RETAIL-AUTO DEALERS & GASOLINE STATIONS||11/4/2016|Close|49.3000|11/15/2016|High|59.6000||||Up|7|11
Inverted Hammer|ABM|SERVICES-TO DWELLINGS & OTHER BUILDINGS||1/5/2016|Close|27.5700|3/9/2016|High|33.3900||||Up|46|64
Inverted Hammer|ABM|SERVICES-TO DWELLINGS & OTHER BUILDINGS||1/6/2016|Close|27.3000|3/9/2016|High|33.3900||||Up|45|63
Inverted Hammer|ABM|SERVICES-TO DWELLINGS & OTHER BUILDINGS||1/7/2016|Close|26.7200|2/22/2016|High|32.2100||||Up|32|46
Inverted Hammer|ABT|PHARMACEUTICAL PREPARATIONS||4/28/2016|Close|40.4200|||||||||
Inverted Hammer|ACAD|PHARMACEUTICAL PREPARATIONS||10/13/2016|Close|25.1900|11/10/2016|High|30.2299||||Up|20|28
Inverted Hammer|ACET|PHARMACEUTICAL PREPARATIONS||1/6/2016|Close|23.7500||||9/9/2016|Low|18.9200|Down|177|247
Inverted Hammer|ACET|PHARMACEUTICAL PREPARATIONS||9/8/2016|Close|19.3700|||||||||
Inverted Hammer|ACHC|SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC||12/15/2015|Close|62.0900||||9/15/2016|Low|48.0500|Down|197|275
Inverted Hammer|ACU|CUTLERY, HANDTOOLS & GENERAL HARDWARE||10/20/2015|Close|17.0000|7/21/2016|High|20.5444|1/20/2016|Low|13.0100|Down|66|92
Inverted Hammer|ACU|CUTLERY, HANDTOOLS & GENERAL HARDWARE||4/19/2016|Close|16.0500|7/5/2016|High|19.5000||||Up|55|77
Inverted Hammer|ACWI|||12/10/2015|Close|56.5100|||||||||
Inverted Hammer|ACWI|||6/24/2016|Close|54.3000|||||||||
Inverted Hammer|ACWV|||1/7/2016|Close|67.4800|||||||||
Inverted Hammer|ACWX|||1/7/2016|Close|37.2300|||||||||
Inverted Hammer|ACWX|||6/24/2016|Close|37.4500|||||||||
Inverted Hammer|ADC|REAL ESTATE INVESTMENT TRUSTS||6/29/2015|Close|29.3000|1/26/2016|High|35.1900||||Up|151|211
Inverted Hammer|ADC|REAL ESTATE INVESTMENT TRUSTS||8/21/2015|Close|29.6300|1/29/2016|High|36.9800||||Up|115|161
Inverted Hammer|ADI|SEMICONDUCTORS & RELATED DEVICES||6/24/2016|Close|55.0400|7/27/2016|High|66.9100||||Up|23|33
Inverted Hammer|ADP|SERVICES-COMPUTER PROCESSING & DATA PREPARATION||6/16/2014|Close|78.6500|11/22/2016|High|96.5900||||Up|636|890
Inverted Hammer|ADP|SERVICES-COMPUTER PROCESSING & DATA PREPARATION||12/10/2014|Close|84.1300|||||||||
Inverted Hammer|ADPT|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)||6/20/2016|Close|49.8100||||9/7/2016|Low|35.3300|Down|57|79
Inverted Hammer|ADPT|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)||10/28/2016|Close|29.4000||||11/2/2016|Low|8.2500|Down|3|5
Inverted Hammer|ADTN|TELEPHONE & TELEGRAPH APPARATUS||3/20/2015|Close|18.7900|12/9/2016|High|22.5992|8/24/2015|Low|14.7000|Down|111|157
Inverted Hammer|ADTN|TELEPHONE & TELEGRAPH APPARATUS||4/22/2015|Close|16.6100|3/21/2016|High|19.9350||||Up|238|334
Inverted Hammer|AE|WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)||7/2/2015|Close|43.7000||||12/14/2015|Low|34.2600|Down|117|165
Inverted Hammer|AE|WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)||11/13/2015|Close|42.6000||||12/18/2015|Low|33.5500|Down|25|35
Inverted Hammer|AE|WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)||12/11/2015|Close|37.8200||||1/20/2016|Low|30.0000|Down|28|40
Inverted Hammer|AE|WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)||9/26/2016|Close|34.5000|11/25/2016|High|41.7400||||Up|44|60
Inverted Hammer|AEE|ELECTRIC & OTHER SERVICES COMBINED||6/10/2015|Close|37.8100|2/1/2016|High|45.8100||||Up|168|236
Inverted Hammer|AEM|||7/14/2015|Close|27.4200|2/4/2016|High|33.3100|7/24/2015|Low|21.8700|Down|8|10
