Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Inverted Hammer|Entity|SGA|10|1|106
Inverted Hammer|Industry|STATE COMMERCIAL BANKS|75|0.8933333333333333|258
Inverted Hammer|Industry|SAVINGS INSTITUTION, FEDERALLY CHARTERED|11|0.8181818181818182|256
Inverted Hammer|Industry|AIR TRANSPORTATION, SCHEDULED|16|0.75|107
Inverted Hammer|Industry|SEMICONDUCTORS & RELATED DEVICES|26|0.7307692307692307|47
Inverted Hammer|Industry|TRUCKING (NO LOCAL)|11|0.7272727272727273|112
Inverted Hammer|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|29|0.6896551724137931|142
Inverted Hammer|Industry|RADIO BROADCASTING STATIONS|16|0.6875|97
Inverted Hammer|Industry|NATIONAL COMMERCIAL BANKS|71|0.647887323943662|218
Inverted Hammer|Industry|ELECTRIC & OTHER SERVICES COMBINED|20|0.6|257
Inverted Hammer|Industry|PERSONAL CREDIT INSTITUTIONS|12|0.5833333333333334|136
Inverted Hammer|Industry|SERVICES-PREPACKAGED SOFTWARE|21|0.5714285714285714|73
Inverted Hammer|Industry|MOTOR VEHICLE PARTS & ACCESSORIES|21|0.5714285714285714|133
Inverted Hammer|Industry|PHARMACEUTICAL PREPARATIONS|55|0.5272727272727272|29
Inverted Hammer|Industry|ELECTRIC SERVICES|23|0.5217391304347826|221
Inverted Hammer|Industry|RETAIL-DEPARTMENT STORES|10|0.5|78
Inverted Hammer|Industry|RETAIL-EATING PLACES|25|0.48|101
Inverted Hammer|Industry|OIL & GAS FIELD SERVICES, NEC|17|0.47058823529411764|59
Inverted Hammer|Industry|SERVICES-HELP SUPPLY SERVICES|11|0.45454545454545453|98
Inverted Hammer|Industry|RAILROADS, LINE-HAUL OPERATING|11|0.45454545454545453|174
Inverted Hammer|Industry|SERVICES-BUSINESS SERVICES, NEC|16|0.4375|155
Inverted Hammer|Industry|STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)|12|0.4166666666666667|30
Inverted Hammer|Industry|REAL ESTATE INVESTMENT TRUSTS|104|0.40384615384615385|175
Inverted Hammer|Industry|SERVICES-COMPUTER PROGRAMMING SERVICES|10|0.4|24
Inverted Hammer|Industry|RETAIL-FAMILY CLOTHING STORES|15|0.4|85
Inverted Hammer|Industry|FIRE, MARINE & CASUALTY INSURANCE|35|0.4|194
Inverted Hammer|Industry|INVESTMENT ADVICE|37|0.3783783783783784|67
Inverted Hammer|Industry|SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.|16|0.375|100
Inverted Hammer|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|99|0.36363636363636365|143
Inverted Hammer|Industry|LIFE INSURANCE|11|0.36363636363636365|215
Inverted Hammer|Overall|All|3687|0.3452671548684567|144
Inverted Hammer|Industry|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)|12|0.3333333333333333|18
Inverted Hammer|Industry|RETAIL-AUTO DEALERS & GASOLINE STATIONS|15|0.3333333333333333|124
Inverted Hammer|Industry|AIRCRAFT ENGINES & ENGINE PARTS|13|0.3076923076923077|118
Inverted Hammer|Industry|FINANCE SERVICES|10|0.3|145
Inverted Hammer|Industry|CRUDE PETROLEUM & NATURAL GAS|54|0.2962962962962963|32
Inverted Hammer|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|18|0.2777777777777778|222
Inverted Hammer|Industry|GENERAL INDUSTRIAL MACHINERY & EQUIPMENT|11|0.2727272727272727|161
Inverted Hammer|Entity|SIF|11|0.18181818181818182|18
Inverted Hammer|Industry|PETROLEUM REFINING|27|0.1111111111111111|49
Inverted Hammer|Industry|NATURAL GAS TRANSMISSION|10|0.1|68
Inverted Hammer|Entity|GYLD|12|0.08333333333333333|243
Inverted Hammer|Entity|BKLN|13|0|0
