Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Inverted Hammer|Entity|APCX.US|11|1|2
Inverted Hammer|Entity|GPRE.US|10|1|10
Inverted Hammer|Entity|AEIS.US|11|1|19
Inverted Hammer|Entity|TSM.US|10|1|24
Inverted Hammer|Entity|SCHL.US|12|1|35
Inverted Hammer|Entity|RYN.US|10|1|43
Inverted Hammer|Entity|IVW.US|10|1|49
Inverted Hammer|Entity|RTH.US|10|1|56
Inverted Hammer|Entity|WBIL.US|12|1|443
Inverted Hammer|Entity|NJR.US|26|0.9615384615384616|148
Inverted Hammer|Entity|UL.US|22|0.9545454545454546|83
Inverted Hammer|Entity|MMSI.US|18|0.9444444444444444|17
Inverted Hammer|Entity|SNEX.US|16|0.9375|45
Inverted Hammer|Entity|MPB.US|15|0.9333333333333333|37
Inverted Hammer|Entity|WEC.US|15|0.9333333333333333|118
Inverted Hammer|Entity|MOBQ.US|14|0.9285714285714286|1
Inverted Hammer|Entity|CACC.US|14|0.9285714285714286|19
Inverted Hammer|Entity|UTL.US|27|0.9259259259259259|186
Inverted Hammer|Entity|SPIP.US|13|0.9230769230769231|1396
Inverted Hammer|Entity|CANB.US|12|0.9166666666666666|2
Inverted Hammer|Entity|GES.US|12|0.9166666666666666|18
Inverted Hammer|Entity|NGS.US|11|0.9090909090909091|21
Inverted Hammer|Entity|AME.US|11|0.9090909090909091|24
Inverted Hammer|Entity|AIMD.US|30|0.9|4
Inverted Hammer|Entity|WKSP.US|10|0.9|6
Inverted Hammer|Entity|EGO.US|10|0.9|17
Inverted Hammer|Entity|SMOG.US|10|0.9|37
Inverted Hammer|Entity|PIE.US|10|0.9|89
Inverted Hammer|Entity|BTAL.US|10|0.9|271
Inverted Hammer|Entity|RAND.US|101|0.8910891089108911|14
Inverted Hammer|Entity|TDTF.US|18|0.8888888888888888|1448
Inverted Hammer|Entity|ASTI.US|16|0.875|2
Inverted Hammer|Entity|CNMD.US|16|0.875|14
Inverted Hammer|Entity|SF.US|24|0.875|42
Inverted Hammer|Entity|DUK.US|16|0.875|96
Inverted Hammer|Entity|CYTH.US|15|0.8666666666666667|3
