Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Inverted Hammer|Entity|SGA|12|1|117
Inverted Hammer|Industry|WATER SUPPLY|13|1|211
Inverted Hammer|Industry|SAVINGS INSTITUTION, FEDERALLY CHARTERED|25|0.88|277
Inverted Hammer|Industry|STATE COMMERCIAL BANKS|191|0.8481675392670157|278
Inverted Hammer|Industry|MISCELLANEOUS MANUFACTURING INDUSTRIES|10|0.8|56
Inverted Hammer|Industry|IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES|10|0.8|151
Inverted Hammer|Industry|HOUSEHOLD FURNITURE|12|0.75|175
Inverted Hammer|Industry|SEMICONDUCTORS & RELATED DEVICES|49|0.7346938775510204|70
Inverted Hammer|Industry|TELEVISION BROADCASTING STATIONS|11|0.7272727272727273|109
Inverted Hammer|Industry|NATIONAL COMMERCIAL BANKS|155|0.7096774193548387|296
Inverted Hammer|Industry|RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT|17|0.7058823529411765|174
Inverted Hammer|Industry|TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)|10|0.7|218
Inverted Hammer|Industry|OPERATIVE BUILDERS|13|0.6923076923076923|117
Inverted Hammer|Industry|INDUSTRIAL ORGANIC CHEMICALS|13|0.6923076923076923|128
Inverted Hammer|Industry|NATURAL GAS DISTRIBUTION|13|0.6923076923076923|221
Inverted Hammer|Industry|CONSTRUCTION MACHINERY & EQUIP|12|0.6666666666666666|67
Inverted Hammer|Industry|AIR TRANSPORTATION, SCHEDULED|20|0.65|102
Inverted Hammer|Industry|RADIO BROADCASTING STATIONS|20|0.65|108
Inverted Hammer|Industry|SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED|14|0.6428571428571429|227
Inverted Hammer|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|50|0.64|144
Inverted Hammer|Industry|INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL|11|0.6363636363636364|95
Inverted Hammer|Industry|ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES|11|0.6363636363636364|177
Inverted Hammer|Industry|TRUCKING (NO LOCAL)|13|0.6153846153846154|112
Inverted Hammer|Industry|SERVICES-HELP SUPPLY SERVICES|18|0.6111111111111112|134
Inverted Hammer|Industry|ELECTRIC & OTHER SERVICES COMBINED|33|0.6060606060606061|264
Inverted Hammer|Industry|SERVICES-AUTO RENTAL & LEASING (NO DRIVERS)|10|0.6|131
Inverted Hammer|Industry|INSURANCE AGENTS, BROKERS & SERVICE|10|0.6|153
Inverted Hammer|Industry|RETAIL-EATING PLACES|41|0.5853658536585366|112
Inverted Hammer|Entity|UVXY|12|0.5833333333333334|20
Inverted Hammer|Industry|ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS|14|0.5714285714285714|56
Inverted Hammer|Industry|PERSONAL CREDIT INSTITUTIONS|14|0.5714285714285714|121
Inverted Hammer|Industry|PHARMACEUTICAL PREPARATIONS|87|0.5632183908045977|47
Inverted Hammer|Industry|SERVICES-PREPACKAGED SOFTWARE|45|0.5555555555555556|74
Inverted Hammer|Industry|WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES|11|0.5454545454545454|304
Inverted Hammer|Industry|MOTOR VEHICLE PARTS & ACCESSORIES|34|0.5294117647058824|128
Inverted Hammer|Industry|PLASTICS PRODUCTS, NEC|17|0.5294117647058824|176
Inverted Hammer|Industry|SERVICES-BUSINESS SERVICES, NEC|40|0.525|116
Inverted Hammer|Industry|SERVICES-MANAGEMENT CONSULTING SERVICES|16|0.5|82
Inverted Hammer|Industry|MEDICINAL CHEMICALS & BOTANICAL PRODUCTS|10|0.5|92
Inverted Hammer|Industry|AIR COURIER SERVICES|10|0.5|116
Inverted Hammer|Industry|SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES|10|0.5|223
Inverted Hammer|Entity|WLFC|10|0.5|226
Inverted Hammer|Industry|FIRE, MARINE & CASUALTY INSURANCE|76|0.4868421052631579|243
Inverted Hammer|Industry|AIRCRAFT ENGINES & ENGINE PARTS|17|0.47058823529411764|160
Inverted Hammer|Industry|DRILLING OIL & GAS WELLS|15|0.4666666666666667|75
Inverted Hammer|Industry|RETAIL-DEPARTMENT STORES|15|0.4666666666666667|76
Inverted Hammer|Industry|RETAIL-FAMILY CLOTHING STORES|26|0.46153846153846156|116
Inverted Hammer|Industry|SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN|13|0.46153846153846156|130
Inverted Hammer|Industry|ELECTRIC SERVICES|46|0.45652173913043476|255
Inverted Hammer|Industry|OIL & GAS FIELD SERVICES, NEC|22|0.45454545454545453|59
Inverted Hammer|Industry|REAL ESTATE|22|0.45454545454545453|237
Inverted Hammer|Industry|SERVICES-COMPUTER PROCESSING & DATA PREPARATION|14|0.42857142857142855|185
Inverted Hammer|Industry|MEASURING & CONTROLLING DEVICES, NEC|10|0.4|42
Inverted Hammer|Industry|STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)|15|0.4|48
Inverted Hammer|Industry|HOTELS & MOTELS|10|0.4|52
Inverted Hammer|Industry|GENERAL INDUSTRIAL MACHINERY & EQUIPMENT|20|0.4|88
Inverted Hammer|Industry|REAL ESTATE INVESTMENT TRUSTS|197|0.39593908629441626|185
Inverted Hammer|Industry|MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)|13|0.38461538461538464|131
Inverted Hammer|Industry|RAILROADS, LINE-HAUL OPERATING|13|0.38461538461538464|174
Inverted Hammer|Industry|RETAIL-AUTO DEALERS & GASOLINE STATIONS|19|0.3684210526315789|127
Inverted Hammer|Entity|NSPR|11|0.36363636363636365|8
Inverted Hammer|Industry|WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION|11|0.36363636363636365|56
Inverted Hammer|Entity|UG|11|0.36363636363636365|90
Inverted Hammer|Industry|RETAIL-MISCELLANEOUS RETAIL|11|0.36363636363636365|234
Inverted Hammer|Overall|All|6572|0.35879488740109555|168
Inverted Hammer|Entity|TWIN|14|0.35714285714285715|19
Inverted Hammer|Industry|SERVICES-COMPUTER PROGRAMMING SERVICES|12|0.3333333333333333|24
Inverted Hammer|Industry|WATER TRANSPORTATION|15|0.3333333333333333|45
Inverted Hammer|Industry|OIL & GAS FIELD MACHINERY & EQUIPMENT|12|0.3333333333333333|77
Inverted Hammer|Industry|FINANCE SERVICES|12|0.3333333333333333|114
Inverted Hammer|Industry|LIFE INSURANCE|24|0.3333333333333333|210
Inverted Hammer|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|34|0.3235294117647059|315
Inverted Hammer|Industry|SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.|28|0.32142857142857145|91
Inverted Hammer|Industry|INVESTMENT ADVICE|66|0.30303030303030304|75
Inverted Hammer|Entity|SMDD|10|0.3|68
Inverted Hammer|Industry|INDUSTRIAL INORGANIC CHEMICALS|10|0.3|83
Inverted Hammer|Industry|PUMPS & PUMPING EQUIPMENT|10|0.3|194
Inverted Hammer|Industry|PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS|17|0.29411764705882354|98
Inverted Hammer|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|177|0.2824858757062147|115
Inverted Hammer|Industry|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)|18|0.2777777777777778|17
Inverted Hammer|Industry|PIPE LINES (NO NATURAL GAS)|13|0.23076923076923078|33
Inverted Hammer|Entity|GSC|13|0.23076923076923078|155
Inverted Hammer|Entity|JHI|13|0.23076923076923078|322
Inverted Hammer|Industry|CRUDE PETROLEUM & NATURAL GAS|74|0.22972972972972974|30
Inverted Hammer|Industry|NATURAL GAS TRANSMISSION|18|0.2222222222222222|56
Inverted Hammer|Entity|SIF|11|0.18181818181818182|18
Inverted Hammer|Industry|PETROLEUM REFINING|43|0.16279069767441862|69
Inverted Hammer|Entity|FMN|10|0.1|364
Inverted Hammer|Industry|BLANK CHECKS|11|0.09090909090909091|117
Inverted Hammer|Entity|GYLD|12|0.08333333333333333|243
Inverted Hammer|Entity|EMCB|11|0|0
Inverted Hammer|Entity|SST|10|0|0
Inverted Hammer|Entity|TBX|10|0|0
Inverted Hammer|Entity|SUB|10|0|0
Inverted Hammer|Entity|ISHG|13|0|0
Inverted Hammer|Entity|BKLN|14|0|0
Inverted Hammer|Entity|SHM|10|0|0
