Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Inverted Hammer|Entity|EVTV.US|10|1|3
Inverted Hammer|Entity|APCX.US|12|1|3
Inverted Hammer|Entity|MPB.US|14|1|55
Inverted Hammer|Entity|WEYS.US|76|0.9736842105263158|95
Inverted Hammer|Entity|MAR.US|15|0.9333333333333333|46
Inverted Hammer|Entity|MOBQ.US|14|0.9285714285714286|1
Inverted Hammer|Entity|TDTF.US|13|0.9230769230769231|1732
Inverted Hammer|Entity|NVOS.US|12|0.9166666666666666|5
Inverted Hammer|Entity|AIMD.US|24|0.9166666666666666|7
Inverted Hammer|Entity|SP.US|12|0.9166666666666666|50
Inverted Hammer|Entity|HBCP.US|12|0.9166666666666666|126
Inverted Hammer|Entity|EIX.US|41|0.9024390243902439|173
Inverted Hammer|Entity|WKSP.US|10|0.9|3
Inverted Hammer|Entity|NXPL.US|10|0.9|4
Inverted Hammer|Entity|MSFT.US|10|0.9|78
Inverted Hammer|Entity|PFIS.US|10|0.9|79
Inverted Hammer|Entity|SVRA.US|29|0.896551724137931|6
Inverted Hammer|Entity|RCAT.US|19|0.8947368421052632|3
Inverted Hammer|Entity|RAND.US|151|0.8940397350993378|13
Inverted Hammer|Entity|EBTC.US|18|0.8888888888888888|54
Inverted Hammer|Entity|IDXX.US|17|0.8823529411764706|52
Inverted Hammer|Entity|LNN.US|33|0.8787878787878788|33
Inverted Hammer|Entity|CAG.US|45|0.8666666666666667|34
Inverted Hammer|Entity|HD.US|15|0.8666666666666667|38
Inverted Hammer|Entity|SPIP.US|15|0.8666666666666667|1370
Inverted Hammer|Entity|RRC.US|144|0.8611111111111112|5
Inverted Hammer|Entity|NJR.US|56|0.8571428571428571|160
Inverted Hammer|Entity|XOM.US|41|0.8536585365853658|132
Inverted Hammer|Entity|SU.US|27|0.8518518518518519|50
Inverted Hammer|Entity|ESLT.US|20|0.85|40
Inverted Hammer|Entity|COLB.US|20|0.85|41
Inverted Hammer|Entity|EMR.US|40|0.85|80
Inverted Hammer|Entity|SPTI.US|20|0.85|1798
Inverted Hammer|Entity|DUK.US|33|0.8484848484848485|95
Inverted Hammer|Entity|CRMT.US|13|0.8461538461538461|14
Inverted Hammer|Entity|SAR.US|13|0.8461538461538461|144
Inverted Hammer|Entity|PDCO.US|19|0.8421052631578947|49
Inverted Hammer|Entity|PEG.US|31|0.8387096774193549|116
Inverted Hammer|Entity|NTWK.US|18|0.8333333333333334|20
Inverted Hammer|Entity|POOL.US|12|0.8333333333333334|80
Inverted Hammer|Entity|TLT.US|12|0.8333333333333334|189
Inverted Hammer|Entity|UL.US|53|0.8301886792452831|70
Inverted Hammer|Entity|T.US|47|0.8297872340425532|70
Inverted Hammer|Entity|GWW.US|88|0.8295454545454546|73
Inverted Hammer|Entity|SO.US|45|0.8222222222222222|112
Inverted Hammer|Entity|ONTO.US|39|0.8205128205128205|8
Inverted Hammer|Entity|ADVM.US|11|0.8181818181818182|9
Inverted Hammer|Entity|CNX.US|11|0.8181818181818182|18
Inverted Hammer|Industry|Computer Hardware|11|0.8181818181818182|21
Inverted Hammer|Entity|XPEL.US|11|0.8181818181818182|22
Inverted Hammer|Entity|QGEN.US|22|0.8181818181818182|24
Inverted Hammer|Entity|TTEK.US|11|0.8181818181818182|24
Inverted Hammer|Entity|LFUS.US|11|0.8181818181818182|49
Inverted Hammer|Entity|PFBC.US|11|0.8181818181818182|65
Inverted Hammer|Entity|ELS.US|11|0.8181818181818182|73
Inverted Hammer|Entity|SFST.US|11|0.8181818181818182|95
Inverted Hammer|Entity|AEE.US|11|0.8181818181818182|168
Inverted Hammer|Entity|GBF.US|11|0.8181818181818182|1232
Inverted Hammer|Entity|WEC.US|49|0.8163265306122449|103
Inverted Hammer|Entity|FARM.US|27|0.8148148148148148|60
Inverted Hammer|Entity|NPK.US|102|0.8137254901960784|80
Inverted Hammer|Entity|SMG.US|16|0.8125|46
Inverted Hammer|Entity|NSC.US|16|0.8125|50
Inverted Hammer|Entity|BTAL.US|16|0.8125|212
Inverted Hammer|Entity|EGPT.US|21|0.8095238095238095|52
Inverted Hammer|Entity|MCK.US|52|0.8076923076923077|59
Inverted Hammer|Entity|AVA.US|57|0.8070175438596491|187
Inverted Hammer|Entity|BRK-A.US|128|0.8046875|117
Inverted Hammer|Entity|AGX.US|10|0.8|5
Inverted Hammer|Entity|VRME.US|15|0.8|5
Inverted Hammer|Entity|CYRX.US|10|0.8|6
Inverted Hammer|Entity|SASI.US|10|0.8|7
Inverted Hammer|Entity|CPE.US|40|0.8|15
Inverted Hammer|Entity|DECK.US|15|0.8|15
Inverted Hammer|Entity|FRHC.US|10|0.8|16
Inverted Hammer|Entity|EDU.US|10|0.8|20
Inverted Hammer|Entity|USNA.US|20|0.8|33
Inverted Hammer|Entity|ABT.US|35|0.8|37
Inverted Hammer|Entity|RS.US|10|0.8|50
Inverted Hammer|Entity|HAE.US|15|0.8|52
Inverted Hammer|Entity|SFBC.US|10|0.8|77
Inverted Hammer|Entity|EDV.US|10|0.8|104
Inverted Hammer|Entity|BUSE.US|20|0.8|115
Inverted Hammer|Entity|DBP.US|10|0.8|228
Inverted Hammer|Entity|IDU.US|10|0.8|246
Inverted Hammer|Entity|LTPZ.US|10|0.8|313
Inverted Hammer|Entity|DOMH.US|236|0.7923728813559322|4
Inverted Hammer|Entity|UGI.US|57|0.7894736842105263|88
Inverted Hammer|Entity|SJM.US|71|0.7887323943661971|74
Inverted Hammer|Entity|MLAB.US|118|0.788135593220339|12
Inverted Hammer|Entity|D.US|33|0.7878787878787878|80
Inverted Hammer|Entity|HHS.US|47|0.7872340425531915|54
Inverted Hammer|Entity|WAFD.US|61|0.7868852459016393|66
